cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch
cell_001,Northern California,39.525053,-124.017028,10,cell_001.geojson,kelpwatch_cell_001.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_002,Northern California,39.52881,-123.900726,10,cell_002.geojson,kelpwatch_cell_002.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_003,Northern California,39.532457,-123.784412,10,cell_003.geojson,kelpwatch_cell_003.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_004,Northern California,39.535993,-123.668087,10,cell_004.geojson,kelpwatch_cell_004.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_005,Northern California,39.435143,-124.012104,10,cell_005.geojson,kelpwatch_cell_005.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_006,Northern California,39.438895,-123.895944,10,cell_006.geojson,kelpwatch_cell_006.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_007,Northern California,39.442536,-123.779772,10,cell_007.geojson,kelpwatch_cell_007.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_008,Northern California,39.446068,-123.663589,10,cell_008.geojson,kelpwatch_cell_008.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_009,Northern California,39.345236,-124.007192,10,cell_009.geojson,kelpwatch_cell_009.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_010,Northern California,39.348983,-123.891174,10,cell_010.geojson,kelpwatch_cell_010.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
cell_011,Northern California,39.35262,-123.775144,10,cell_011.geojson,kelpwatch_cell_011.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500
