cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error
cell_001,Northern California,39.525053,-124.017028,10,cell_001.geojson,kelpwatch_cell_001.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_002,Northern California,39.52881,-123.900726,10,cell_002.geojson,kelpwatch_cell_002.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_003,Northern California,39.532457,-123.784412,10,cell_003.geojson,kelpwatch_cell_003.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,92,true,true,false,42,41,1985,2025,7282,1280.571429,895.5,573,1367.75,573,1280.571429,7282,2025,152,-421,0.118697,91.714286,89,0.996894,0,
cell_004,Northern California,39.535993,-123.668087,10,cell_004.geojson,kelpwatch_cell_004.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_005,Northern California,39.435143,-124.012104,10,cell_005.geojson,kelpwatch_cell_005.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_006,Northern California,39.438895,-123.895944,10,cell_006.geojson,kelpwatch_cell_006.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_007,Northern California,39.442536,-123.779772,10,cell_007.geojson,kelpwatch_cell_007.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1477,true,true,true,42,42,1984,2025,159150,33383.02381,8103.5,2268.25,48251.5,2268.25,33383.02381,159150,2025,2386,117.75,0.071473,1473.880952,1440,0.997888,0,
cell_008,Northern California,39.446068,-123.663589,10,cell_008.geojson,kelpwatch_cell_008.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_009,Northern California,39.345236,-124.007192,10,cell_009.geojson,kelpwatch_cell_009.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_010,Northern California,39.348983,-123.891174,10,cell_010.geojson,kelpwatch_cell_010.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
cell_011,Northern California,39.35262,-123.775144,10,cell_011.geojson,kelpwatch_cell_011.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1326,true,true,true,42,41,1985,2025,209798,44508.928571,14738,2259,46764.75,2259,44508.928571,209798,2025,455,-1804,0.010223,1323.595238,1297,0.998186,0,
cell_012,Northern California,39.356147,-123.659103,10,cell_012.geojson,kelpwatch_cell_012.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,0,false,false,false,42,0,,,0,0,0,0,0,0,0,0,2025,0,,,0,0,,0,
