cell_id,region_group,center_lat,center_lon,cell_size_km,geojson_file,kelpwatch_csv_file,time_variable,selection_rule,final_filter_after_kelpwatch,kelpwatch_csv_exists,kelpwatch_csv_rows,kelpwatch_has_required_columns,kelpwatch_has_quarter_max,historic_footprint_cells,has_historic_kelp_footprint,passes_initial_filter,passes_robustness_filter_500,n_years_total,n_years_with_positive_kelp,first_positive_kelp_year,last_positive_kelp_year,max_growing_season_kelp_area_m2,mean_growing_season_kelp_area_m2,median_growing_season_kelp_area_m2,p25_growing_season_kelp_area_m2,p75_growing_season_kelp_area_m2,historical_p25_kelp_area_m2,historical_mean_kelp_area_m2,historical_max_kelp_area_m2,latest_year,latest_growing_season_kelp_area_m2,latest_vs_historical_p25,latest_vs_historical_mean_ratio,mean_count_cells_no_clouds_max,min_count_cells_no_clouds_max,mean_cloud_free_fraction,n_missing_or_empty_max_rows,summary_error,passes_exploratory_filter_gt0,passes_main_filter_ge500
cell_003,Northern California,39.532457,-123.784412,10,cell_003.geojson,kelpwatch_cell_003.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,92,true,true,false,42,41,1985,2025,7282,1280.571429,895.5,573,1367.75,573,1280.571429,7282,2025,152,-421,0.118697,91.714286,89,0.996894,0,,true,false
cell_007,Northern California,39.442536,-123.779772,10,cell_007.geojson,kelpwatch_cell_007.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1477,true,true,true,42,42,1984,2025,159150,33383.02381,8103.5,2268.25,48251.5,2268.25,33383.02381,159150,2025,2386,117.75,0.071473,1473.880952,1440,0.997888,0,,true,true
cell_011,Northern California,39.35262,-123.775144,10,cell_011.geojson,kelpwatch_cell_011.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1326,true,true,true,42,41,1985,2025,209798,44508.928571,14738,2259,46764.75,2259,44508.928571,209798,2025,455,-1804,0.010223,1323.595238,1297,0.998186,0,,true,true
cell_015,Northern California,39.262707,-123.770527,10,cell_015.geojson,kelpwatch_cell_015.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2825,true,true,true,42,42,1984,2025,619276,134194.380952,68768,15560,196093,15560,134194.380952,619276,2025,7168,-8392,0.053415,2818.714286,2746,0.997775,0,,true,true
cell_019,Northern California,39.172798,-123.765921,10,cell_019.geojson,kelpwatch_cell_019.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1847,true,true,true,42,42,1984,2025,418348,78695.190476,21129,5111,87952.25,5111,78695.190476,418348,2025,2251,-2860,0.028604,1839.761905,1742,0.996081,0,,true,true
cell_023,Northern California,39.082892,-123.761326,10,cell_023.geojson,kelpwatch_cell_023.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,2002,true,true,true,42,42,1984,2025,471466,49661.47619,10869.5,2654.75,64251,2654.75,49661.47619,471466,2025,7156,4501.25,0.144096,2001.595238,1991,0.999798,0,,true,true
cell_024,Northern California,39.086406,-123.645709,10,cell_024.geojson,kelpwatch_cell_024.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,453,true,true,false,42,36,1984,2025,128661,11368.333333,1093.5,102,11029.25,102,11368.333333,128661,2025,779,677,0.068524,453,453,1,0,,true,false
cell_027,Northern California,38.992989,-123.756743,10,cell_027.geojson,kelpwatch_cell_027.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,147,true,true,false,42,30,1985,2025,25317,3667.5,1245,0,5170.5,0,3667.5,25317,2025,992,,0.270484,147,147,1,0,,true,false
cell_028,Northern California,38.996498,-123.641266,10,cell_028.geojson,kelpwatch_cell_028.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,1,true,true,false,42,2,2012,2013,196,5.571429,0,0,0,0,5.571429,196,2025,0,,0,1,1,1,0,,true,false
cell_031,Northern California,38.903088,-123.75217,10,cell_031.geojson,kelpwatch_cell_031.csv,Growing Season Max,cell intersects 15 km buffer around simplified Northern/Central California coastal transect,retain if count_cells_historic_footprint > 0; stricter option: >= 500,true,211,true,true,3842,true,true,true,42,42,1984,2025,641885,157606.809524,110669.5,16708,303930,16708,157606.809524,641885,2025,15792,-916,0.100199,3841.761905,3840,0.999938,0,,true,true
