,annual_max_sst,annual_max_sst_anomaly,annual_mean_beuti,annual_mean_cuti,annual_mean_sst,annual_mean_sst_anomaly,annual_min_sst,annual_sst_std,beuti_anomaly,center_lat,center_lon,count_cells_historic_footprint,count_cells_kelp,count_cells_no_clouds,cuti_anomaly,historical_footprint_area_m2,hot_days_p90,hot_days_p95,kelp_area_m2,lag1_annual_mean_sst_anomaly,lag1_beuti_anomaly,lag1_cuti_anomaly,lag1_hot_days_p90,lag1_relative_canopy,relative_canopy,relative_canopy_change_lag1,spring_mean_beuti,spring_mean_cuti,summer_mean_beuti,summer_mean_cuti
annual_max_sst,1.0,0.7316984800589482,-0.6172935038217836,-0.44648943506606364,0.8690073516040095,0.6050486729844424,0.6484783865959818,0.7082495999730102,-0.3303812475076975,-0.6180245310101439,0.6167944676583993,0.246226504619037,0.16248635178395163,0.2447800581079753,-0.2149432016028919,0.24622650461903758,0.6524694816080029,0.6314159257303767,0.15148489307109458,0.3098173018084339,-0.15383991000416436,-0.18408302363869086,0.3169230332221002,0.2035883785924365,0.14513082915823763,-0.06732341754367865,-0.4732499214468753,-0.33567872062059545,-0.5976633343458748,-0.545335485322722
annual_max_sst_anomaly,0.7316984800589482,1.0,-0.2439850068634141,-0.18661527534794037,0.4266873767443247,0.7883677582264077,0.1778371795841031,0.6334058627002839,-0.42474956487373067,0.0556910620669777,-0.055362763686202514,-0.021619079130032373,-0.11428175321536016,-0.02295727912999317,-0.3519791502792724,-0.02161907913003241,0.857699052548306,0.8276229173741902,-0.09797773612900451,0.39267856711580706,-0.18802190960789375,-0.3000677483309859,0.40967291061970923,-0.0496172469258504,-0.12850647553081387,-0.08936886132038707,-0.2551180928601235,-0.21165280412372967,-0.14312628647796216,-0.15903507567244335
annual_mean_beuti,-0.6172935038217836,-0.2439850068634141,1.0,0.8164373959711603,-0.805528744320349,-0.4741309860182901,-0.7356872102500053,-0.21626176851387433,0.6872386675904213,0.6606268542778336,-0.6610884281584299,-0.2324216601039512,-0.20549602032294595,-0.23184085795185347,0.4074599707448391,-0.23242166010395135,-0.34449986969299645,-0.29549262356575323,-0.2193502560710365,-0.20953294552360086,0.21769467132817436,0.19607701269725802,-0.20736602557338363,-0.3267020195304129,-0.2166660240625381,0.12646568137305692,0.869440413794145,0.7034713338348118,0.8501300954028465,0.7418317489727907
annual_mean_cuti,-0.44648943506606364,-0.18661527534794037,0.8164373959711603,1.0,-0.6002546815153809,-0.3603393890517491,-0.5550948492298361,-0.1864123876488274,0.4756470657475992,0.4835704070925743,-0.4841712293602927,-0.16645673297727345,-0.16769406768732703,-0.16686637541128882,0.5986819048875958,-0.166456732977274,-0.27701483872291877,-0.23945081026146542,-0.20054437000880476,-0.11971700305251154,0.09602954226439629,0.24688231843687336,-0.11296103052642617,-0.30277496593043857,-0.19468088541901005,0.12415067008770683,0.6679964000277512,0.7606460012210107,0.646576700295108,0.7896480345989301
annual_mean_sst,0.8690073516040095,0.4266873767443247,-0.805528744320349,-0.6002546815153809,1.0,0.5988016701340281,0.847105197092874,0.4910345139230404,-0.421091587464261,-0.7880177382335382,0.7853578732440063,0.30600044473182786,0.2306397658627265,0.3048379091379834,-0.24773862449431955,0.30600044473182886,0.5216614296663978,0.490243225002984,0.22466720925067254,0.3405466427129216,-0.21132919637942066,-0.20373789247105334,0.3373702038313435,0.2894012772895124,0.21788020515057668,-0.08255277407854582,-0.6707925836803,-0.49060380819970123,-0.7290619019791774,-0.6568902394638
annual_mean_sst_anomaly,0.6050486729844424,0.7883677582264077,-0.4741309860182901,-0.3603393890517491,0.5988016701340281,1.0,0.37789936259808266,0.4067253349632704,-0.692387301590947,-0.006702629116722794,0.007091204626566208,0.001970107400199357,-0.12029651071726315,0.0009708813252431539,-0.5293704225766751,0.001970107400199368,0.8822187989726037,0.8234554065160807,-0.09469076333194046,0.5526493276190209,-0.3305856175959469,-0.4372362628847754,0.5604234816102128,-0.02057554961199617,-0.14421213675555408,-0.14032225428693693,-0.56255769060008,-0.4494888244916468,-0.22628548429124545,-0.21559874634579154
annual_min_sst,0.6484783865959818,0.1778371795841031,-0.7356872102500053,-0.5550948492298361,0.847105197092874,0.37789936259808266,1.0,0.11878423587833964,-0.3223978500038464,-0.7469786764082739,0.7431249987068003,0.3106327981219974,0.26880098811668723,0.31070048108700626,-0.1373822759684368,0.31063279812199746,0.21554728938769938,0.1610058823476714,0.2605547983044487,0.16155936380673183,-0.09929418748700598,-0.07604849412631609,0.10556543967147215,0.3321621257999715,0.2516181683220237,-0.0929960032274553,-0.6400122290166746,-0.4682269029485935,-0.6678742373110113,-0.6037216847027093
annual_sst_std,0.7082495999730102,0.6334058627002839,-0.21626176851387433,-0.1864123876488274,0.4910345139230404,0.4067253349632704,0.11878423587833964,1.0,-0.029081653251962124,-0.31561302878938075,0.3169837936674411,0.1034696070771332,0.05060531478857766,0.10086714954982356,-0.07088185154281186,0.10346960707713375,0.6991691068974669,0.7440950035624253,0.052472759200601904,0.20668132291994346,-0.039369763367281665,-0.010822425854388622,0.29277773711640104,0.022212521890051223,0.06402925598524989,0.04739037805003019,-0.06628825185836723,-0.08723270640225582,-0.2952969951875802,-0.3091316024996418
beuti_anomaly,-0.3303812475076975,-0.42474956487373067,0.6872386675904213,0.4756470657475992,-0.421091587464261,-0.692387301590947,-0.3223978500038464,-0.029081653251962124,1.0,0.016789356867679746,-0.018338245098981014,-0.0011537230870761795,0.07903879445119613,-0.0008220298774897185,0.6932199259512548,-0.001153723087076218,-0.5100812182187583,-0.43196862973013206,0.04512901813002647,-0.292122069190476,0.29375240061458874,0.3623383090355735,-0.29841637604438365,-0.08342927312179263,0.082614634373674,0.18896121155670592,0.7589812107301226,0.5786400808683749,0.39178365223764805,0.22942496506126442
center_lat,-0.6180245310101439,0.0556910620669777,0.6606268542778336,0.4835704070925743,-0.7880177382335382,-0.006702629116722794,-0.7469786764082739,-0.31561302878938075,0.016789356867679746,1.0,-0.9959257229061445,-0.3599732227564087,-0.35932606165509573,-0.35898183618074103,-0.08077323568142511,-0.3599732227564095,0.0026538433280860695,-0.000560970905672199,-0.3363221138841012,-0.014964126625705513,0.02212138559532342,-0.06719971310516017,-0.005294928504245462,-0.36369583181637505,-0.366655158242952,-0.0016959182555732254,0.42468984683078875,0.2827448499709091,0.7511572212493501,0.6689415572467017
center_lon,0.6167944676583993,-0.055362763686202514,-0.6610884281584299,-0.4841712293602927,0.7853578732440063,0.007091204626566208,0.7431249987068003,0.3169837936674411,-0.018338245098981014,-0.9959257229061445,1.0,0.3484383604146339,0.34507306481724315,0.3473236549103799,0.07876919590428906,0.3484383604146354,-0.001442422390182356,0.0013240021658033874,0.3179293034587965,0.015020414465115109,-0.02358028238676482,0.065152483462095,0.006291687526260316,0.34415709351826984,0.34751136316324854,0.0022339136970042145,-0.4260837260779315,-0.2857938508386686,-0.7519545139268988,-0.670836732285573
count_cells_historic_footprint,0.246226504619037,-0.021619079130032373,-0.2324216601039512,-0.16645673297727345,0.30600044473182786,0.001970107400199357,0.3106327981219974,0.1034696070771332,-0.0011537230870761795,-0.3599732227564087,0.3484383604146339,1.0,0.7595712578973444,0.9995824610300241,0.024469911090796576,0.9999999999999997,-0.0034669225492636475,-0.001942973320297646,0.6142194537488946,0.00507962126287501,-0.0023936757025546907,0.02060184340546372,7.301826512199582e-05,0.1846079752365559,0.18000755330650783,-0.006069946500843592,-0.15676205694708117,-0.09732385916419514,-0.25531057057915846,-0.21748580461859174
count_cells_kelp,0.16248635178395163,-0.11428175321536016,-0.20549602032294595,-0.16769406768732703,0.2306397658627265,-0.12029651071726315,0.26880098811668723,0.05060531478857766,0.07903879445119613,-0.35932606165509573,0.34507306481724315,0.7595712578973444,1.0,0.7597552227466271,0.12303757341462301,0.7595712578973444,-0.09678224828695252,-0.07826339000503751,0.9095476123071033,-0.08770959083540955,0.027003124443278296,0.11826216905875456,-0.08571199090959306,0.4236419884500838,0.6086139521829437,0.20813673268920563,-0.07411709111290171,-0.05513754772543463,-0.2975917809354842,-0.2556624862385528
count_cells_no_clouds,0.2447800581079753,-0.02295727912999317,-0.23184085795185347,-0.16686637541128882,0.3048379091379834,0.0009708813252431539,0.31070048108700626,0.10086714954982356,-0.0008220298774897185,-0.35898183618074103,0.3473236549103799,0.9995824610300241,0.7597552227466271,1.0,0.023940884841731732,0.999582461030023,-0.005364043517132022,-0.0040419605831837815,0.6140288914682122,0.004054364139558471,-0.001778317111461975,0.02039642592822973,-0.0014210616121028083,0.18458320460659797,0.18018266548224762,-0.005842822347991911,-0.15652244591141887,-0.09745588035749657,-0.25435267026958386,-0.21701914602936226
cuti_anomaly,-0.2149432016028919,-0.3519791502792724,0.4074599707448391,0.5986819048875958,-0.24773862449431955,-0.5293704225766751,-0.1373822759684368,-0.07088185154281186,0.6932199259512548,-0.08077323568142511,0.07876919590428906,0.024469911090796576,0.12303757341462301,0.023940884841731732,1.0,0.02446991109079663,-0.4157066534023558,-0.3486832702581538,0.08561606498106063,-0.1596925593613908,0.10890731412331611,0.4482788654254638,-0.15959199768612684,-0.03182519647959831,0.1326189074858975,0.1869080338753068,0.4493582186197216,0.5537228227529818,0.10206370740437963,0.21699738496577345
historical_footprint_area_m2,0.24622650461903758,-0.02161907913003241,-0.23242166010395135,-0.166456732977274,0.30600044473182886,0.001970107400199368,0.31063279812199746,0.10346960707713375,-0.001153723087076218,-0.3599732227564095,0.3484383604146354,0.9999999999999997,0.7595712578973444,0.999582461030023,0.02446991109079663,1.0,-0.0034669225492636488,-0.001942973320297643,0.6142194537488928,0.0050796212628750215,-0.0023936757025547384,0.020601843405463647,7.301826512201597e-05,0.18460797523655467,0.18000755330650742,-0.006069946500843573,-0.15676205694708162,-0.09732385916419532,-0.25531057057916,-0.2174858046185927
hot_days_p90,0.6524694816080029,0.857699052548306,-0.34449986969299645,-0.27701483872291877,0.5216614296663978,0.8822187989726037,0.21554728938769938,0.6991691068974669,-0.5100812182187583,0.0026538433280860695,-0.001442422390182356,-0.0034669225492636475,-0.09678224828695252,-0.005364043517132022,-0.4157066534023558,-0.0034669225492636488,1.0,0.9625787071606251,-0.07516308620259277,0.4508251423824626,-0.23656460195733925,-0.29167270545022606,0.5089747042718992,-0.04196363775383708,-0.10741456759450282,-0.0741417659495705,-0.34968075058577286,-0.3072433161319206,-0.22176214501062982,-0.2283904689096644
