feature_1,feature_2,correlation,abs_correlation,feature_1_sets,feature_2_sets
count_cells_historic_footprint,historical_footprint_area_m2,0.9999999999999997,0.9999999999999997,"canopy_only,canopy_noaa","canopy_only,canopy_noaa"
count_cells_historic_footprint,count_cells_no_clouds,0.9995824610300241,0.9995824610300241,"canopy_only,canopy_noaa","canopy_only,canopy_noaa"
count_cells_no_clouds,historical_footprint_area_m2,0.999582461030023,0.999582461030023,"canopy_only,canopy_noaa","canopy_only,canopy_noaa"
center_lat,center_lon,-0.9959257229061445,0.9959257229061445,canopy_noaa,canopy_noaa
hot_days_p90,hot_days_p95,0.9625787071606251,0.9625787071606251,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
count_cells_kelp,kelp_area_m2,0.9095476123071033,0.9095476123071033,"canopy_only,canopy_noaa","canopy_only,canopy_noaa"
lag1_annual_mean_sst_anomaly,lag1_hot_days_p90,0.8862806245552125,0.8862806245552125,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
annual_mean_sst_anomaly,hot_days_p90,0.8822187989726037,0.8822187989726037,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
summer_mean_beuti,summer_mean_cuti,0.8702304741585756,0.8702304741585756,canopy_noaa,canopy_noaa
annual_mean_beuti,spring_mean_beuti,0.869440413794145,0.869440413794145,canopy_noaa,canopy_noaa
annual_max_sst,annual_mean_sst,0.8690073516040095,0.8690073516040095,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
annual_max_sst_anomaly,hot_days_p90,0.857699052548306,0.857699052548306,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
spring_mean_beuti,spring_mean_cuti,0.8535470160108831,0.8535470160108831,canopy_noaa,canopy_noaa
annual_mean_beuti,summer_mean_beuti,0.8501300954028465,0.8501300954028465,canopy_noaa,canopy_noaa
annual_mean_sst,annual_min_sst,0.847105197092874,0.847105197092874,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
annual_max_sst_anomaly,hot_days_p95,0.8276229173741902,0.8276229173741902,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
annual_mean_sst_anomaly,hot_days_p95,0.8234554065160807,0.8234554065160807,"oisst_only,canopy_noaa","oisst_only,canopy_noaa"
annual_mean_beuti,annual_mean_cuti,0.8164373959711603,0.8164373959711603,canopy_noaa,canopy_noaa
annual_mean_beuti,annual_mean_sst,-0.805528744320349,0.805528744320349,canopy_noaa,"oisst_only,canopy_noaa"
