feature_set,feature,vif,r_squared_with_other_features,condition_number_feature_set,n_features_in_vif_model,n_observations,missing_values
canopy_noaa,relative_canopy,inf,1.0,inf,30,1800,0
canopy_noaa,count_cells_historic_footprint,inf,1.0,inf,30,1800,0
canopy_noaa,historical_footprint_area_m2,inf,1.0,inf,30,1800,0
canopy_noaa,lag1_relative_canopy,inf,1.0,inf,30,1800,0
canopy_noaa,relative_canopy_change_lag1,inf,1.0,inf,30,1800,0
canopy_noaa,count_cells_no_clouds,1227.6576776926042,0.9991854406825529,inf,30,1800,0
canopy_noaa,annual_mean_beuti,271.8440449189758,0.9963214202455748,inf,30,1800,0
canopy_noaa,annual_mean_sst,218.05750605308046,0.9954140537599445,inf,30,1800,0
canopy_noaa,annual_max_sst,201.29750364729324,0.995032228508148,inf,30,1800,0
canopy_noaa,center_lat,164.97123268396803,0.9939383371044109,inf,30,1800,0
canopy_noaa,center_lon,141.26624562225416,0.9929211681417938,inf,30,1800,0
canopy_noaa,annual_max_sst_anomaly,120.33617502423276,0.9916899469357521,inf,30,1800,0
canopy_noaa,annual_mean_sst_anomaly,78.30863123656621,0.9872300155907584,inf,30,1800,0
canopy_noaa,annual_mean_cuti,77.4981893112908,0.9870964727190819,inf,30,1800,0
canopy_noaa,beuti_anomaly,71.09260426477607,0.9859338392461244,inf,30,1800,0
canopy_noaa,spring_mean_beuti,60.13317725759393,0.9833702450858987,inf,30,1800,0
canopy_noaa,summer_mean_beuti,46.69589756977389,0.9785848425227124,inf,30,1800,0
canopy_noaa,hot_days_p90,29.72770115113449,0.9663613410631371,inf,30,1800,0
canopy_noaa,cuti_anomaly,23.55514611879183,0.9575464318940387,inf,30,1800,0
canopy_noaa,summer_mean_cuti,21.594592025629815,0.9536921096349893,inf,30,1800,0
canopy_noaa,hot_days_p95,19.708787607754797,0.949261211805513,inf,30,1800,0
canopy_noaa,spring_mean_cuti,18.386397264028496,0.9456119659746274,inf,30,1800,0
canopy_noaa,annual_sst_std,11.24219267844448,0.9110493807922918,inf,30,1800,0
canopy_noaa,kelp_area_m2,10.655965912712537,0.9061558559598053,inf,30,1800,0
canopy_noaa,count_cells_kelp,10.454468105323189,0.904347118387513,inf,30,1800,0
canopy_noaa,lag1_annual_mean_sst_anomaly,9.719786014741285,0.8971170766019567,inf,30,1800,0
canopy_noaa,annual_min_sst,9.073689731694639,0.8897912503546409,inf,30,1800,0
canopy_noaa,lag1_hot_days_p90,6.9105470105957165,0.8552936549788703,inf,30,1800,0
canopy_noaa,lag1_beuti_anomaly,4.671186524043145,0.7859216293648557,inf,30,1800,0
canopy_noaa,lag1_cuti_anomaly,3.8206852149604003,0.7382668438414222,inf,30,1800,0
canopy_only,relative_canopy,inf,1.0,inf,8,1800,0
canopy_only,count_cells_historic_footprint,inf,1.0,inf,8,1800,0
canopy_only,historical_footprint_area_m2,inf,1.0,inf,8,1800,0
canopy_only,lag1_relative_canopy,inf,1.0,inf,8,1800,0
canopy_only,relative_canopy_change_lag1,inf,1.0,inf,8,1800,0
canopy_only,count_cells_no_clouds,1200.654659075274,0.9991671210431398,inf,8,1800,0
canopy_only,kelp_area_m2,9.594614543202796,0.8957748645870887,inf,8,1800,0
canopy_only,count_cells_kelp,9.343277739873043,0.8929711790828571,inf,8,1800,0
oisst_only,annual_max_sst,138.1990975593746,0.9927640627351393,45.87474650674605,10,1800,0
oisst_only,annual_mean_sst,115.18502709473019,0.9913183160587566,45.87474650674605,10,1800,0
oisst_only,annual_max_sst_anomaly,84.46670996076534,0.9881610163286282,45.87474650674605,10,1800,0
oisst_only,annual_mean_sst_anomaly,41.039715105894985,0.9756333591151962,45.87474650674605,10,1800,0
oisst_only,hot_days_p90,25.90475600539541,0.9613970500323678,45.87474650674605,10,1800,0
oisst_only,hot_days_p95,17.890521802062477,0.9441044810730609,45.87474650674605,10,1800,0
oisst_only,annual_sst_std,9.082718676094773,0.8899008066128982,45.87474650674605,10,1800,0
oisst_only,annual_min_sst,7.7230811738672696,0.8705179995538933,45.87474650674605,10,1800,0
oisst_only,lag1_hot_days_p90,5.374789678469712,0.813946208164053,45.87474650674605,10,1800,0
oisst_only,lag1_annual_mean_sst_anomaly,5.19265329759444,0.8074202257132664,45.87474650674605,10,1800,0
