cell_id,center_lat,center_lon,oisst_source_lat,oisst_source_lon,oisst_matching_distance_km
cell_007,39.442536,-123.779772,39.375,-123.875,11.105392976063067
cell_011,39.35262,-123.775144,39.375,-123.875,8.93791849426029
cell_015,39.262707,-123.770527,39.375,-123.875,15.384421019729837
cell_019,39.172798,-123.765921,39.125,-123.875,10.803899321568105
cell_023,39.082892,-123.761326,39.125,-123.875,10.868900140719044
cell_031,38.903088,-123.75217,38.875,-123.875,11.08024724359543
cell_032,38.906593,-123.636834,38.875,-123.625,3.6592453437037293
cell_037,38.816691,-123.632413,38.875,-123.625,6.515379805542585
cell_038,38.820083,-123.517205,38.875,-123.625,11.15499148601119
cell_042,38.730178,-123.512935,38.625,-123.625,15.212309140063125
cell_048,38.64355,-123.393735,38.625,-123.375,2.62731082918089
cell_053,38.553645,-123.389624,38.625,-123.375,8.035486033690932
cell_054,38.556807,-123.274815,38.625,-123.375,11.546204167566868
cell_059,38.4669,-123.270852,38.375,-123.375,13.665502262633863
cell_060,38.469948,-123.156172,38.375,-123.125,10.901395496678214
cell_132,37.139296,-122.311203,37.125,-122.375,5.874747111644232
cell_142,36.961555,-122.193287,36.875,-122.125,11.379108568741007
cell_143,36.963583,-122.080848,36.875,-122.125,10.60322427750819
cell_144,36.965504,-121.968403,36.875,-121.875,13.046858147815422
cell_162,36.605697,-121.959107,36.625,-121.875,7.8075168661938505
cell_163,36.607503,-121.847188,36.625,-121.875,3.1538514527951054
cell_166,36.515737,-121.956797,36.625,-121.875,14.176394054264852
cell_170,36.425775,-121.954492,36.375,-121.875,9.082558344283111
cell_174,36.335809,-121.952193,36.375,-121.875,8.171718418821335
cell_175,36.337609,-121.840668,36.375,-121.875,5.1709441569235
cell_180,36.247637,-121.838505,36.125,-121.875,14.02444593755601
cell_181,36.249329,-121.727106,36.125,-121.625,16.585943847558728
cell_185,36.159351,-121.725079,36.125,-121.625,9.764779643798079
cell_186,36.160936,-121.613805,36.125,-121.625,4.1204142104796855
cell_191,36.070952,-121.611913,36.125,-121.625,6.123816014419134
cell_196,35.980964,-121.610026,35.875,-121.625,11.859564677939524
cell_197,35.982439,-121.499009,35.875,-121.375,16.352294708416384
cell_202,35.892445,-121.497255,35.875,-121.375,11.183608362970153
cell_203,35.893814,-121.386364,35.875,-121.375,2.329099724231266
cell_207,35.803813,-121.384744,35.875,-121.375,7.964226410915902
cell_213,35.715068,-121.272492,35.625,-121.375,13.63996459457594
cell_218,35.625056,-121.271008,35.625,-121.375,9.399268697265665
cell_219,35.62621,-121.160498,35.625,-121.125,3.211266394577206
cell_224,35.536191,-121.159146,35.625,-121.125,10.346676366646417
cell_225,35.537239,-121.048761,35.625,-121.125,11.94845993395361
cell_230,35.447214,-121.047541,35.375,-121.125,10.66562729881869
cell_231,35.448156,-120.937281,35.375,-120.875,9.900949287242515
cell_240,35.268085,-120.935106,35.375,-120.875,13.07944583852265
cell_246,35.178875,-120.824143,35.125,-120.875,7.567466572713501
cell_247,35.179606,-120.714262,35.125,-120.625,10.135419306185549
cell_277,34.549712,-120.599515,34.625,-120.625,8.690646206616542
cell_278,34.550229,-120.490514,34.375,-120.375,22.176656961671902
cell_283,34.460125,-120.489951,34.375,-120.375,14.16965472396488
cell_284,34.460539,-120.381074,34.375,-120.375,9.52782062211755
cell_285,34.460849,-120.272197,34.375,-120.375,13.418302140546754
