domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,current_only,0.05,2005,144,8,89,7,0.875,0.07865168539325842
full_oisst_domain,logistic,current_only,0.05,2006,133,7,19,3,0.42857142857142855,0.15789473684210525
full_oisst_domain,logistic,current_only,0.05,2007,158,8,47,5,0.625,0.10638297872340426
full_oisst_domain,logistic,current_only,0.05,2008,160,8,40,6,0.75,0.15
full_oisst_domain,logistic,current_only,0.05,2009,160,8,79,3,0.375,0.0379746835443038
full_oisst_domain,logistic,current_only,0.05,2010,158,8,77,6,0.75,0.07792207792207792
full_oisst_domain,logistic,current_only,0.05,2011,141,8,51,4,0.5,0.0784313725490196
full_oisst_domain,logistic,current_only,0.05,2012,144,8,26,5,0.625,0.19230769230769232
full_oisst_domain,logistic,current_only,0.05,2013,159,8,97,6,0.75,0.061855670103092786
full_oisst_domain,logistic,current_only,0.05,2014,144,8,53,5,0.625,0.09433962264150944
full_oisst_domain,logistic,current_only,0.05,2015,120,6,59,6,1.0,0.1016949152542373
full_oisst_domain,logistic,current_only,0.05,2016,111,6,37,5,0.8333333333333334,0.13513513513513514
full_oisst_domain,logistic,current_only,0.05,2017,122,7,17,1,0.14285714285714285,0.058823529411764705
full_oisst_domain,logistic,current_only,0.05,2018,134,7,104,7,1.0,0.0673076923076923
full_oisst_domain,logistic,current_only,0.05,2019,93,5,29,4,0.8,0.13793103448275862
full_oisst_domain,logistic,current_only,0.05,2020,117,6,41,3,0.5,0.07317073170731707
full_oisst_domain,logistic,current_only,0.05,2021,117,6,38,2,0.3333333333333333,0.05263157894736842
full_oisst_domain,logistic,current_only,0.05,2022,110,6,74,6,1.0,0.08108108108108109
full_oisst_domain,logistic,current_only,0.05,2023,87,5,14,2,0.4,0.14285714285714285
full_oisst_domain,logistic,current_only,0.05,2024,102,6,17,0,0.0,0.0
full_oisst_domain,logistic,current_only,0.1,2005,144,15,89,13,0.8666666666666667,0.14606741573033707
full_oisst_domain,logistic,current_only,0.1,2006,133,14,19,7,0.5,0.3684210526315789
full_oisst_domain,logistic,current_only,0.1,2007,158,16,47,12,0.75,0.2553191489361702
full_oisst_domain,logistic,current_only,0.1,2008,160,16,40,11,0.6875,0.275
full_oisst_domain,logistic,current_only,0.1,2009,160,16,79,9,0.5625,0.11392405063291139
full_oisst_domain,logistic,current_only,0.1,2010,158,16,77,12,0.75,0.15584415584415584
full_oisst_domain,logistic,current_only,0.1,2011,141,15,51,10,0.6666666666666666,0.19607843137254902
full_oisst_domain,logistic,current_only,0.1,2012,144,15,26,8,0.5333333333333333,0.3076923076923077
full_oisst_domain,logistic,current_only,0.1,2013,159,16,97,13,0.8125,0.13402061855670103
full_oisst_domain,logistic,current_only,0.1,2014,144,15,53,11,0.7333333333333333,0.20754716981132076
full_oisst_domain,logistic,current_only,0.1,2015,120,12,59,12,1.0,0.2033898305084746
full_oisst_domain,logistic,current_only,0.1,2016,111,12,37,9,0.75,0.24324324324324326
full_oisst_domain,logistic,current_only,0.1,2017,122,13,17,4,0.3076923076923077,0.23529411764705882
full_oisst_domain,logistic,current_only,0.1,2018,134,14,104,14,1.0,0.1346153846153846
full_oisst_domain,logistic,current_only,0.1,2019,93,10,29,9,0.9,0.3103448275862069
full_oisst_domain,logistic,current_only,0.1,2020,117,12,41,5,0.4166666666666667,0.12195121951219512
full_oisst_domain,logistic,current_only,0.1,2021,117,12,38,6,0.5,0.15789473684210525
full_oisst_domain,logistic,current_only,0.1,2022,110,11,74,11,1.0,0.14864864864864866
full_oisst_domain,logistic,current_only,0.1,2023,87,9,14,2,0.2222222222222222,0.14285714285714285
full_oisst_domain,logistic,current_only,0.1,2024,102,11,17,0,0.0,0.0
full_oisst_domain,logistic,current_only,0.2,2005,144,29,89,24,0.8275862068965517,0.2696629213483146
full_oisst_domain,logistic,current_only,0.2,2006,133,27,19,11,0.4074074074074074,0.5789473684210527
full_oisst_domain,logistic,current_only,0.2,2007,158,32,47,21,0.65625,0.44680851063829785
full_oisst_domain,logistic,current_only,0.2,2008,160,32,40,18,0.5625,0.45
full_oisst_domain,logistic,current_only,0.2,2009,160,32,79,17,0.53125,0.21518987341772153
full_oisst_domain,logistic,current_only,0.2,2010,158,32,77,23,0.71875,0.2987012987012987
full_oisst_domain,logistic,current_only,0.2,2011,141,29,51,19,0.6551724137931034,0.37254901960784315
full_oisst_domain,logistic,current_only,0.2,2012,144,29,26,14,0.4827586206896552,0.5384615384615384
full_oisst_domain,logistic,current_only,0.2,2013,159,32,97,26,0.8125,0.26804123711340205
