domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable
full_oisst_domain,logistic,current_only,expanding_window,2005,144,89,0.6180555555555556,0.7732712461387484,0.15521569058319284,True
full_oisst_domain,logistic,current_only,expanding_window,2006,133,19,0.14285714285714285,0.4541639749514663,0.31130683209432347,True
full_oisst_domain,logistic,current_only,expanding_window,2007,158,47,0.2974683544303797,0.5411822268825064,0.24371387245212667,True
full_oisst_domain,logistic,current_only,expanding_window,2008,160,40,0.25,0.5085627134872788,0.2585627134872788,True
full_oisst_domain,logistic,current_only,expanding_window,2009,160,79,0.49375,0.6052571493587802,0.11150714935878014,True
full_oisst_domain,logistic,current_only,expanding_window,2010,158,77,0.4873417721518987,0.6569136473750616,0.16957187522316292,True
full_oisst_domain,logistic,current_only,expanding_window,2011,141,51,0.3617021276595745,0.5557191082583248,0.19401698059875033,True
full_oisst_domain,logistic,current_only,expanding_window,2012,144,26,0.18055555555555555,0.4829660789961684,0.3024105234406128,True
full_oisst_domain,logistic,current_only,expanding_window,2013,159,97,0.610062893081761,0.7294056020599496,0.11934270897818866,True
full_oisst_domain,logistic,current_only,expanding_window,2014,144,53,0.3680555555555556,0.5369442828594977,0.1688887273039421,True
full_oisst_domain,logistic,current_only,expanding_window,2015,120,59,0.49166666666666664,0.7454933200405409,0.2538266533738743,True
full_oisst_domain,logistic,current_only,expanding_window,2016,111,37,0.3333333333333333,0.6280869378044491,0.2947536044711158,True
full_oisst_domain,logistic,current_only,expanding_window,2017,122,17,0.13934426229508196,0.2161658967927149,0.07682163449763293,True
full_oisst_domain,logistic,current_only,expanding_window,2018,134,104,0.7761194029850746,0.8732561231455335,0.09713672016045882,True
full_oisst_domain,logistic,current_only,expanding_window,2019,93,29,0.3118279569892473,0.5814123286128853,0.26958437162363796,True
full_oisst_domain,logistic,current_only,expanding_window,2020,117,41,0.3504273504273504,0.4143322566978065,0.06390490627045609,True
full_oisst_domain,logistic,current_only,expanding_window,2021,117,38,0.3247863247863248,0.47984010640058816,0.15505378161426336,True
full_oisst_domain,logistic,current_only,expanding_window,2022,110,74,0.6727272727272727,0.8451067916336338,0.17237951890636105,True
full_oisst_domain,logistic,current_only,expanding_window,2023,87,14,0.16091954022988506,0.2501762738330914,0.08925673360320632,True
full_oisst_domain,logistic,current_only,expanding_window,2024,102,17,0.16666666666666666,0.19009596288252276,0.0234292962158561,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2005,144,89,0.6180555555555556,0.7839853149118535,0.16592975935629795,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2006,133,19,0.14285714285714285,0.582261823053649,0.4394046801965062,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2007,158,47,0.2974683544303797,0.5836507165920829,0.2861823621617032,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2008,160,40,0.25,0.5297018733984629,0.27970187339846286,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2009,160,79,0.49375,0.5593202406768472,0.06557024067684714,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2010,158,77,0.4873417721518987,0.6697632506034725,0.1824214784515738,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2011,141,51,0.3617021276595745,0.5175533342374536,0.15585120657787915,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2012,144,26,0.18055555555555555,0.45682258451946633,0.27626702896391075,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2013,159,97,0.610062893081761,0.7117703572747645,0.10170746419300347,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2014,144,53,0.3680555555555556,0.5070658433002028,0.1390102877446472,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2015,120,59,0.49166666666666664,0.7203757573306384,0.22870909066397177,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2016,111,37,0.3333333333333333,0.6527794940605836,0.31944616072725024,True
