decline_threshold,canopy_cutoff,domain,comparison,estimate,ci_low,ci_high,estimable_years
0.2,0.02,full_oisst_domain,trajectory_minus_current,0.018002230811412293,0.005446115793757908,0.031331247345924705,20
0.2,0.02,full_oisst_domain,oisst_minus_trajectory,-0.016146648484431484,-0.03825874719234525,0.003249199433267993,20
0.2,0.02,upwelling_supported_domain,trajectory_minus_current,0.008819740259865837,-0.008325645185338572,0.025859459536266276,20
0.2,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.0044541553549164265,-0.019356658095793844,0.010145637103689074,20
0.2,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.0045085083897227415,-0.023348663177339725,0.015339531565782057,20
0.2,0.05,full_oisst_domain,trajectory_minus_current,0.01847528812939716,0.005643131061313633,0.03163884789519821,20
0.2,0.05,full_oisst_domain,oisst_minus_trajectory,-0.018408667004528662,-0.04126281296100291,0.0018315257199385182,20
0.2,0.05,upwelling_supported_domain,trajectory_minus_current,0.010234769934040383,-0.008549890615816144,0.02814982181174538,20
0.2,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.005682960952218419,-0.020919133717856777,0.008105329438876598,20
0.2,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.004933500720377945,-0.023291417445937143,0.014398635320224396,20
0.2,0.1,full_oisst_domain,trajectory_minus_current,0.017882500865672665,0.0030621718975725877,0.033007285235869495,20
0.2,0.1,full_oisst_domain,oisst_minus_trajectory,-0.021626768307807326,-0.04512454253313215,0.000696495366120058,20
0.2,0.1,upwelling_supported_domain,trajectory_minus_current,0.012431745544131864,-0.003668075536008659,0.029665008536677088,20
0.2,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.006843762724353,-0.024209507579340643,0.009474600337828392,20
0.2,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.010513841153346823,-0.029561280212534943,0.007740714264099123,20
0.3,0.02,full_oisst_domain,trajectory_minus_current,0.021408709050224906,0.002579476797506272,0.041453636952006295,20
0.3,0.02,full_oisst_domain,oisst_minus_trajectory,-0.020434142297819487,-0.049086974673449024,0.004774531469467003,20
0.3,0.02,upwelling_supported_domain,trajectory_minus_current,0.010678768351130555,-0.008818544861989385,0.03095214825977796,20
0.3,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.007851381455568776,-0.026650709088787916,0.008356656865055215,20
0.3,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.008962390654458804,-0.02846904811363528,0.01141439090423371,20
0.3,0.05,full_oisst_domain,trajectory_minus_current,0.02388986072107395,0.0032655390586951312,0.04329382396689698,20
0.3,0.05,full_oisst_domain,oisst_minus_trajectory,-0.02250451467877666,-0.05599549064954635,0.004572212540215633,20
0.3,0.05,upwelling_supported_domain,trajectory_minus_current,0.011425263959758895,-0.010181078121841498,0.03423313130384794,20
0.3,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.008679454982182856,-0.029278707184976233,0.009085311782884195,20
0.3,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.0030854511363421406,-0.028335713684000507,0.026221015064355504,20
0.3,0.1,full_oisst_domain,trajectory_minus_current,0.023633651298799054,0.003315763741486451,0.043607103089265575,20
0.3,0.1,full_oisst_domain,oisst_minus_trajectory,-0.02139440120442592,-0.05144715304564208,0.005608735246603612,20
0.3,0.1,upwelling_supported_domain,trajectory_minus_current,0.018749649104218235,-0.007884493465833104,0.04991797898991928,20
0.3,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.013107505338614012,-0.04085099213175665,0.013531919941854117,20
0.3,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.010330449843210594,-0.03691958682949065,0.019685870028926092,20
0.4,0.02,full_oisst_domain,trajectory_minus_current,0.018425836708438274,-0.0019127087733504255,0.03919502911292032,20
0.4,0.02,full_oisst_domain,oisst_minus_trajectory,-0.01647697353368798,-0.04210082043764063,0.008824148568173365,20
0.4,0.02,upwelling_supported_domain,trajectory_minus_current,0.012277031270900591,-0.01179322623361249,0.03602342846707377,20
0.4,0.02,upwelling_supported_domain,oisst_minus_trajectory,-0.005655020224667337,-0.022356537788605586,0.008708709804949075,20
0.4,0.02,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.014929781849751491,-0.03273935066484652,0.0022717968640667673,20
0.4,0.05,full_oisst_domain,trajectory_minus_current,0.019476780817448996,-0.0011588807851612949,0.040424655150542,20
0.4,0.05,full_oisst_domain,oisst_minus_trajectory,-0.018677096690166907,-0.046781995843468295,0.00778397543027416,20
0.4,0.05,upwelling_supported_domain,trajectory_minus_current,0.013372805852285913,-0.013492180034939794,0.03922032385591474,20
0.4,0.05,upwelling_supported_domain,oisst_minus_trajectory,-0.009659340368843566,-0.028919346070500937,0.009145263597931014,20
0.4,0.05,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.015449424529093175,-0.03357087160369539,0.0019873531387043573,20
0.4,0.1,full_oisst_domain,trajectory_minus_current,0.021460986948042687,0.0017220011812280392,0.04210070428962087,20
0.4,0.1,full_oisst_domain,oisst_minus_trajectory,-0.022245822824919347,-0.04889549915613158,0.004941325266718169,20
0.4,0.1,upwelling_supported_domain,trajectory_minus_current,0.017316885158855592,-0.00792192760953038,0.0446344629760761,20
0.4,0.1,upwelling_supported_domain,oisst_minus_trajectory,-0.008475858265653507,-0.03216479345948157,0.012510453354467052,20
0.4,0.1,upwelling_supported_domain,cuti_beuti_minus_oisst,-0.022136245790710864,-0.04780439223202783,-0.0011943155591822904,20
