domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
full_oisst_domain,logistic,current_only,expanding_window,2005,153,101,0.6601307189542484,0.8499229371919576,0.1897922182377092,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2006,145,25,0.1724137931034483,0.5623167089986076,0.38990291589515935,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2007,161,49,0.30434782608695654,0.5547840569264709,0.2504362308395144,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2008,162,48,0.2962962962962963,0.5638306540597618,0.26753435776346557,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2009,163,89,0.5460122699386503,0.7025916552880906,0.15657938534944038,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2010,162,90,0.5555555555555556,0.7633801662102655,0.20782461065470992,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2011,149,58,0.38926174496644295,0.6139710724988815,0.22470932753243855,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2012,148,29,0.19594594594594594,0.48879506849694826,0.2928491225510023,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2013,161,107,0.6645962732919255,0.7915367275911975,0.12694045429927203,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2014,156,62,0.3974358974358974,0.5360333910130538,0.1385974935771564,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2015,134,67,0.5,0.7804211014951518,0.28042110149515176,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2016,127,45,0.3543307086614173,0.6258923941950408,0.27156168553362353,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2017,139,26,0.18705035971223022,0.22653239046250317,0.039482030750272956,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2018,142,113,0.795774647887324,0.8692121535390693,0.07343750565174534,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2019,118,36,0.3050847457627119,0.5912890791502318,0.2862043333875199,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2020,130,59,0.45384615384615384,0.4755189299646403,0.021672776118486448,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2021,124,48,0.3870967741935484,0.556607414150946,0.16951063995739757,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2022,117,79,0.6752136752136753,0.8398855778195721,0.1646719026058968,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2023,106,23,0.2169811320754717,0.357556775242015,0.1405756431665433,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2024,111,29,0.26126126126126126,0.36758054365559517,0.10631928239433391,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2005,153,101,0.6601307189542484,0.8651774728369868,0.2050467538827384,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2006,145,25,0.1724137931034483,0.5974321004902509,0.4250183073868026,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2007,161,49,0.30434782608695654,0.5846165665031968,0.2802687404162403,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2008,162,48,0.2962962962962963,0.5707020038460434,0.27440570754974714,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2009,163,89,0.5460122699386503,0.6722499518300707,0.12623768189142048,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2010,162,90,0.5555555555555556,0.7668937558432523,0.21133820028769668,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2011,149,58,0.38926174496644295,0.5822756474832076,0.19301390251676465,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2012,148,29,0.19594594594594594,0.4657809966670111,0.2698350507210652,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2013,161,107,0.6645962732919255,0.7881153831887954,0.12351910989686987,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2014,156,62,0.3974358974358974,0.523394676002874,0.12595877856697663,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2015,134,67,0.5,0.7712377017148832,0.27123770171488315,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2016,127,45,0.3543307086614173,0.6401620250827603,0.285831316421343,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2017,139,26,0.18705035971223022,0.2734152744718811,0.08636491475965086,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2018,142,113,0.795774647887324,0.8882521663304298,0.09247751844310581,True,0.2,0.02
