domain,scope,comparison,left_model,right_model,estimate,ci_low,ci_high,strata,supported_positive
full_oisst_domain,year,trajectory_minus_current,current_plus_trajectory,current_only,0.02388986072107395,0.00558528825828007,0.045105174467178225,20,True
full_oisst_domain,year,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.02250451467877666,-0.05481216504557223,0.005669670361100662,20,False
full_oisst_domain,region_year,trajectory_minus_current,current_plus_trajectory,current_only,0.004583622319999826,-0.02066764137218652,0.03297912539002352,99,False
full_oisst_domain,region_year,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,0.0004775879476831159,-0.017991918211416193,0.018275072004901825,99,False
upwelling_supported_domain,year,trajectory_minus_current,current_plus_trajectory,current_only,0.011425263959758895,-0.01046863399044194,0.033939888695223096,20,False
upwelling_supported_domain,year,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.008679454982182856,-0.02864544252069135,0.00924723110695704,20,False
upwelling_supported_domain,year,cuti_beuti_minus_oisst,trajectory_plus_oisst_cuti_beuti,trajectory_plus_oisst,-0.0030854511363421406,-0.026328054232879497,0.0262392163987938,20,False
upwelling_supported_domain,region_year,trajectory_minus_current,current_plus_trajectory,current_only,-0.008058725141989237,-0.031319948775277204,0.021188151397763123,58,False
upwelling_supported_domain,region_year,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,0.01007047072228438,-7.733897829430964e-05,0.021495953322648923,58,False
upwelling_supported_domain,region_year,cuti_beuti_minus_oisst,trajectory_plus_oisst_cuti_beuti,trajectory_plus_oisst,0.012649157080548333,-0.0071303741088218535,0.03527758341927472,58,False
