domain,scope,model,estimate,ci_low,ci_high,strata
full_oisst_domain,year,current_only,0.17653421471286107,0.14085363613575372,0.2140929483084078,20
full_oisst_domain,year,current_plus_trajectory,0.20042407543393503,0.16114332995694555,0.24362747534723003,20
full_oisst_domain,year,trajectory_plus_oisst,0.17791956075515838,0.14511482717268412,0.21013171951463971,20
full_oisst_domain,region_year,current_only,0.22316997095875926,0.19066060944945956,0.2563736137959807,99
full_oisst_domain,region_year,current_plus_trajectory,0.22775359327875916,0.18976394285708403,0.2627960056852786,99
full_oisst_domain,region_year,trajectory_plus_oisst,0.22823118122644218,0.19804954405090275,0.2618299895533343,99
upwelling_supported_domain,year,current_only,0.15937485855075334,0.11084812525798898,0.21411319707437507,20
upwelling_supported_domain,year,current_plus_trajectory,0.17080012251051221,0.11949111992090061,0.228525779059272,20
upwelling_supported_domain,year,trajectory_plus_oisst,0.16212066752832938,0.11395699581808191,0.21306838344483647,20
upwelling_supported_domain,year,trajectory_plus_oisst_cuti_beuti,0.15903521639198726,0.1053751814731489,0.2170617429147094,20
upwelling_supported_domain,region_year,current_only,0.19245137657683534,0.14316864045990763,0.2441914836961987,58
upwelling_supported_domain,region_year,current_plus_trajectory,0.1843926514348461,0.13830313278313172,0.23143227834564156,58
upwelling_supported_domain,region_year,trajectory_plus_oisst,0.1944631221571305,0.15204976549222982,0.23304544917364683,58
upwelling_supported_domain,region_year,trajectory_plus_oisst_cuti_beuti,0.20711227923767883,0.15440162864677656,0.26974897910381485,58
