domain,year,train_start,train_end,n_train,events_train,n_test,events_test,test_cells,test_regions
full_oisst_domain,2005,1989,2004,2004,813,144,89,144,7
full_oisst_domain,2006,1989,2005,2148,902,133,19,133,7
full_oisst_domain,2007,1989,2006,2281,921,158,47,158,7
full_oisst_domain,2008,1989,2007,2439,968,160,40,160,7
full_oisst_domain,2009,1989,2008,2599,1008,160,79,160,7
full_oisst_domain,2010,1989,2009,2759,1087,158,77,158,7
full_oisst_domain,2011,1989,2010,2917,1164,141,51,141,7
full_oisst_domain,2012,1989,2011,3058,1215,144,26,144,7
full_oisst_domain,2013,1989,2012,3202,1241,159,97,159,7
full_oisst_domain,2014,1989,2013,3361,1338,144,53,144,7
full_oisst_domain,2015,1989,2014,3505,1391,120,59,120,6
full_oisst_domain,2016,1989,2015,3625,1450,111,37,111,6
full_oisst_domain,2017,1989,2016,3736,1487,122,17,122,7
full_oisst_domain,2018,1989,2017,3858,1504,134,104,134,6
full_oisst_domain,2019,1989,2018,3992,1608,93,29,93,6
full_oisst_domain,2020,1989,2019,4085,1637,117,41,117,6
full_oisst_domain,2021,1989,2020,4202,1678,117,38,117,7
full_oisst_domain,2022,1989,2021,4319,1716,110,74,110,6
full_oisst_domain,2023,1989,2022,4429,1790,87,14,87,6
full_oisst_domain,2024,1989,2023,4516,1804,102,17,102,6
upwelling_supported_domain,2005,1989,2004,1343,564,89,53,89,4
upwelling_supported_domain,2006,1989,2005,1432,617,85,14,85,4
upwelling_supported_domain,2007,1989,2006,1517,631,101,31,101,4
upwelling_supported_domain,2008,1989,2007,1618,662,103,28,103,4
upwelling_supported_domain,2009,1989,2008,1721,690,103,44,103,4
upwelling_supported_domain,2010,1989,2009,1824,734,102,61,102,4
upwelling_supported_domain,2011,1989,2010,1926,795,96,30,96,4
upwelling_supported_domain,2012,1989,2011,2022,825,98,12,98,4
upwelling_supported_domain,2013,1989,2012,2120,837,107,88,107,4
upwelling_supported_domain,2014,1989,2013,2227,925,87,32,87,4
upwelling_supported_domain,2015,1989,2014,2314,957,72,22,72,3
upwelling_supported_domain,2016,1989,2015,2386,979,76,32,76,4
upwelling_supported_domain,2017,1989,2016,2462,1011,80,13,80,4
upwelling_supported_domain,2018,1989,2017,2542,1024,82,72,82,3
upwelling_supported_domain,2019,1989,2018,2624,1096,57,8,57,3
upwelling_supported_domain,2020,1989,2019,2681,1104,77,25,77,3
upwelling_supported_domain,2021,1989,2020,2758,1129,83,21,83,4
upwelling_supported_domain,2022,1989,2021,2841,1150,77,61,77,3
upwelling_supported_domain,2023,1989,2022,2918,1211,53,3,53,3
upwelling_supported_domain,2024,1989,2023,2971,1214,70,11,70,3
