held_region,model,cells,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
Baja California Norte,current_only,40,589,255,0.432937181663837,0.6139007787522788,0.16863175169278266,19,0.2901960784313726
Baja California Norte,current_plus_trajectory,40,589,255,0.432937181663837,0.6006798913842739,0.16449743296347002,19,0.28627450980392155
Baja California Norte,trajectory_plus_oisst,40,589,255,0.432937181663837,0.5901112951264098,0.17390903880868644,19,0.2823529411764706
Central California,current_only,34,651,203,0.3118279569892473,0.5080448872900328,0.125375194547229,17,0.2561576354679803
Central California,current_plus_trajectory,34,651,203,0.3118279569892473,0.4968517691975792,0.09982670767851747,17,0.23645320197044334
Central California,trajectory_plus_oisst,34,651,203,0.3118279569892473,0.5235312833848701,0.11321108086898243,17,0.24630541871921183
Northern California,current_only,16,135,74,0.5481481481481482,0.7562892241892223,0.2869282377074585,7,0.3181818181818182
Northern California,current_plus_trajectory,16,135,74,0.5481481481481482,0.7031826456746311,0.28206097093542987,7,0.3409090909090909
Northern California,trajectory_plus_oisst,16,135,74,0.5481481481481482,0.6895147114078246,0.2712054772227933,7,0.3181818181818182
Southern California,current_only,52,842,351,0.4168646080760095,0.5658967646190193,0.18979574906562297,20,0.2792022792022792
Southern California,current_plus_trajectory,52,842,351,0.4168646080760095,0.5752160741850774,0.22863111767397673,20,0.27635327635327633
Southern California,trajectory_plus_oisst,52,842,351,0.4168646080760095,0.5496695429259718,0.22402401275010408,20,0.28205128205128205
Washington outer coast,current_only,15,281,76,0.2704626334519573,0.5949837928046857,0.3163110834144488,16,0.32894736842105265
Washington outer coast,current_plus_trajectory,15,281,76,0.2704626334519573,0.6466873992350165,0.33208705935268434,16,0.34210526315789475
Washington outer coast,trajectory_plus_oisst,15,281,76,0.2704626334519573,0.44840919141967206,0.3497128639256043,16,0.35526315789473684
