requested_oisst_lat,requested_oisst_lon,oisst_source_lat,oisst_source_lon,oisst_source_distance_km,oisst_endpoint,temporal_resolution
27.125,-114.375,27.125,-114.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
27.625,-114.875,27.625,-114.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
28.125,-115.375,28.125,-115.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
28.375,-115.375,28.375,-115.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
28.375,-115.125,28.375,-115.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
29.625,-115.875,29.625,-115.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
29.625,-115.625,29.625,-115.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
29.875,-115.875,29.875,-115.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
29.875,-115.625,29.625,-115.625,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
30.125,-115.875,30.125,-115.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
30.625,-116.125,30.625,-116.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
30.875,-116.125,30.875,-116.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.125,-116.375,31.125,-116.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.375,-116.625,31.375,-116.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.375,-116.375,31.375,-116.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.625,-116.875,31.625,-116.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.625,-116.625,31.625,-116.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.875,-116.875,31.875,-116.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
31.875,-116.625,31.625,-116.625,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.125,-117.125,32.125,-117.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.125,-116.875,32.125,-116.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.375,-117.375,32.375,-117.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.625,-117.375,32.625,-117.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.625,-117.125,32.625,-117.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.875,-118.625,32.875,-118.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.875,-118.375,32.875,-118.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
32.875,-117.375,32.875,-117.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.125,-119.375,33.125,-119.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.125,-118.625,33.125,-118.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.125,-117.375,33.125,-117.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.375,-119.625,33.375,-119.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.375,-119.375,33.375,-119.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.375,-119.125,33.375,-119.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
