scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,region_group,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
region_year,full_oisst_domain,current_only,37,33,0.8918918918918919,0.9817485538576907,0.08985666196579878,True,Baja California Norte,2005,4,4,0.12121212121212122,8,8,0.24242424242424243
region_year,full_oisst_domain,current_only,30,0,0.0,,,False,Baja California Norte,2006,3,0,,6,0,
region_year,full_oisst_domain,current_only,40,16,0.4,0.6707420077912623,0.27074200779126223,True,Baja California Norte,2007,4,2,0.125,8,6,0.375
region_year,full_oisst_domain,current_only,40,5,0.125,0.1955564387917329,0.0705564387917329,True,Baja California Norte,2008,4,1,0.2,8,1,0.2
region_year,full_oisst_domain,current_only,39,22,0.5641025641025641,0.6593742887067413,0.09527172460417721,True,Baja California Norte,2009,4,2,0.09090909090909091,8,5,0.22727272727272727
region_year,full_oisst_domain,current_only,38,15,0.39473684210526316,0.6401530118355653,0.24541616973030211,True,Baja California Norte,2010,4,2,0.13333333333333333,8,5,0.3333333333333333
region_year,full_oisst_domain,current_only,33,17,0.5151515151515151,0.839137884266423,0.32398636911490786,True,Baja California Norte,2011,4,4,0.23529411764705882,7,7,0.4117647058823529
region_year,full_oisst_domain,current_only,35,7,0.2,0.3367709466231633,0.1367709466231633,True,Baja California Norte,2012,4,2,0.2857142857142857,7,2,0.2857142857142857
region_year,full_oisst_domain,current_only,38,7,0.18421052631578946,0.4957792207792207,0.3115686944634313,True,Baja California Norte,2013,4,2,0.2857142857142857,8,5,0.7142857142857143
region_year,full_oisst_domain,current_only,39,17,0.4358974358974359,0.5821899121639607,0.14629247626652475,True,Baja California Norte,2014,4,2,0.11764705882352941,8,4,0.23529411764705882
region_year,full_oisst_domain,current_only,32,30,0.9375,0.9912450562353232,0.05374505623532322,True,Baja California Norte,2015,4,4,0.13333333333333333,7,7,0.23333333333333334
region_year,full_oisst_domain,current_only,20,3,0.15,0.18977591036414565,0.039775910364145656,True,Baja California Norte,2016,2,0,0.0,4,0,0.0
region_year,full_oisst_domain,current_only,26,3,0.11538461538461539,0.30036630036630035,0.18498168498168496,True,Baja California Norte,2017,3,1,0.3333333333333333,6,1,0.3333333333333333
