scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
year,full_oisst_domain,current_only,144,89,0.6180555555555556,0.7732712461387484,0.15521569058319284,True,2005,15,13,0.14606741573033707,29,24,0.2696629213483146
year,full_oisst_domain,current_only,133,19,0.14285714285714285,0.4541639749514663,0.31130683209432347,True,2006,14,7,0.3684210526315789,27,11,0.5789473684210527
year,full_oisst_domain,current_only,158,47,0.2974683544303797,0.5411822268825064,0.24371387245212667,True,2007,16,12,0.2553191489361702,32,21,0.44680851063829785
year,full_oisst_domain,current_only,160,40,0.25,0.5085627134872788,0.2585627134872788,True,2008,16,11,0.275,32,18,0.45
year,full_oisst_domain,current_only,160,79,0.49375,0.6052571493587802,0.11150714935878014,True,2009,16,9,0.11392405063291139,32,17,0.21518987341772153
year,full_oisst_domain,current_only,158,77,0.4873417721518987,0.6569136473750616,0.16957187522316292,True,2010,16,12,0.15584415584415584,32,23,0.2987012987012987
year,full_oisst_domain,current_only,141,51,0.3617021276595745,0.5557191082583248,0.19401698059875033,True,2011,15,10,0.19607843137254902,29,19,0.37254901960784315
year,full_oisst_domain,current_only,144,26,0.18055555555555555,0.4829660789961684,0.3024105234406128,True,2012,15,8,0.3076923076923077,29,14,0.5384615384615384
year,full_oisst_domain,current_only,159,97,0.610062893081761,0.7294056020599496,0.11934270897818866,True,2013,16,13,0.13402061855670103,32,26,0.26804123711340205
year,full_oisst_domain,current_only,144,53,0.3680555555555556,0.5369442828594977,0.1688887273039421,True,2014,15,11,0.20754716981132076,29,19,0.3584905660377358
year,full_oisst_domain,current_only,120,59,0.49166666666666664,0.7454933200405409,0.2538266533738743,True,2015,12,12,0.2033898305084746,24,19,0.3220338983050847
year,full_oisst_domain,current_only,111,37,0.3333333333333333,0.6280869378044491,0.2947536044711158,True,2016,12,9,0.24324324324324326,23,15,0.40540540540540543
year,full_oisst_domain,current_only,122,17,0.13934426229508196,0.2161658967927149,0.07682163449763293,True,2017,13,4,0.23529411764705882,25,6,0.35294117647058826
year,full_oisst_domain,current_only,134,104,0.7761194029850746,0.8732561231455335,0.09713672016045882,True,2018,14,14,0.1346153846153846,27,27,0.25961538461538464
year,full_oisst_domain,current_only,93,29,0.3118279569892473,0.5814123286128853,0.26958437162363796,True,2019,10,9,0.3103448275862069,19,13,0.4482758620689655
year,full_oisst_domain,current_only,117,41,0.3504273504273504,0.4143322566978065,0.06390490627045609,True,2020,12,5,0.12195121951219512,24,9,0.21951219512195122
year,full_oisst_domain,current_only,117,38,0.3247863247863248,0.47984010640058816,0.15505378161426336,True,2021,12,6,0.15789473684210525,24,15,0.39473684210526316
year,full_oisst_domain,current_only,110,74,0.6727272727272727,0.8451067916336338,0.17237951890636105,True,2022,11,11,0.14864864864864866,22,20,0.2702702702702703
year,full_oisst_domain,current_only,87,14,0.16091954022988506,0.2501762738330914,0.08925673360320632,True,2023,9,2,0.14285714285714285,18,5,0.35714285714285715
year,full_oisst_domain,current_only,102,17,0.16666666666666666,0.19009596288252276,0.0234292962158561,True,2024,11,0,0.0,21,2,0.11764705882352941
year,full_oisst_domain,current_plus_trajectory,144,89,0.6180555555555556,0.7839853149118535,0.16592975935629795,True,2005,15,14,0.15730337078651685,29,24,0.2696629213483146
year,full_oisst_domain,current_plus_trajectory,133,19,0.14285714285714285,0.582261823053649,0.4394046801965062,True,2006,14,8,0.42105263157894735,27,13,0.6842105263157895
year,full_oisst_domain,current_plus_trajectory,158,47,0.2974683544303797,0.5836507165920829,0.2861823621617032,True,2007,16,13,0.2765957446808511,32,21,0.44680851063829785
year,full_oisst_domain,current_plus_trajectory,160,40,0.25,0.5297018733984629,0.27970187339846286,True,2008,16,11,0.275,32,20,0.5
year,full_oisst_domain,current_plus_trajectory,160,79,0.49375,0.5593202406768472,0.06557024067684714,True,2009,16,9,0.11392405063291139,32,18,0.22784810126582278
year,full_oisst_domain,current_plus_trajectory,158,77,0.4873417721518987,0.6697632506034725,0.1824214784515738,True,2010,16,12,0.15584415584415584,32,21,0.2727272727272727
year,full_oisst_domain,current_plus_trajectory,141,51,0.3617021276595745,0.5175533342374536,0.15585120657787915,True,2011,15,9,0.17647058823529413,29,16,0.3137254901960784
year,full_oisst_domain,current_plus_trajectory,144,26,0.18055555555555555,0.45682258451946633,0.27626702896391075,True,2012,15,9,0.34615384615384615,29,15,0.5769230769230769
year,full_oisst_domain,current_plus_trajectory,159,97,0.610062893081761,0.7117703572747645,0.10170746419300347,True,2013,16,13,0.13402061855670103,32,22,0.2268041237113402
year,full_oisst_domain,current_plus_trajectory,144,53,0.3680555555555556,0.5070658433002028,0.1390102877446472,True,2014,15,11,0.20754716981132076,29,19,0.3584905660377358
year,full_oisst_domain,current_plus_trajectory,120,59,0.49166666666666664,0.7203757573306384,0.22870909066397177,True,2015,12,12,0.2033898305084746,24,19,0.3220338983050847
year,full_oisst_domain,current_plus_trajectory,111,37,0.3333333333333333,0.6527794940605836,0.31944616072725024,True,2016,12,8,0.21621621621621623,23,16,0.43243243243243246
year,full_oisst_domain,current_plus_trajectory,122,17,0.13934426229508196,0.26945010955197873,0.13010584725689678,True,2017,13,4,0.23529411764705882,25,6,0.35294117647058826
year,full_oisst_domain,current_plus_trajectory,134,104,0.7761194029850746,0.8986179491230688,0.12249854613799416,True,2018,14,14,0.1346153846153846,27,26,0.25
year,full_oisst_domain,current_plus_trajectory,93,29,0.3118279569892473,0.6385801281687167,0.32675217117946936,True,2019,10,8,0.27586206896551724,19,14,0.4827586206896552
year,full_oisst_domain,current_plus_trajectory,117,41,0.3504273504273504,0.46538385319878445,0.11495650277143404,True,2020,12,7,0.17073170731707318,24,12,0.2926829268292683
year,full_oisst_domain,current_plus_trajectory,117,38,0.3247863247863248,0.5186411112535302,0.1938547864672054,True,2021,12,7,0.18421052631578946,24,13,0.34210526315789475
year,full_oisst_domain,current_plus_trajectory,110,74,0.6727272727272727,0.878686634423185,0.20595936169591222,True,2022,11,10,0.13513513513513514,22,20,0.2702702702702703
year,full_oisst_domain,current_plus_trajectory,87,14,0.16091954022988506,0.3601034420838687,0.19918390185398363,True,2023,9,3,0.21428571428571427,18,6,0.42857142857142855
year,full_oisst_domain,current_plus_trajectory,102,17,0.16666666666666666,0.24163542487041786,0.0749687582037512,True,2024,11,2,0.11764705882352941,21,5,0.29411764705882354
year,full_oisst_domain,trajectory_plus_oisst,144,89,0.6180555555555556,0.7997645646735645,0.1817090091180089,True,2005,15,13,0.14606741573033707,29,25,0.2808988764044944
year,full_oisst_domain,trajectory_plus_oisst,133,19,0.14285714285714285,0.338038593434827,0.19518145057768416,True,2006,14,5,0.2631578947368421,27,8,0.42105263157894735
year,full_oisst_domain,trajectory_plus_oisst,158,47,0.2974683544303797,0.5328108740072144,0.23534251957683466,True,2007,16,11,0.23404255319148937,32,20,0.425531914893617
year,full_oisst_domain,trajectory_plus_oisst,160,40,0.25,0.4742219334621573,0.2242219334621573,True,2008,16,10,0.25,32,15,0.375
year,full_oisst_domain,trajectory_plus_oisst,160,79,0.49375,0.5247665946802471,0.03101659468024709,True,2009,16,9,0.11392405063291139,32,17,0.21518987341772153
year,full_oisst_domain,trajectory_plus_oisst,158,77,0.4873417721518987,0.6060382894349676,0.1186965172830689,True,2010,16,12,0.15584415584415584,32,18,0.23376623376623376
year,full_oisst_domain,trajectory_plus_oisst,141,51,0.3617021276595745,0.5925384017544486,0.23083627409487412,True,2011,15,11,0.21568627450980393,29,18,0.35294117647058826
year,full_oisst_domain,trajectory_plus_oisst,144,26,0.18055555555555555,0.46268340330777824,0.28212784775222266,True,2012,15,9,0.34615384615384615,29,13,0.5
year,full_oisst_domain,trajectory_plus_oisst,159,97,0.610062893081761,0.6533546263395534,0.04329173325779245,True,2013,16,11,0.1134020618556701,32,22,0.2268041237113402
year,full_oisst_domain,trajectory_plus_oisst,144,53,0.3680555555555556,0.49476390521224134,0.12670834965668576,True,2014,15,9,0.16981132075471697,29,17,0.32075471698113206
year,full_oisst_domain,trajectory_plus_oisst,120,59,0.49166666666666664,0.780715701611129,0.2890490349444624,True,2015,12,12,0.2033898305084746,24,20,0.3389830508474576
year,full_oisst_domain,trajectory_plus_oisst,111,37,0.3333333333333333,0.5829826820171956,0.2496493486838623,True,2016,12,7,0.1891891891891892,23,15,0.40540540540540543
year,full_oisst_domain,trajectory_plus_oisst,122,17,0.13934426229508196,0.2771531029098105,0.13780884061472853,True,2017,13,4,0.23529411764705882,25,6,0.35294117647058826
year,full_oisst_domain,trajectory_plus_oisst,134,104,0.7761194029850746,0.9304846595439291,0.15436525655885447,True,2018,14,14,0.1346153846153846,27,27,0.25961538461538464
year,full_oisst_domain,trajectory_plus_oisst,93,29,0.3118279569892473,0.6023612426230378,0.2905332856337905,True,2019,10,7,0.2413793103448276,19,14,0.4827586206896552
year,full_oisst_domain,trajectory_plus_oisst,117,41,0.3504273504273504,0.5157383757250109,0.1653110252976605,True,2020,12,7,0.17073170731707318,24,10,0.24390243902439024
year,full_oisst_domain,trajectory_plus_oisst,117,38,0.3247863247863248,0.5695812568160709,0.24479493202974606,True,2021,12,9,0.23684210526315788,24,15,0.39473684210526316
year,full_oisst_domain,trajectory_plus_oisst,110,74,0.6727272727272727,0.8193614824938393,0.1466342097665666,True,2022,11,9,0.12162162162162163,22,18,0.24324324324324326
