support_m,model_family,feature_set,year,n,events,prevalence,ap_lift,selected,true_positives
300,logistic,current_only,2008,146,52,0.3561643835616438,0.20590047090878494,30,16
300,logistic,current_only,2009,140,61,0.4357142857142857,0.09252572052191876,28,14
300,logistic,current_only,2010,145,85,0.5862068965517241,0.19549574254652924,29,24
300,logistic,current_only,2011,109,49,0.44954128440366975,0.11327575721120436,22,12
300,logistic,current_only,2012,108,22,0.2037037037037037,0.37158991392284924,22,12
300,logistic,current_only,2013,147,104,0.7074829931972789,0.05650868508907869,30,23
300,logistic,current_only,2014,117,38,0.3247863247863248,0.011857092222345378,24,7
300,logistic,current_only,2015,117,42,0.358974358974359,0.12557729226291264,24,13
300,logistic,current_only,2016,115,69,0.6,0.03068271489301877,23,14
300,logistic,current_only,2017,96,21,0.21875,0.020177091739771474,20,5
300,logistic,current_only,2018,119,97,0.8151260504201681,0.03669268352666044,24,21
300,logistic,current_only,2019,82,21,0.25609756097560976,0.05521374206491547,17,5
300,logistic,current_only,2020,96,42,0.4375,0.17645672798981604,20,12
300,logistic,current_only,2021,97,26,0.26804123711340205,0.008480167486663082,20,4
300,logistic,current_plus_trajectory,2008,146,52,0.3561643835616438,0.2216179410731679,30,18
300,logistic,current_plus_trajectory,2009,140,61,0.4357142857142857,0.11413700865847021,28,13
300,logistic,current_plus_trajectory,2010,145,85,0.5862068965517241,0.2232614557614122,29,25
300,logistic,current_plus_trajectory,2011,109,49,0.44954128440366975,0.27767454786102314,22,17
300,logistic,current_plus_trajectory,2012,108,22,0.2037037037037037,0.43864059989475257,22,14
300,logistic,current_plus_trajectory,2013,147,104,0.7074829931972789,0.10467873671182748,30,24
300,logistic,current_plus_trajectory,2014,117,38,0.3247863247863248,0.08287070000995295,24,8
300,logistic,current_plus_trajectory,2015,117,42,0.358974358974359,0.16774282079180752,24,13
300,logistic,current_plus_trajectory,2016,115,69,0.6,0.028143341943787425,23,13
300,logistic,current_plus_trajectory,2017,96,21,0.21875,0.1554784031923956,20,7
300,logistic,current_plus_trajectory,2018,119,97,0.8151260504201681,0.03590114782962628,24,20
