support_m,year,train_start,train_end,n_train,events_train,n_test,events_test,test_sites,test_overlap_clusters
300,2008,2004,2007,522,197,146,52,146,114
300,2009,2004,2008,668,249,140,61,140,108
300,2010,2004,2009,808,310,145,85,145,112
300,2011,2004,2010,953,395,109,49,109,87
300,2012,2004,2011,1062,444,108,22,108,86
300,2013,2004,2012,1170,466,147,104,147,114
300,2014,2004,2013,1317,570,117,38,117,91
300,2015,2004,2014,1434,608,117,42,117,89
300,2016,2004,2015,1551,650,115,69,115,87
300,2017,2004,2016,1666,719,96,21,96,77
300,2018,2004,2017,1762,740,119,97,119,95
300,2019,2004,2018,1881,837,82,21,82,68
300,2020,2004,2019,1963,858,96,42,96,77
300,2021,2004,2020,2059,900,97,26,97,80
1000,2008,2004,2007,642,204,172,61,172,73
1000,2009,2004,2008,814,265,171,67,171,73
1000,2010,2004,2009,985,332,174,97,174,75
1000,2011,2004,2010,1159,429,140,49,140,60
1000,2012,2004,2011,1299,478,147,31,147,62
1000,2013,2004,2012,1446,509,176,131,176,75
1000,2014,2004,2013,1622,640,149,41,149,65
1000,2015,2004,2014,1771,681,140,53,140,59
1000,2016,2004,2015,1911,734,144,68,144,61
1000,2017,2004,2016,2055,802,133,28,133,62
1000,2018,2004,2017,2188,830,142,125,142,61
1000,2019,2004,2018,2330,955,115,24,115,50
1000,2020,2004,2019,2445,979,121,46,121,57
1000,2021,2004,2020,2566,1025,125,30,125,57
