outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
trajectory_rank_quality_pp,grazing_log1p,s300_c000,-0.34739686501069955,-0.3876328912443609,0.04023602623366135,True,733,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c001,-0.34739686501069955,-1.1574005494749,0.8100036844642005,True,723,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c002,-0.34739686501069955,0.2355911349338557,0.5829879999445553,False,723,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c003,-0.34739686501069955,-0.4600590384292842,0.11266217341858464,True,722,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c004,-0.34739686501069955,-0.24948948369441085,0.0979073813162887,True,728,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c006,-0.34739686501069955,-0.2495951981500942,0.09780166686060535,True,728,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c007,-0.34739686501069955,-0.35582741432369075,0.008430549312991198,True,733,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c008,-0.34739686501069955,-0.2882939496687733,0.05910291534192624,True,725,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c009,-0.34739686501069955,-0.3474506727541314,5.380774343183292e-05,True,733,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c010,-0.34739686501069955,-0.26605449913511914,0.08134236587558041,True,726,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c011,-0.34739686501069955,-0.3250192958748476,0.022377569135851927,True,729,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c012,-0.34739686501069955,-0.046146968433855295,0.30124989657684426,True,725,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c013,-0.34739686501069955,-0.5818304379403149,0.2344335729296153,True,712,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c014,-0.34739686501069955,-0.3790901732476169,0.03169330823691735,True,732,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c015,-0.34739686501069955,-0.3207472286076998,0.026649636402999777,True,728,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c016,-0.34739686501069955,-0.41107681163884174,0.06367994662814219,True,660,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c019,-0.34739686501069955,-0.08110777551528531,0.26628908949541424,True,729,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c020,-0.34739686501069955,-0.29441382468704835,0.0529830403236512,True,730,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c021,-0.34739686501069955,-0.4563322888207486,0.10893542381004906,True,730,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c022,-0.34739686501069955,-0.7021659659838502,0.3547691009731506,True,730,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c023,-0.34739686501069955,-0.3757773150626549,0.02838045005195533,True,728,119,14
trajectory_rank_quality_pp,grazing_log1p,s300_c025,-0.34739686501069955,-0.3169170037181023,0.030479861292597277,True,732,119,14
