outcome,axis,reference_estimate_per_sd,clusters_left_out,minimum_estimate,maximum_estimate,maximum_absolute_change,same_direction_fraction
mur_brier_gain,depth_m,0.002944161409083371,120,0.0011582426881017725,0.0046390873192401465,0.0017859187209815987,1.0
mur_brier_gain,grazing_log1p,-0.005297162135512373,120,-0.007862198348671072,-0.0035403313906538342,0.0025650362131586987,1.0
mur_brier_gain,kelp_species_contrast,-0.006240258895784808,120,-0.010176034384073938,-0.004000617813992279,0.00393577548828913,1.0
mur_brier_gain,rock_probability,-0.009641288145274263,120,-0.012437927194775187,-0.008551034681019483,0.0027966390495009243,1.0
mur_signed_rank_gain_pp,depth_m,0.06587203348759946,120,-0.29569649392182173,0.35662963346621973,0.3615685274094212,0.8833333333333333
mur_signed_rank_gain_pp,grazing_log1p,-0.09291502490476164,120,-0.4161157806318131,0.30421467570224947,0.39712970060701114,0.9166666666666666
mur_signed_rank_gain_pp,kelp_species_contrast,-2.6017470820397577,120,-2.9724943208167574,-2.338475444542926,0.37074723877699967,1.0
mur_signed_rank_gain_pp,rock_probability,-0.9200498564121138,120,-1.13164139119934,-0.7018137952309809,0.21823606118113292,1.0
trajectory_false_negative,depth_m,0.039558842095634275,96,0.021675836603709753,0.052450712290706296,0.017883005491924522,1.0
trajectory_false_negative,grazing_log1p,0.053268761807666654,96,0.04363500190440715,0.06030187681456277,0.0096337599032595,1.0
trajectory_false_negative,kelp_species_contrast,-0.05504964879405143,96,-0.0699674165825956,-0.03912210554881638,0.01592754324523505,1.0
trajectory_false_negative,rock_probability,-0.01440102247882133,96,-0.0250882571729346,-0.0018401330946730687,0.01256088938414826,1.0
trajectory_false_positive,depth_m,-0.007607234633647584,96,-0.014471822276771882,-0.002775224971095349,0.006864587643124298,1.0
trajectory_false_positive,grazing_log1p,-0.017178510574241735,96,-0.04100936631640759,-0.006447312503797218,0.023830855742165858,1.0
trajectory_false_positive,kelp_species_contrast,0.005035397405056232,96,-0.0072160506727488895,0.017165055411454862,0.012251448077805122,0.9583333333333334
trajectory_false_positive,rock_probability,-0.020492082726041708,96,-0.030320191636529457,-0.014643819183501893,0.00982810891048775,1.0
trajectory_rank_quality_pp,depth_m,-0.7667277046159846,120,-1.1381949232131925,-0.23688300716340335,0.5298446974525812,1.0
trajectory_rank_quality_pp,grazing_log1p,-0.34739686501069955,120,-1.1574005494749,0.2355911349338557,0.8100036844642005,0.9916666666666667
trajectory_rank_quality_pp,kelp_species_contrast,2.65009222769952,120,2.1323129979499345,3.461969876267586,0.8118776485680659,1.0
trajectory_rank_quality_pp,rock_probability,0.6812960700279957,120,0.3168073874850831,0.9631395418451829,0.36448868254291267,1.0
