site_id,support_m,overlap_cluster,region_group,latitude,longitude,year,annual_area_m2,annual_complete,valid_quarters,selected_quarter,pre2005_footprint_pixels,positive_reference_years,p95_annual_area_pre2005,relative_canopy,next_year_area_m2,relative_drop_next,event,eligible,canopy_lag1,canopy_lag2,canopy_2yr_change,canopy_3yr_change,canopy_3yr_mean,canopy_3yr_std,canopy_3yr_slope,canopy_drop_from_3yr_max
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1984,14331.0,True,3,2,227,21,72081.0,0.1988179964206934,32454.0,-1.264601214151141,0,True,,,,,,,,
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1985,32454.0,True,3,1,227,21,72081.0,0.4502434760893994,75086.0,-1.3136131139458926,0,True,0.1988179964206934,,,,,,,
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1986,75086.0,True,4,4,227,21,72081.0,1.0416892107490185,17076.0,0.7725807740457609,1,True,0.4502434760893994,0.1988179964206934,0.8428712143283251,,0.5635835610863705,0.43271520904189037,0.4214356071641625,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1987,17076.0,True,4,2,227,21,72081.0,0.23690015399342407,72081.0,-3.221187631763879,0,True,1.0416892107490185,0.4502434760893994,-0.21334332209597534,0.038082157572730674,0.5762776136106141,0.41693501811904365,-0.10667166104798746,0.7725807740457609
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1988,72081.0,True,3,4,227,21,72081.0,1.0,15995.0,0.7780968632510648,1,True,0.23690015399342407,1.0416892107490185,-0.041689210749018546,0.5497565239106006,0.7595297882474809,0.4530902763507687,-0.02084460537450935,0.04002077617665085
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1989,15995.0,True,3,2,227,21,72081.0,0.22190313674893522,5292.0,0.6691466083150984,1,True,1.0,0.23690015399342407,-0.014997017244488847,-0.8197860740000833,0.48626776358078644,0.44496835357559195,-0.007498508622244252,0.7780968632510648
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1990,5292.0,True,4,2,227,21,72081.0,0.07341740541890374,3596.0,0.3204837490551776,1,True,0.22190313674893522,1.0,-0.9265825945810963,-0.16348274857452033,0.4317735140559463,0.4976675673563625,-0.4632912972905481,0.9265825945810963
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1991,3596.0,True,4,2,227,21,72081.0,0.04988832008434955,873.0,0.7572302558398221,1,False,0.07341740541890374,0.22190313674893522,-0.17201481666458568,-0.9501116799156505,0.1150696207507295,0.09326550578630104,-0.08600740833229283,0.7751797436698968
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1992,873.0,True,4,2,227,21,72081.0,0.012111374703458608,6430.0,-6.365406643757159,0,False,0.04988832008434955,0.07341740541890374,-0.06130603071544513,-0.20979176204547662,0.045139033402237294,0.03092772451236389,-0.030653015357722566,0.8350340136054423
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1993,6430.0,True,4,2,227,21,72081.0,0.08920519970588643,5978.0,0.07029548989113531,0,True,0.012111374703458608,0.04988832008434955,0.039316879621536883,0.015787794286982695,0.0504016314978982,0.03854947574003999,0.019658439810768428,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1994,5978.0,True,4,1,227,21,72081.0,0.08293447649172458,10676.0,-0.7858815657410505,0,True,0.08920519970588643,0.012111374703458608,0.07082310178826598,0.03304615640737504,0.06141701696702321,0.04281489532480886,0.03541155089413299,0.07029548989113532
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1995,10676.0,True,3,1,227,21,72081.0,0.14811115273095546,3396.0,0.6819033345822405,1,True,0.08293447649172458,0.08920519970588643,0.05890595302506903,0.13599977802749685,0.10675027630952216,0.035956530229836935,0.02945297651253452,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1996,3396.0,True,4,2,227,21,72081.0,0.047113663794897405,11953.0,-2.519729093050648,0,False,0.14811115273095546,0.08293447649172458,-0.03582081269682718,-0.04209153591098903,0.09271976433919249,0.05120485413064724,-0.01791040634841357,0.6819033345822406
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1997,11953.0,True,4,2,227,21,72081.0,0.16582733313910739,31293.0,-1.6180038484062578,0,True,0.047113663794897405,0.14811115273095546,0.017716180408151927,0.0828928566473828,0.12035071655498675,0.06404073067042441,0.008858090204075932,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1998,31293.0,True,4,4,227,21,72081.0,0.4341365963291297,33471.0,-0.06960023008340524,0,True,0.16582733313910739,0.047113663794897405,0.3870229325342323,0.2860254435981743,0.2156925310877115,0.19827150842138042,0.19351146626711613,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,1999,33471.0,True,4,1,227,21,72081.0,0.4643526033212636,3304.0,0.901287681873861,1,True,0.4341365963291297,0.16582733313910739,0.29852527018215624,0.4172389395263662,0.35477217759650026,0.1643270137710431,0.14926263509107812,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2000,3304.0,True,4,2,227,21,72081.0,0.04583732190174942,17081.0,-4.169794188861985,0,False,0.4643526033212636,0.4341365963291297,-0.38829927442738027,-0.11999001123735797,0.31477550718404756,0.23339679174495762,-0.19414963721369008,0.9012876818738609
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2001,17081.0,True,4,4,227,21,72081.0,0.23696952040066036,43302.0,-1.5350974767285288,0,True,0.04583732190174942,0.4643526033212636,-0.22738308292060325,-0.19716707592846935,0.24905314854122448,0.20951914172025796,-0.11369154146030166,0.4896776313823908
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2002,43302.0,True,4,2,227,21,72081.0,0.6007408332292837,22969.0,0.4695626068079996,1,True,0.23696952040066036,0.04583732190174942,0.5549035113275343,0.13638822990802013,0.2945158918438978,0.28189211654570834,0.2774517556637671,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2003,22969.0,True,4,2,227,21,72081.0,0.3186554015621315,7267.0,0.6836170490661326,1,True,0.6007408332292837,0.23696952040066036,0.08168588116147116,0.2728180796603821,0.3854552517306919,0.1908639751136179,0.04084294058073563,0.4695626068079996
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2004,7267.0,True,4,2,227,21,72081.0,0.10081713627724366,21063.0,-1.8984450254575478,0,True,0.3186554015621315,0.6007408332292837,-0.4999236969520401,-0.13615238412341668,0.340071123689553,0.2506489588233475,-0.24996184847602,0.8321786522562469
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2005,21063.0,True,4,2,227,21,72081.0,0.29221292712365254,19914.0,0.05455063381284717,0,True,0.10081713627724366,0.3186554015621315,-0.02644247443847897,-0.3085279061056312,0.23722848832100918,0.11887322591068891,-0.01322123721923955,0.08298140972615274
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2006,19914.0,True,4,4,227,21,72081.0,0.27627252674075,16399.0,0.17650898865120015,0,True,0.29221292712365254,0.10081713627724366,0.17545539046350633,-0.04238287482138153,0.2231008633805487,0.10620031321422115,0.08772769523175318,0.054550633812847166
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2007,16399.0,True,4,2,227,21,72081.0,0.22750794245362857,12165.0,0.25818647478504786,0,True,0.27627252674075,0.29221292712365254,-0.06470498467002397,0.1266908061763849,0.26533113210601034,0.033711561039234075,-0.032352492335011994,0.22143094525945964
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2008,12165.0,True,4,4,227,21,72081.0,0.16876846880592666,18885.0,-0.5524044389642416,0,True,0.22750794245362857,0.27627252674075,-0.10750405793482332,-0.12344445831772588,0.22418297933343503,0.05382910135722703,-0.05375202896741168,0.3891232298885206
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2009,18885.0,True,4,2,227,21,72081.0,0.2619969201315187,13255.0,0.2981202012178978,0,True,0.16876846880592666,0.22750794245362857,0.03448897767789014,-0.014275606609231273,0.2194244437970246,0.04713696264123023,0.01724448883894505,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2010,13255.0,True,4,2,227,21,72081.0,0.18389034558344086,28017.0,-1.1136929460580913,0,True,0.2619969201315187,0.16876846880592666,0.015121876777514198,-0.04361759687018771,0.20488524484029536,0.05003474173258371,0.007560938388757126,0.2981202012178978
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2011,28017.0,True,4,2,227,21,72081.0,0.3886877263079036,11566.0,0.5871792126209088,1,True,0.18389034558344086,0.2619969201315187,0.1266908061763849,0.21991925750197694,0.278191664007621,0.10335470035179684,0.06334540308819243,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2012,11566.0,True,4,2,227,21,72081.0,0.16045837321901749,4240.0,0.6334082656060868,1,True,0.3886877263079036,0.18389034558344086,-0.023431972364423376,-0.10153854691250122,0.24434548170345394,0.12555188973213433,-0.01171598618221164,0.5871792126209088
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2013,4240.0,True,4,2,227,21,72081.0,0.05882271333638545,836.0,0.8028301886792453,1,True,0.16045837321901749,0.3886877263079036,-0.32986501297151816,-0.12506763224705542,0.20265627095443547,0.1689326156360628,-0.16493250648575902,0.8486633115608381
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2014,836.0,True,4,1,227,21,72081.0,0.011598063289909963,4327.0,-4.175837320574162,0,False,0.05882271333638545,0.16045837321901749,-0.14886030992910754,-0.3770896630179936,0.07695971661510427,0.0760694494129994,-0.07443015496455375,0.927719176897804
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2015,4327.0,True,4,2,227,21,72081.0,0.06002968882229714,9131.0,-1.1102380402126184,0,True,0.011598063289909963,0.05882271333638545,0.001206975485911685,-0.10042868439672034,0.04348348848286415,0.027620181973652975,0.0006034877429558314,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2016,9131.0,True,4,4,227,21,72081.0,0.12667693289493764,2468.0,0.7297119702113679,1,True,0.06002968882229714,0.011598063289909963,0.11507886960502768,0.0678542195585522,0.06610156166904822,0.05777921154959862,0.057539434802513834,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2017,2468.0,True,4,2,227,21,72081.0,0.034239258611839456,27576.0,-10.173419773095624,0,False,0.12667693289493764,0.06002968882229714,-0.025790430210457682,0.022641195321929493,0.07364862677635804,0.04769997389899342,-0.012895215105228827,0.7297119702113678
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2018,27576.0,True,4,2,227,21,72081.0,0.38256960918966165,2227.0,0.9192413693066435,1,True,0.034239258611839456,0.12667693289493764,0.255892676294724,0.3225399203673645,0.18116193356547958,0.18044381329646367,0.12794633814736195,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2019,2227.0,True,4,4,227,21,72081.0,0.030895797783049624,43665.0,-18.607094746295466,0,False,0.38256960918966165,0.034239258611839456,-0.0033434608287898314,-0.09578113511188802,0.14923488852818353,0.20208071056438343,-0.001671730414394863,0.9192413693066435
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2020,43665.0,True,4,2,227,21,72081.0,0.6057768343946394,35186.0,0.19418298408336196,0,True,0.030895797783049624,0.38256960918966165,0.2232072252049777,0.5715375757828,0.3397474137891168,0.289822975069431,0.11160361260248874,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2021,35186.0,True,4,2,227,21,72081.0,0.4881452810033157,13900.0,0.6049565167964531,1,True,0.6057768343946394,0.030895797783049624,0.4572494832202661,0.10557567181365407,0.3749393043936682,0.3037000928860777,0.22862474161013313,0.19418298408336193
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2022,13900.0,True,4,2,227,21,72081.0,0.19283861211692402,14967.0,-0.07676258992805755,0,True,0.4881452810033157,0.6057768343946394,-0.41293822227771537,0.1619428143338744,0.4289202425049597,0.21274444233238848,-0.2064691111388577,0.6816672392076034
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2023,14967.0,True,4,3,227,21,72081.0,0.2076414034211512,26389.0,-0.7631455869579742,0,True,0.19283861211692402,0.4881452810033157,-0.28050387758216455,-0.39813543097348814,0.2962084321804636,0.16638688683196787,-0.14025193879108225,0.5746319558915478
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2024,26389.0,True,4,3,227,21,72081.0,0.3661020241117632,23316.0,0.11645003599984842,0,True,0.2076414034211512,0.19283861211692402,0.17326341199483916,-0.12204325689155254,0.2555273465499461,0.09604608344968657,0.08663170599741957,0.0
3_PALMS_EAST VRG,300,s300_c000,Southern California,33.7181,-118.3326,2025,23316.0,True,4,2,227,21,72081.0,0.32346943022433094,,,0,False,0.3661020241117632,0.2076414034211512,0.11582802680317975,0.13063081810740693,0.2990709525857484,0.08199942902681698,0.057914013401589894,0.11645003599984853
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1984,2928.0,True,3,2,79,16,6134.450000000002,0.47730440381778305,,,0,False,,,,,,,,
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1985,,False,2,0,79,16,6134.450000000002,,360.0,,0,False,0.47730440381778305,,,,,,,
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1986,360.0,True,4,1,79,16,6134.450000000002,0.05868496768251431,666.0,-0.85,0,True,,0.47730440381778305,-0.41861943613526875,,,,,
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1987,666.0,True,4,2,79,16,6134.450000000002,0.10856719021265147,972.0,-0.4594594594594595,0,True,0.05868496768251431,,,-0.36873721360513156,,,,
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1988,972.0,True,3,4,79,16,6134.450000000002,0.15844941274278865,325.0,0.6656378600823045,1,True,0.10856719021265147,0.05868496768251431,0.09976444506027435,,0.10856719021265149,0.04988222253013717,0.04988222253013717,0.0
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1989,325.0,True,3,4,79,16,6134.450000000002,0.05297948471338097,459.0,-0.4123076923076923,0,True,0.15844941274278865,0.10856719021265147,-0.0555877054992705,-0.005705482969133334,0.1066653625562737,0.052760677980462224,-0.02779385274963523,0.6656378600823045
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1990,459.0,True,4,2,79,16,6134.450000000002,0.07482333379520574,141.0,0.6928104575163399,1,True,0.05297948471338097,0.15844941274278865,-0.08362607894758291,-0.03374385641744573,0.0954174104171251,0.05566923228825976,-0.041813039473791454,0.5277777777777778
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1991,141.0,True,4,4,79,16,6134.450000000002,0.022984945675651437,0.0,1.0,1,False,0.07482333379520574,0.05297948471338097,-0.029994539037729535,-0.13546446706713722,0.05026258806141271,0.026025771194558178,-0.014997269518864757,0.6928104575163399
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1992,0.0,True,4,1,79,16,6134.450000000002,0.0,996.0,,0,False,0.022984945675651437,0.07482333379520574,-0.07482333379520574,-0.05297948471338097,0.032602759823619064,0.03832766079212021,-0.03741166689760286,1.0
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1993,996.0,True,4,2,79,16,6134.450000000002,0.16236174392162292,8613.0,-7.647590361445783,0,True,0.0,0.022984945675651437,0.1393767982459715,0.08753841012641718,0.06178222986575812,0.08785929613713958,0.06968839912298573,0.0
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1994,8613.0,True,4,2,79,16,6134.450000000002,1.4040378518041547,4837.0,0.4384070590967143,1,True,0.16236174392162292,0.0,1.4040378518041547,1.3810529061285033,0.5221331985752592,0.7680541628117131,0.7020189259020774,0.0
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1995,4837.0,True,3,1,79,16,6134.450000000002,0.788497746334227,0.0,1.0,1,True,1.4040378518041547,0.16236174392162292,0.626136002412604,0.788497746334227,0.7849657806866682,0.6208455889410667,0.3130680012063022,0.43840705909671424
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1996,0.0,True,4,1,79,16,6134.450000000002,0.0,468.0,,0,False,0.788497746334227,1.4040378518041547,-1.4040378518041547,-0.16236174392162292,0.7308451993794606,0.703792181295363,-0.7020189259020774,1.0
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1997,468.0,True,4,2,79,16,6134.450000000002,0.0762904579872686,0.0,1.0,1,True,0.0,0.788497746334227,-0.7122072883469583,-1.3277473938168862,0.28826273477383185,0.4348923528737871,-0.35610364417347923,0.9032458135207773
ABALONE_COVE_KELP_W VRG,300,s300_c001,Southern California,33.73922,-118.3879,1998,0.0,True,4,1,79,16,6134.450000000002,0.0,75.0,,0,False,0.0762904579872686,0.0,0.0,-0.788497746334227,0.025430152662422868,0.04404631645555308,1.7067422303575004e-17,1.0
