site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
3_PALMS_EAST VRG,33.7181,-118.3326,Southern California,1,300,s300_c000,227,21,True
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,Southern California,11,300,s300_c001,79,16,True
ANACAPA_MIDDLE_ISLE_CEN UCSB,34.01006,-119.3878,Southern California,21,300,s300_c002,39,10,True
ANACAPA_MIDDLE_ISLE_W UCSB,34.00783,-119.3945,Southern California,20,300,s300_c003,9,13,True
ANACAPA_WEST_ISLE_CEN UCSB,34.01698,-119.4329,Southern California,17,300,s300_c004,23,15,True
ANDREW_MOLERA_OLD_DC UCSC,36.273592,-121.869709,Central California,1,300,s300_c005,209,21,True
ANDREW_MOLERA_UC UCSC,36.27768,-121.876,Central California,10,300,s300_c006,298,20,True
ASILOMAR_DC UCSC,36.63224,-121.9467,Central California,3,300,s300_c007,118,14,True
ASILOMAR_UC UCSC,36.63651,-121.9456,Central California,3,300,s300_c007,157,17,True
BIG_CREEK_DC UCSC,36.069079,-121.605115,Central California,11,300,s300_c008,188,21,True
BIG_CREEK_UC UCSC,36.069151000000005,-121.60802000000001,Central California,12,300,s300_c008,171,21,True
BIRD_ROCK UCSC,36.59343,-121.9714,Central California,3,300,s300_c009,92,14,True
BUCHON UCSC,35.24408,-120.9011,Central California,10,300,s300_c010,102,17,True
BULLITO UCSB,34.45543,-120.332,Southern California,5,300,s300_c011,227,19,True
BUNKER_POINT VRG,33.72465,-118.3532,Southern California,11,300,s300_c012,125,20,True
BUTTERFLY_DC UCSC,36.53744,-121.9357,Central California,13,300,s300_c013,170,20,True
BUTTERFLY_UC UCSC,36.53966,-121.9363,Central California,13,300,s300_c013,211,20,True
CABRILLO_NATIONAL_MONUMENT VRG,32.65805,-117.2472,Southern California,2,300,s300_c014,301,15,True
CAMBRIA_DC UCSC,35.5678915,-121.12430950000001,Central California,10,300,s300_c015,158,20,True
CAMBRIA_UC UCSC,35.5704975,-121.1271225,Central California,10,300,s300_c015,128,20,True
CANNERY_DC UCSC,36.61495,-121.896,Central California,11,300,s300_c016,129,19,True
CANNERY_UC UCSC,36.61264,-121.8946,Central California,11,300,s300_c016,99,19,True
CAYUCOS_DC UCSC,35.434393,-120.947256,Central California,7,300,s300_c017,227,14,True
CAYUCOS_UC UCSC,35.43415,-120.950473,Central California,7,300,s300_c017,133,14,True
CHILDRENS_POOL VRG,32.85167,-117.2783,Southern California,4,300,s300_c018,146,16,True
CHINA_ROCK UCSC,36.59844,-121.9724,Central California,3,300,s300_c009,29,13,True
COJO_E UCSB,34.44129,-120.4168,Southern California,14,300,s300_c019,183,20,True
COJO_W UCSB,34.4432,-120.4233,Southern California,15,300,s300_c020,112,20,True
COOPER UCSC,36.26315,-121.8566,Central California,6,300,s300_c021,249,21,True
COUNTY_LINE UCSB,34.04302,-118.9522,Southern California,4,300,s300_c022,146,21,True
CROWBAR UCSC,35.22616,-120.8814,Central California,9,300,s300_c023,153,18,True
CYPRESS_PT_UC UCSC,36.58577,-121.9803,Central California,3,300,s300_c025,118,16,True
Caspar,39.36173,-123.822,Northern California,10,300,s300_c026,24,15,True
Caspar North,39.364429,-123.821327,Northern California,8,300,s300_c026,30,16,True
DEEP_HOLE_EAST VRG,34.04518,-118.9604,Southern California,1,300,s300_c027,257,19,True
DOLAN_DC UCSC,36.10018,-121.6284,Central California,2,300,s300_c028,228,21,True
DOLAN_UC UCSC,36.1092,-121.6336,Central California,3,300,s300_c029,128,21,True
