site_id,site_latitude,site_longitude,mur_latitude,mur_longitude,mur_match_distance_km,mapping_radius_degrees,year,mur_expected_days,mur_valid_days,mur_daily_coverage,annual_mean_sst_mur1km,annual_max_sst_mur1km,annual_max_7day_mean_anomaly_mur1km,annual_positive_anomaly_degree_days_mur1km,annual_days_above_expanding_p90_mur1km,annual_max_consecutive_hot_days_mur1km,climatology_rule
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2002,214,213,0.9953271028037384,17.463187793427227,20.481,,,,,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2003,365,365,1.0,16.870035616438358,22.061,,,,,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2004,366,366,1.0,17.238849726775957,22.787,4.119357142857143,318.3235000000001,59.0,45.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2005,365,365,1.0,16.744920547945206,21.196,1.6703571428571429,108.29166666666666,16.0,5.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2006,365,365,1.0,17.349654794520546,23.453,3.211035714285715,306.30425,72.0,68.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2007,365,365,1.0,16.82136164383562,22.125,1.6952000000000003,104.12599999999999,60.0,37.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2008,366,366,1.0,17.14949726775956,22.117,2.991571428571428,194.6628,61.0,19.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2009,365,365,1.0,17.284657534246573,22.449,2.3703877551020414,198.29595238095246,54.0,31.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2010,365,365,1.0,16.459928767123287,19.876,1.189448979591837,84.6113392857143,0.0,0.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2011,365,365,1.0,16.56973424657534,20.622,1.8283571428571428,65.90748611111108,1.0,1.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2012,366,366,1.0,17.261945355191255,22.317,2.4214714285714285,248.18236666666672,61.0,42.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2013,365,365,1.0,17.16991506849315,21.085,2.4720259740259745,187.79346363636367,26.0,9.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2014,365,365,1.0,18.501060273972602,22.819,3.0723452380952385,576.5531893939394,119.0,78.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2015,365,365,1.0,18.857972602739725,23.555,4.036296703296703,659.3620064102564,115.0,112.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2016,366,366,1.0,17.990710382513658,23.203,2.3117216117216097,313.2143424908425,74.0,57.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2017,365,365,1.0,17.764320547945204,22.805,1.9234857142857134,223.80909999999997,57.0,39.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2018,365,365,1.0,18.059087671232877,23.708,2.8260714285714283,321.6479208333333,76.0,75.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2019,365,365,1.0,17.546257534246575,22.534,1.8171932773109236,161.6343088235294,49.0,24.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2020,366,366,1.0,17.64627049180328,23.608,2.8056218487394946,241.1445833333333,30.0,13.0,strictly prior MUR days at the same source pixel
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05,2021,365,363,0.9945205479452055,16.95708815426997,21.471,1.3582777777777786,55.56409649122806,7.0,4.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2002,214,213,0.9953271028037384,17.490032863849766,20.495,,,,,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2003,365,365,1.0,16.90960273972603,22.107,,,,,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2004,366,366,1.0,17.26957650273224,22.968,4.138,311.606,62.0,46.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2005,365,365,1.0,16.804553424657534,21.213,1.507857142857143,108.90150000000003,20.0,7.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2006,365,365,1.0,17.347120547945206,23.254,3.000214285714286,293.9590833333333,70.0,67.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2007,365,365,1.0,16.83653698630137,22.047,1.6715714285714276,102.85555000000002,60.0,37.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2008,366,366,1.0,17.161368852459017,22.182,2.8184285714285706,190.89170000000001,59.0,19.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2009,365,365,1.0,17.27851506849315,22.37,2.2478163265306117,190.09197619047626,54.0,30.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2010,365,365,1.0,16.447520547945206,19.783,1.2064081632653063,81.81933928571428,0.0,0.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2011,365,365,1.0,16.561961643835616,20.631,1.6903571428571424,62.66430555555556,2.0,2.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2012,366,366,1.0,17.265218579234975,22.164,2.3408571428571436,246.9651333333333,64.0,43.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2013,365,365,1.0,17.188824657534248,21.107,2.3971428571428572,189.2008,26.0,10.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2014,365,365,1.0,18.535512328767126,22.858,3.172166666666667,583.9096818181818,125.0,79.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2015,365,365,1.0,18.907586301369864,23.869,4.1070659340659335,673.4457948717949,116.0,112.0,strictly prior MUR days at the same source pixel
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05,2016,366,366,1.0,18.046112021857926,23.182,2.3374542124542126,324.52087728937727,74.0,57.0,strictly prior MUR days at the same source pixel
