site_id,site_latitude,site_longitude,mur_latitude,mur_longitude,mur_match_distance_km,mapping_radius_degrees
3_PALMS_EAST VRG,33.7181,-118.3326,33.72,-118.33,0.3200959101706178,0.05
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,33.74,-118.39,0.212669297316848,0.05
ANACAPA_MIDDLE_ISLE_CEN UCSB,34.01006,-119.3878,34.01,-119.39,0.2028925510456256,0.05
ANACAPA_MIDDLE_ISLE_W UCSB,34.00783,-119.3945,34.01,-119.39,0.4798666192652778,0.05
ANACAPA_WEST_ISLE_CEN UCSB,34.01698,-119.4329,34.02,-119.43,0.4291914617202102,0.05
ANACAPA_WEST_ISLE_W UCSB,34.01742,-119.4381,34.02,-119.44,0.3361048893993886,0.05
ANDREW_MOLERA_OLD_DC UCSC,36.273592,-121.869709,36.27,-121.87,0.4002637672731823,0.05
ANDREW_MOLERA_UC UCSC,36.27768,-121.876,36.28,-121.88,0.4417169702407601,0.05
ASILOMAR_DC UCSC,36.63224,-121.9467,36.63,-121.95,0.385683702900247,0.05
ASILOMAR_UC UCSC,36.63651,-121.9456,36.64,-121.95,0.5520200304632354,0.05
BIG_CREEK_DC UCSC,36.069079,-121.605115,36.07,-121.61,0.4508459150413115,0.05
BIG_CREEK_UC UCSC,36.069151000000005,-121.60802,36.07,-121.61,0.2014505867926809,0.05
BIRD_ROCK UCSC,36.59343,-121.9714,36.59,-121.97,0.4013575980599743,0.05
BUCHON UCSC,35.24408,-120.9011,35.24,-120.9,0.4645441357525754,0.05
BULLITO UCSB,34.45543,-120.332,34.46,-120.33,0.5402340746753812,0.05
BUNKER_POINT VRG,33.72465,-118.3532,33.72,-118.35,0.5957650170604051,0.05
BUTTERFLY_DC UCSC,36.53744,-121.9357,36.54,-121.94,0.4781339904350626,0.05
BUTTERFLY_UC UCSC,36.53966,-121.9363,36.54,-121.94,0.332709010964186,0.05
CABRILLO_NATIONAL_MONUMENT VRG,32.65805,-117.2472,32.66,-117.25,0.3401809338579973,0.05
CAMBRIA_DC UCSC,35.5678915,-121.1243095,35.57,-121.12,0.4548642663634403,0.05
CAMBRIA_UC UCSC,35.5704975,-121.1271225,35.57,-121.13,0.2660738120569751,0.05
CANNERY_DC UCSC,36.61495,-121.896,36.62,-121.9,0.6654083277816397,0.05
CANNERY_UC UCSC,36.61264,-121.8946,36.61,-121.89,0.5047271219187249,0.05
CAYUCOS_DC UCSC,35.434393,-120.947256,35.43,-120.95,0.5481063361220886,0.05
CAYUCOS_UC UCSC,35.43415,-120.950473,35.43,-120.95,0.463445229898059,0.05
CHILDRENS_POOL VRG,32.85167,-117.2783,32.85,-117.28,0.2443383766685429,0.05
CHINA_ROCK UCSC,36.59844,-121.9724,36.6,-121.97,0.2756670835824691,0.05
COJO_E UCSB,34.44129,-120.4168,34.44,-120.42,0.3266343586686688,0.05
COJO_W UCSB,34.4432,-120.4233,34.44,-120.42,0.467107649882818,0.05
COOPER UCSC,36.26315,-121.8566,36.26,-121.86,0.4643423484887385,0.05
COUNTY_LINE UCSB,34.04302,-118.9522,34.04,-118.95,0.392247573622205,0.05
CROWBAR UCSC,35.22616,-120.8814,35.23,-120.88,0.4455224496895179,0.05
CYPRESS_PT_UC UCSC,36.58577,-121.9803,36.59,-121.98,0.4711172263844477,0.05
Caspar,39.36173,-123.822,39.36,-123.83,0.7141743712484578,0.05
Caspar North,39.364429,-123.821327,39.36,-123.83,0.8935851760221319,0.05
DEEP_HOLE_EAST VRG,34.04518,-118.9604,34.04,-118.96,0.5771684321848124,0.05
DOLAN_DC UCSC,36.10018,-121.6284,36.1,-121.63,0.1451377447541481,0.05
DOLAN_UC UCSC,36.1092,-121.6336,36.11,-121.64,0.5817756468820633,0.05
ESTERO UCSC,35.47239,-121.0296,35.47,-121.03,0.2682135397535441,0.05
FALSE_SUR UCSC,36.27756,-121.8868,36.28,-121.89,0.3948334751194122,0.05
FLAT_ROCK_N VRG,33.80132,-118.4074,33.8,-118.41,0.28153105256293,0.05
FULLERS UCSC,36.20811,-121.7522,36.21,-121.75,0.2883171999545008,0.05
Flat Iron Rock,41.059425,-124.157829,41.06,-124.16,0.1929277495918146,0.05
Fort Ross,38.5106,-123.245,38.51,-123.25,0.4401346380823065,0.05
Frolic Cove,39.355026,-123.823868,39.36,-123.83,0.7641010046542449,0.05
GREEN_PEAK UCSC,35.1901,-120.8307,35.19,-120.83,0.0645760862037586,0.05
Gerstle Cove,38.56646,-123.33,38.56,-123.33,0.7183202183082497,0.05
Glass Beach,39.451645,-123.814728,39.45,-123.82,0.4882224052566024,0.05
HARMONY UCSC,35.49641,-121.0578,35.5,-121.06,0.4461143057391424,0.05
HAWTHORNE_REEF VRG,33.74703,-118.4178,33.75,-118.42,0.3878638340444982,0.05
HEISLER_PARK VRG,33.54039,-117.7919,33.54,-117.79,0.1813549753674623,0.05
HOPKINS_DC UCSC,36.62359,-121.9042,36.62,-121.9,0.5475828334732044,0.05
HOPKINS_UC UCSC,36.62165,-121.9008,36.62,-121.9,0.1968739421750338,0.05
HORSESHOE_REEF_W UCSB,34.39173,-119.5577,34.39,-119.56,0.2855610741566362,0.05
JALAMA_N UCSB,34.48696,-120.5005,34.49,-120.5,0.341125102186834,0.05
JALAMA_S UCSB,34.48084,-120.4945,34.48,-120.49,0.4229147428796738,0.05
LAGUNA_BEACH VRG,33.53026,-117.781,33.53,-117.78,0.0970957447830112,0.05
LA_CRUZ_DC UCSC,35.710426,-121.324076,35.71,-121.32,0.3710504411702847,0.05
LA_CRUZ_UC UCSC,35.713009,-121.325389,35.71,-121.33,0.5341004623314185,0.05
