support_m,model_family,feature_set,estimable_years,macro_within_year_ap_lift,ci_low,ci_high,micro_recall_top20
300,logistic,current_only,14,0.10717384302760488,0.060140614231126856,0.16340489906202596,0.2496570644718793
300,logistic,current_plus_trajectory,14,0.17845278032721534,0.12609643468247947,0.2345210287864486,0.27983539094650206
300,logistic,trajectory_plus_mur,14,0.1677751918892924,0.09770444419684127,0.250739161843512,0.2784636488340192
300,random_forest,current_only,14,0.09855581669425173,0.05667631798990171,0.1499867457116776,0.2606310013717421
300,random_forest,current_plus_trajectory,14,0.1396726738866481,0.08707455569256883,0.19603798814278953,0.2606310013717421
300,random_forest,trajectory_plus_mur,14,0.16713232287021187,0.10498692580747537,0.23642599997090222,0.2825788751714678
300,xgboost,current_only,14,0.08946768591030332,0.048342802306416605,0.1381129951038809,0.25102880658436216
300,xgboost,current_plus_trajectory,14,0.10844933823650113,0.06354584611378002,0.1636413052715034,0.25651577503429357
300,xgboost,trajectory_plus_mur,14,0.15502123525441985,0.09752738751307431,0.2169442361078177,0.2784636488340192
1000,logistic,current_only,14,0.12301937851659105,0.06401438927831202,0.18669281720533323,0.27379553466509987
1000,logistic,current_plus_trajectory,14,0.14917845400543325,0.09658925007090377,0.20318263134956427,0.2937720329024677
1000,logistic,trajectory_plus_mur,14,0.15984083945443914,0.09876433814809192,0.22430760320639354,0.2878965922444183
1000,random_forest,current_only,14,0.11124246538169082,0.06168499569633447,0.16874636366232004,0.2620446533490012
1000,random_forest,current_plus_trajectory,14,0.1375278955871668,0.07839990427130791,0.20175485139980706,0.2773207990599295
1000,random_forest,trajectory_plus_mur,14,0.15651558968167914,0.09273159247414328,0.2260096611632232,0.29142185663924797
1000,xgboost,current_only,14,0.10811061022147928,0.05754033028181953,0.16615358378319434,0.26321974148061106
1000,xgboost,current_plus_trajectory,14,0.11199351379529755,0.06261537057015124,0.16382956550027455,0.27144535840188017
1000,xgboost,trajectory_plus_mur,14,0.1463844222894663,0.09559455597690404,0.2085188552001544,0.29142185663924797
