site_id,context
Fort Ross,bull_north
Gerstle Cove,bull_north
Mendocino Headlands,bull_north
Ocean Cove,bull_north
Point Arena MPA (M2),bull_north
Point Arena Ref,bull_north
Portuguese Beach,bull_north
Stillwater Sonoma,bull_north
Stornetta,bull_north
Van Damme,bull_north
ANDREW_MOLERA_UC UCSC,giant_central_southwest
ASILOMAR_DC UCSC,giant_central_southwest
ASILOMAR_UC UCSC,giant_central_southwest
BIG_CREEK_DC UCSC,giant_central_southwest
BIG_CREEK_UC UCSC,giant_central_southwest
BIRD_ROCK UCSC,giant_central_southwest
BUCHON UCSC,giant_central_southwest
BULLITO UCSB,giant_central_southwest
BUTTERFLY_DC UCSC,giant_central_southwest
BUTTERFLY_UC UCSC,giant_central_southwest
CAMBRIA_DC UCSC,giant_central_southwest
CAMBRIA_UC UCSC,giant_central_southwest
CANNERY_DC UCSC,giant_central_southwest
CANNERY_UC UCSC,giant_central_southwest
CAYUCOS_DC UCSC,giant_central_southwest
CAYUCOS_UC UCSC,giant_central_southwest
CHINA_ROCK UCSC,giant_central_southwest
COJO_E UCSB,giant_central_southwest
COJO_W UCSB,giant_central_southwest
CROWBAR UCSC,giant_central_southwest
CYPRESS_PT_UC UCSC,giant_central_southwest
ESTERO UCSC,giant_central_southwest
GREEN_PEAK UCSC,giant_central_southwest
HARMONY UCSC,giant_central_southwest
HOPKINS_DC UCSC,giant_central_southwest
HOPKINS_UC UCSC,giant_central_southwest
JALAMA_N UCSB,giant_central_southwest
JALAMA_S UCSB,giant_central_southwest
LA_CRUZ_DC UCSC,giant_central_southwest
LA_CRUZ_UC UCSC,giant_central_southwest
LITTLE_IRISH_DC UCSC,giant_central_southwest
LITTLE_IRISH_UC UCSC,giant_central_southwest
LONE_TREE UCSC,giant_central_southwest
LOPEZ_DC UCSC,giant_central_southwest
LOVERS_DC UCSC,giant_central_southwest
LOVERS_UC UCSC,giant_central_southwest
MACABEE_DC UCSC,giant_central_southwest
MACABEE_UC UCSC,giant_central_southwest
MALPASO UCSC,giant_central_southwest
MONASTERY_DC UCSC,giant_central_southwest
MONTANA_DE_ORO UCSC,giant_central_southwest
NAPLES_CEN UCSB,giant_central_southwest
NAPLES_E UCSB,giant_central_southwest
NAPLES_W UCSB,giant_central_southwest
OTTER_PT_DC UCSC,giant_central_southwest
OTTER_PT_UC UCSC,giant_central_southwest
PESCADERO_DC UCSC,giant_central_southwest
PESCADERO_UC UCSC,giant_central_southwest
PINNACLES_IN UCSC,giant_central_southwest
PINNACLES_OUT UCSC,giant_central_southwest
PINOS UCSC,giant_central_southwest
PT_JOE UCSC,giant_central_southwest
SANDHILL_UC UCSC,giant_central_southwest
SAN_SIMEON_DC UCSC,giant_central_southwest
SAN_SIMEON_UC UCSC,giant_central_southwest
SCI_FORNEY_E UCSB,giant_central_southwest
SCI_FORNEY_W UCSB,giant_central_southwest
SCI_GULL_ISLE_E UCSB,giant_central_southwest
SCI_HAZARDS_CEN UCSB,giant_central_southwest
SCI_HAZARDS_W UCSB,giant_central_southwest
SCI_VALLEY_W UCSB,giant_central_southwest
SIREN UCSC,giant_central_southwest
SMI_CROOK_POINT_E UCSB,giant_central_southwest
SMI_CROOK_POINT_W UCSB,giant_central_southwest
SMI_CUYLER_E UCSB,giant_central_southwest
SMI_CUYLER_W UCSB,giant_central_southwest
SMI_HARRIS_PT_RESERVE_E UCSB,giant_central_southwest
SMI_HARRIS_PT_RESERVE_W UCSB,giant_central_southwest
SMI_TYLER_BIGHT_E UCSB,giant_central_southwest
SMI_TYLER_BIGHT_W UCSB,giant_central_southwest
SOUTH_WRECK_DC UCSC,giant_central_southwest
SOUTH_WRECK_UC UCSC,giant_central_southwest
SPANISH_BAY_DC UCSC,giant_central_southwest
SPANISH_BAY_UC UCSC,giant_central_southwest
SRI_CLUSTER_POINT_N UCSB,giant_central_southwest
SRI_CLUSTER_POINT_S UCSB,giant_central_southwest
SRI_JOHNSONS_LEE_NORTH_E UCSB,giant_central_southwest
SRI_JOHNSONS_LEE_NORTH_W UCSB,giant_central_southwest
SRI_JOHNSONS_LEE_SOUTH_E UCSB,giant_central_southwest
SRI_JOHNSONS_LEE_SOUTH_W UCSB,giant_central_southwest
SRI_SOUTH_POINT_E UCSB,giant_central_southwest
SRI_SOUTH_POINT_W UCSB,giant_central_southwest
STILLWATER_DC UCSC,giant_central_southwest
STILLWATER_UC UCSC,giant_central_southwest
TERRACE_DC UCSC,giant_central_southwest
WESTON_DC UCSC,giant_central_southwest
WESTON_UC UCSC,giant_central_southwest
WHITE_ROCK_UC UCSC,giant_central_southwest
ABALONE_COVE_KELP_W VRG,giant_southeast
ANACAPA_MIDDLE_ISLE_CEN UCSB,giant_southeast
ANACAPA_MIDDLE_ISLE_W UCSB,giant_southeast
ANACAPA_WEST_ISLE_CEN UCSB,giant_southeast
ANACAPA_WEST_ISLE_W UCSB,giant_southeast
BUNKER_POINT VRG,giant_southeast
COUNTY_LINE UCSB,giant_southeast
HORSESHOE_REEF_W UCSB,giant_southeast
LECHUZA UCSB,giant_southeast
LONG_POINT_E VRG,giant_southeast
POINT_DUME UCSB,giant_southeast
POINT_FERMIN VRG,giant_southeast
POINT_VICENTE_W VRG,giant_southeast
RIDGES_N VRG,giant_southeast
ROCKY_POINT_N VRG,giant_southeast
SBI_SOUTHEAST_SEALION VRG,giant_southeast
SBI_SUTIL VRG,giant_southeast
SCI_CAVERN_POINT_W UCSB,giant_southeast
