support_m,context,feature,missing_fraction
300,bull_north,active_grazing_proxy,1.0
300,bull_north,canopy_2yr_change,0.0
300,bull_north,canopy_3yr_change,0.0
300,bull_north,canopy_3yr_mean,0.017857142857142856
300,bull_north,canopy_3yr_slope,0.017857142857142856
300,bull_north,canopy_3yr_std,0.017857142857142856
300,bull_north,canopy_drop_from_3yr_max,0.017857142857142856
300,bull_north,canopy_lag1,0.017857142857142856
300,bull_north,canopy_lag2,0.0
300,bull_north,depth_m,0.0
300,bull_north,field_kelp_current_log1p,0.0
300,bull_north,field_prior_kelp_cv,0.19642857142857142
300,bull_north,field_prior_kelp_mean_log1p,0.08928571428571429
300,bull_north,grazer_era,0.0
300,bull_north,grazer_era_x_active_grazing,0.0
300,bull_north,grazer_era_x_purple,0.0
300,bull_north,grazer_era_x_temperature,0.0
300,bull_north,log_vrm,0.0
300,bull_north,paper_nitrate,0.0
300,bull_north,paper_npp,0.0
300,bull_north,paper_orbital,0.0
300,bull_north,paper_spores,1.0
300,bull_north,paper_temperature,0.0
300,bull_north,paper_wave,0.0
300,bull_north,post_mhw,0.0
300,bull_north,post_mhw_x_active_grazing,0.0
300,bull_north,post_mhw_x_purple,0.0
300,bull_north,post_mhw_x_temperature,0.0
300,bull_north,purple_threshold_fraction,0.0
300,bull_north,purple_urchin_log1p,0.0
300,bull_north,relative_canopy,0.0
300,bull_north,rock_probability,0.0
300,giant_central_southwest,active_grazing_proxy,0.0
300,giant_central_southwest,canopy_2yr_change,0.007776049766718507
300,giant_central_southwest,canopy_3yr_change,0.00933125972006221
300,giant_central_southwest,canopy_3yr_mean,0.02021772939346812
300,giant_central_southwest,canopy_3yr_slope,0.02021772939346812
300,giant_central_southwest,canopy_3yr_std,0.02021772939346812
300,giant_central_southwest,canopy_drop_from_3yr_max,0.02021772939346812
300,giant_central_southwest,canopy_lag1,0.012441679626749611
300,giant_central_southwest,canopy_lag2,0.007776049766718507
300,giant_central_southwest,depth_m,0.0
300,giant_central_southwest,field_kelp_current_log1p,0.0
300,giant_central_southwest,field_prior_kelp_cv,0.14930015552099535
300,giant_central_southwest,field_prior_kelp_mean_log1p,0.060653188180404355
300,giant_central_southwest,grazer_era,0.0
300,giant_central_southwest,grazer_era_x_active_grazing,0.0
300,giant_central_southwest,grazer_era_x_purple,0.0015552099533437014
300,giant_central_southwest,grazer_era_x_temperature,0.0
300,giant_central_southwest,log_vrm,0.0
300,giant_central_southwest,paper_nitrate,0.0
300,giant_central_southwest,paper_npp,0.0
300,giant_central_southwest,paper_orbital,0.0
300,giant_central_southwest,paper_spores,0.0
300,giant_central_southwest,paper_temperature,0.0
300,giant_central_southwest,paper_wave,0.0
300,giant_central_southwest,post_mhw,0.0
300,giant_central_southwest,post_mhw_x_active_grazing,0.0
300,giant_central_southwest,post_mhw_x_purple,0.0015552099533437014
300,giant_central_southwest,post_mhw_x_temperature,0.0
300,giant_central_southwest,purple_threshold_fraction,0.0
300,giant_central_southwest,purple_urchin_log1p,0.0015552099533437014
300,giant_central_southwest,relative_canopy,0.0
300,giant_central_southwest,rock_probability,0.0
300,giant_southeast,active_grazing_proxy,0.0
300,giant_southeast,canopy_2yr_change,0.0
300,giant_southeast,canopy_3yr_change,0.006024096385542169
300,giant_southeast,canopy_3yr_mean,0.0
300,giant_southeast,canopy_3yr_slope,0.0
300,giant_southeast,canopy_3yr_std,0.0
300,giant_southeast,canopy_drop_from_3yr_max,0.0
300,giant_southeast,canopy_lag1,0.0
300,giant_southeast,canopy_lag2,0.0
300,giant_southeast,depth_m,0.0
300,giant_southeast,field_kelp_current_log1p,0.0
300,giant_southeast,field_prior_kelp_cv,0.21084337349397592
300,giant_southeast,field_prior_kelp_mean_log1p,0.060240963855421686
300,giant_southeast,grazer_era,0.0
300,giant_southeast,grazer_era_x_active_grazing,0.0
300,giant_southeast,grazer_era_x_purple,0.0
300,giant_southeast,grazer_era_x_temperature,0.0
300,giant_southeast,log_vrm,0.0
300,giant_southeast,paper_nitrate,0.0
300,giant_southeast,paper_npp,0.0
300,giant_southeast,paper_orbital,1.0
300,giant_southeast,paper_spores,0.0
300,giant_southeast,paper_temperature,0.0
300,giant_southeast,paper_wave,0.0
300,giant_southeast,post_mhw,0.0
300,giant_southeast,post_mhw_x_active_grazing,0.0
300,giant_southeast,post_mhw_x_purple,0.0
300,giant_southeast,post_mhw_x_temperature,0.0
300,giant_southeast,purple_threshold_fraction,0.0
300,giant_southeast,purple_urchin_log1p,0.0
300,giant_southeast,relative_canopy,0.0
300,giant_southeast,rock_probability,0.0
1000,bull_north,active_grazing_proxy,1.0
1000,bull_north,canopy_2yr_change,0.016666666666666666
1000,bull_north,canopy_3yr_change,0.0
1000,bull_north,canopy_3yr_mean,0.08333333333333333
1000,bull_north,canopy_3yr_slope,0.08333333333333333
1000,bull_north,canopy_3yr_std,0.08333333333333333
