support_m,year,context,status,train_start,train_end,n_train,events_train,n_test,events_test,test_sites
300,2008,bull_north,one_class_train,2007,2007,5,0,7,7,7
300,2008,giant_central_southwest,fit,2004,2007,189,67,69,21,69
300,2008,giant_southeast,fit,2004,2007,23,12,11,6,11
300,2009,bull_north,fit,2007,2008,12,7,7,3,7
300,2009,giant_central_southwest,fit,2004,2008,258,88,40,12,40
300,2009,giant_southeast,fit,2004,2008,34,18,9,2,9
300,2010,bull_north,fit,2007,2009,19,10,5,1,5
300,2010,giant_central_southwest,fit,2004,2009,298,100,52,31,52
300,2010,giant_southeast,fit,2004,2009,43,20,14,13,14
300,2011,bull_north,fit,2007,2010,24,11,5,0,5
300,2011,giant_central_southwest,fit,2004,2010,350,131,47,16,47
300,2011,giant_southeast,fit,2004,2010,57,33,16,13,16
300,2012,bull_north,fit,2007,2011,29,11,5,4,5
300,2012,giant_central_southwest,fit,2004,2011,397,147,26,7,26
300,2012,giant_southeast,fit,2004,2011,73,46,13,1,13
300,2013,bull_north,fit,2007,2012,34,15,6,6,6
300,2013,giant_central_southwest,fit,2004,2012,423,154,23,19,23
300,2013,giant_southeast,fit,2004,2012,86,47,10,6,10
300,2014,bull_north,fit,2007,2013,40,21,4,4,4
300,2014,giant_central_southwest,fit,2004,2013,446,173,28,10,28
300,2014,giant_southeast,fit,2004,2013,96,53,11,4,11
300,2015,bull_north,no_test_rows,2007,2014,44,25,0,0,0
300,2015,giant_central_southwest,fit,2004,2014,474,183,30,7,30
300,2015,giant_southeast,fit,2004,2014,107,57,7,6,7
300,2016,bull_north,fit,2007,2014,44,25,2,1,2
300,2016,giant_central_southwest,fit,2004,2015,504,190,27,21,27
300,2016,giant_southeast,fit,2004,2015,114,63,8,0,8
300,2017,bull_north,fit,2007,2016,46,26,2,1,2
300,2017,giant_central_southwest,fit,2004,2016,531,211,22,8,22
300,2017,giant_southeast,fit,2004,2016,122,63,11,1,11
300,2018,bull_north,fit,2007,2017,48,27,2,2,2
300,2018,giant_central_southwest,fit,2004,2017,553,219,30,25,30
300,2018,giant_southeast,fit,2004,2017,133,64,12,8,12
300,2019,bull_north,fit,2007,2018,50,29,1,0,1
300,2019,giant_central_southwest,fit,2004,2018,583,244,19,8,19
300,2019,giant_southeast,fit,2004,2018,145,72,10,1,10
300,2020,bull_north,fit,2007,2019,51,29,1,0,1
300,2020,giant_central_southwest,fit,2004,2019,602,252,24,9,24
300,2020,giant_southeast,fit,2004,2019,155,73,11,5,11
300,2021,bull_north,fit,2007,2020,52,29,4,4,4
300,2021,giant_central_southwest,fit,2004,2020,626,261,17,0,17
300,2021,giant_southeast,no_test_rows,2004,2020,166,78,0,0,0
1000,2008,bull_north,one_class_train,2007,2007,8,0,7,7,7
1000,2008,giant_central_southwest,fit,2004,2007,223,54,83,32,83
1000,2008,giant_southeast,fit,2004,2007,40,14,13,5,13
1000,2009,bull_north,fit,2007,2008,15,7,7,6,7
1000,2009,giant_central_southwest,fit,2004,2008,306,86,53,14,53
1000,2009,giant_southeast,fit,2004,2008,53,19,14,1,14
1000,2010,bull_north,fit,2007,2009,22,13,6,1,6
1000,2010,giant_central_southwest,fit,2004,2009,359,100,62,37,62
1000,2010,giant_southeast,fit,2004,2009,67,20,17,12,17
1000,2011,bull_north,fit,2007,2010,28,14,4,0,4
1000,2011,giant_central_southwest,fit,2004,2010,421,137,65,12,65
1000,2011,giant_southeast,fit,2004,2010,84,32,20,14,20
1000,2012,bull_north,fit,2007,2011,32,14,4,4,4
1000,2012,giant_central_southwest,fit,2004,2011,486,149,43,15,43
1000,2012,giant_southeast,fit,2004,2011,104,46,19,2,19
1000,2013,bull_north,fit,2007,2012,36,18,8,8,8
1000,2013,giant_central_southwest,fit,2004,2012,529,164,26,25,26
1000,2013,giant_southeast,fit,2004,2012,123,48,16,7,16
1000,2014,bull_north,fit,2007,2013,44,26,4,4,4
1000,2014,giant_central_southwest,fit,2004,2013,555,189,36,12,36
1000,2014,giant_southeast,fit,2004,2013,139,55,14,4,14
1000,2015,bull_north,no_test_rows,2007,2014,48,30,0,0,0
1000,2015,giant_central_southwest,fit,2004,2014,591,201,33,6,33
1000,2015,giant_southeast,fit,2004,2014,153,59,12,9,12
1000,2016,bull_north,fit,2007,2014,48,30,2,1,2
1000,2016,giant_central_southwest,fit,2004,2015,624,207,30,19,30
1000,2016,giant_southeast,fit,2004,2015,165,68,14,1,14
1000,2017,bull_north,fit,2007,2016,50,31,3,3,3
1000,2017,giant_central_southwest,fit,2004,2016,654,226,33,11,33
1000,2017,giant_southeast,fit,2004,2016,179,69,14,0,14
1000,2018,bull_north,no_test_rows,2007,2017,53,34,0,0,0
1000,2018,giant_central_southwest,fit,2004,2017,687,237,39,35,39
1000,2018,giant_southeast,fit,2004,2017,193,69,17,16,17
1000,2019,bull_north,no_test_rows,2007,2017,53,34,0,0,0
1000,2019,giant_central_southwest,fit,2004,2018,726,272,33,12,33
1000,2019,giant_southeast,fit,2004,2018,210,85,15,0,15
1000,2020,bull_north,fit,2007,2017,53,34,1,0,1
1000,2020,giant_central_southwest,fit,2004,2019,759,284,32,11,32
1000,2020,giant_southeast,fit,2004,2019,225,85,14,5,14
1000,2021,bull_north,fit,2007,2020,54,34,6,6,6
1000,2021,giant_central_southwest,fit,2004,2020,791,295,19,1,19
1000,2021,giant_southeast,no_test_rows,2004,2020,239,90,0,0,0
