excluded_year,retained_years,macro_ap_gain,sign_positive
2008,13,0.042736202288661436,True
2009,13,0.040794655427365475,True
2010,13,0.044107644086542434,True
2011,13,0.05274530457582211,True
2012,13,0.03929809821396782,True
2013,13,0.039239787079051666,True
2014,13,0.0380232188450819,True
2015,13,0.04846352486702464,True
2016,13,0.04134319611330206,True
2017,13,0.028340114584525098,True
2018,13,0.034367390902385615,True
2019,13,0.02632139171001104,True
2020,13,0.0534298923584513,True
2021,13,4.4495871996448505e-05,True
