context,year,n,events,within_context_ap_gain
bull_north,2009,7,3,0.0
bull_north,2010,5,1,-0.8
bull_north,2012,5,4,0.050000000000000044
bull_north,2016,2,1,-0.5
bull_north,2017,2,1,0.0
giant_central_southwest,2008,69,21,-0.007146429616532557
giant_central_southwest,2009,40,12,-0.14574133350720486
giant_central_southwest,2010,52,31,0.01981592736708815
giant_central_southwest,2011,47,16,0.011828726350810115
giant_central_southwest,2012,26,7,0.21359513502370642
giant_central_southwest,2013,23,19,0.14675780482274914
giant_central_southwest,2014,28,10,-0.12744973135453008
giant_central_southwest,2015,30,7,0.24919750601749724
giant_central_southwest,2016,27,21,-0.16962954883012382
giant_central_southwest,2017,22,8,-0.22099583423112845
giant_central_southwest,2018,30,25,-0.03179793748924187
giant_central_southwest,2019,19,8,0.2080543843411492
giant_central_southwest,2020,24,9,-0.11761219188755434
giant_southeast,2008,11,6,-0.04533429533429534
giant_southeast,2009,9,2,0.1513888888888889
giant_southeast,2010,14,13,0.007692307692307665
giant_southeast,2011,16,13,-0.2131238419699958
giant_southeast,2012,13,1,0.25
giant_southeast,2013,10,6,-0.27268518518518514
giant_southeast,2014,11,4,0.08214285714285707
giant_southeast,2015,7,6,-0.13055555555555565
giant_southeast,2017,11,1,0.75
giant_southeast,2018,12,8,-0.008928571428571397
giant_southeast,2019,10,1,0.16666666666666669
giant_southeast,2020,11,5,-0.38
