domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,current_only,0.05,2005,312,16,186,14,0.875,0.07526881720430108
full_oisst_domain,logistic,current_only,0.05,2006,285,15,54,11,0.7333333333333333,0.2037037037037037
full_oisst_domain,logistic,current_only,0.05,2007,328,17,94,12,0.7058823529411765,0.1276595744680851
full_oisst_domain,logistic,current_only,0.05,2008,331,17,95,13,0.7647058823529411,0.1368421052631579
full_oisst_domain,logistic,current_only,0.05,2009,341,18,163,11,0.6111111111111112,0.06748466257668712
full_oisst_domain,logistic,current_only,0.05,2010,328,17,162,16,0.9411764705882353,0.09876543209876543
full_oisst_domain,logistic,current_only,0.05,2011,280,14,109,11,0.7857142857142857,0.10091743119266056
full_oisst_domain,logistic,current_only,0.05,2012,290,15,63,13,0.8666666666666667,0.20634920634920634
full_oisst_domain,logistic,current_only,0.05,2013,335,17,213,13,0.7647058823529411,0.06103286384976526
full_oisst_domain,logistic,current_only,0.05,2014,293,15,116,11,0.7333333333333333,0.09482758620689655
full_oisst_domain,logistic,current_only,0.05,2015,253,13,123,10,0.7692307692307693,0.08130081300813008
full_oisst_domain,logistic,current_only,0.05,2016,232,12,80,8,0.6666666666666666,0.1
full_oisst_domain,logistic,current_only,0.05,2017,251,13,49,6,0.46153846153846156,0.12244897959183673
full_oisst_domain,logistic,current_only,0.05,2018,277,14,208,12,0.8571428571428571,0.057692307692307696
full_oisst_domain,logistic,current_only,0.05,2019,199,10,63,5,0.5,0.07936507936507936
full_oisst_domain,logistic,current_only,0.05,2020,239,12,90,5,0.4166666666666667,0.05555555555555555
full_oisst_domain,logistic,current_only,0.05,2021,229,12,83,4,0.3333333333333333,0.04819277108433735
full_oisst_domain,logistic,current_only,0.05,2022,225,12,150,11,0.9166666666666666,0.07333333333333333
full_oisst_domain,logistic,current_only,0.05,2023,179,9,32,3,0.3333333333333333,0.09375
full_oisst_domain,logistic,current_only,0.05,2024,204,11,51,4,0.36363636363636365,0.0784313725490196
full_oisst_domain,logistic,current_only,0.1,2005,312,32,186,29,0.90625,0.15591397849462366
full_oisst_domain,logistic,current_only,0.1,2006,285,29,54,15,0.5172413793103449,0.2777777777777778
full_oisst_domain,logistic,current_only,0.1,2007,328,33,94,27,0.8181818181818182,0.2872340425531915
full_oisst_domain,logistic,current_only,0.1,2008,331,34,95,23,0.6764705882352942,0.24210526315789474
full_oisst_domain,logistic,current_only,0.1,2009,341,35,163,20,0.5714285714285714,0.12269938650306748
full_oisst_domain,logistic,current_only,0.1,2010,328,33,162,26,0.7878787878787878,0.16049382716049382
full_oisst_domain,logistic,current_only,0.1,2011,280,28,109,20,0.7142857142857143,0.1834862385321101
full_oisst_domain,logistic,current_only,0.1,2012,290,29,63,23,0.7931034482758621,0.36507936507936506
full_oisst_domain,logistic,current_only,0.1,2013,335,34,213,28,0.8235294117647058,0.13145539906103287
full_oisst_domain,logistic,current_only,0.1,2014,293,30,116,23,0.7666666666666667,0.19827586206896552
full_oisst_domain,logistic,current_only,0.1,2015,253,26,123,21,0.8076923076923077,0.17073170731707318
full_oisst_domain,logistic,current_only,0.1,2016,232,24,80,16,0.6666666666666666,0.2
full_oisst_domain,logistic,current_only,0.1,2017,251,26,49,10,0.38461538461538464,0.20408163265306123
full_oisst_domain,logistic,current_only,0.1,2018,277,28,208,26,0.9285714285714286,0.125
full_oisst_domain,logistic,current_only,0.1,2019,199,20,63,14,0.7,0.2222222222222222
full_oisst_domain,logistic,current_only,0.1,2020,239,24,90,11,0.4583333333333333,0.12222222222222222
full_oisst_domain,logistic,current_only,0.1,2021,229,23,83,10,0.43478260869565216,0.12048192771084337
full_oisst_domain,logistic,current_only,0.1,2022,225,23,150,21,0.9130434782608695,0.14
full_oisst_domain,logistic,current_only,0.1,2023,179,18,32,4,0.2222222222222222,0.125
full_oisst_domain,logistic,current_only,0.1,2024,204,21,51,5,0.23809523809523808,0.09803921568627451
full_oisst_domain,logistic,current_only,0.2,2005,312,63,186,53,0.8412698412698413,0.2849462365591398
full_oisst_domain,logistic,current_only,0.2,2006,285,57,54,27,0.47368421052631576,0.5
full_oisst_domain,logistic,current_only,0.2,2007,328,66,94,37,0.5606060606060606,0.39361702127659576
full_oisst_domain,logistic,current_only,0.2,2008,331,67,95,37,0.5522388059701493,0.3894736842105263
full_oisst_domain,logistic,current_only,0.2,2009,341,69,163,42,0.6086956521739131,0.25766871165644173
full_oisst_domain,logistic,current_only,0.2,2010,328,66,162,48,0.7272727272727273,0.2962962962962963
full_oisst_domain,logistic,current_only,0.2,2011,280,56,109,34,0.6071428571428571,0.3119266055045872
full_oisst_domain,logistic,current_only,0.2,2012,290,58,63,28,0.4827586206896552,0.4444444444444444
full_oisst_domain,logistic,current_only,0.2,2013,335,67,213,52,0.7761194029850746,0.24413145539906103
full_oisst_domain,logistic,current_only,0.2,2014,293,59,116,40,0.6779661016949152,0.3448275862068966
full_oisst_domain,logistic,current_only,0.2,2015,253,51,123,35,0.6862745098039216,0.2845528455284553
full_oisst_domain,logistic,current_only,0.2,2016,232,47,80,30,0.6382978723404256,0.375
full_oisst_domain,logistic,current_only,0.2,2017,251,51,49,12,0.23529411764705882,0.24489795918367346
full_oisst_domain,logistic,current_only,0.2,2018,277,56,208,51,0.9107142857142857,0.24519230769230768
full_oisst_domain,logistic,current_only,0.2,2019,199,40,63,24,0.6,0.38095238095238093
full_oisst_domain,logistic,current_only,0.2,2020,239,48,90,18,0.375,0.2
full_oisst_domain,logistic,current_only,0.2,2021,229,46,83,23,0.5,0.27710843373493976
full_oisst_domain,logistic,current_only,0.2,2022,225,45,150,39,0.8666666666666667,0.26
