domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable
full_oisst_domain,logistic,current_only,expanding_window,2005,312,186,0.5961538461538461,0.7532282215301022,0.15707437537625601,True
full_oisst_domain,logistic,current_only,expanding_window,2006,285,54,0.18947368421052632,0.4899706652912428,0.30049698108071643,True
full_oisst_domain,logistic,current_only,expanding_window,2007,328,94,0.2865853658536585,0.5210188203620262,0.23443345450836767,True
full_oisst_domain,logistic,current_only,expanding_window,2008,331,95,0.28700906344410876,0.5384706969029627,0.2514616334588539,True
full_oisst_domain,logistic,current_only,expanding_window,2009,341,163,0.4780058651026393,0.609486557590091,0.13148069248745164,True
full_oisst_domain,logistic,current_only,expanding_window,2010,328,162,0.49390243902439024,0.6951442413194684,0.20124180229507815,True
full_oisst_domain,logistic,current_only,expanding_window,2011,280,109,0.3892857142857143,0.5619632069634343,0.17267749267771998,True
full_oisst_domain,logistic,current_only,expanding_window,2012,290,63,0.21724137931034482,0.5550610181638209,0.3378196388534761,True
full_oisst_domain,logistic,current_only,expanding_window,2013,335,213,0.6358208955223881,0.7271014697098426,0.0912805741874545,True
full_oisst_domain,logistic,current_only,expanding_window,2014,293,116,0.39590443686006827,0.55182217458473,0.15591773772466178,True
full_oisst_domain,logistic,current_only,expanding_window,2015,253,123,0.48616600790513836,0.6258000580105372,0.1396340501053988,True
full_oisst_domain,logistic,current_only,expanding_window,2016,232,80,0.3448275862068966,0.57552183260255,0.2306942463956534,True
full_oisst_domain,logistic,current_only,expanding_window,2017,251,49,0.1952191235059761,0.2540533729398082,0.058834249433832086,True
full_oisst_domain,logistic,current_only,expanding_window,2018,277,208,0.7509025270758123,0.8273404208779148,0.07643789380210253,True
full_oisst_domain,logistic,current_only,expanding_window,2019,199,63,0.3165829145728643,0.4924772699228245,0.17589435534996017,True
full_oisst_domain,logistic,current_only,expanding_window,2020,239,90,0.37656903765690375,0.4096610681207919,0.033092030463888145,True
full_oisst_domain,logistic,current_only,expanding_window,2021,229,83,0.3624454148471616,0.4278879050529726,0.065442490205811,True
full_oisst_domain,logistic,current_only,expanding_window,2022,225,150,0.6666666666666666,0.8079922110440438,0.1413255443773772,True
full_oisst_domain,logistic,current_only,expanding_window,2023,179,32,0.1787709497206704,0.22964579585128578,0.05087484613061538,True
full_oisst_domain,logistic,current_only,expanding_window,2024,204,51,0.25,0.30336132098610713,0.05336132098610713,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2005,312,186,0.5961538461538461,0.7553507418147903,0.1591968956609442,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2006,285,54,0.18947368421052632,0.6303867099893798,0.4409130257788535,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2007,328,94,0.2865853658536585,0.5663947227396509,0.27980935688599234,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2008,331,95,0.28700906344410876,0.530072930304266,0.2430638668601573,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2009,341,163,0.4780058651026393,0.5833590398082877,0.10535317470564842,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2010,328,162,0.49390243902439024,0.7260404410540345,0.2321380020296443,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2011,280,109,0.3892857142857143,0.5387590323179088,0.1494733180321945,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2012,290,63,0.21724137931034482,0.5638883697864091,0.3466469904760643,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2013,335,213,0.6358208955223881,0.7444310704833642,0.10861017496097614,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2014,293,116,0.39590443686006827,0.5673440686275454,0.17143963176747712,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2015,253,123,0.48616600790513836,0.6232991198537692,0.13713311194863081,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2016,232,80,0.3448275862068966,0.6095232865762977,0.26469570036940115,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2017,251,49,0.1952191235059761,0.3067066760229076,0.11148755251693149,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2018,277,208,0.7509025270758123,0.8715168298630882,0.12061430278727592,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2019,199,63,0.3165829145728643,0.5575792316846392,0.24099631711177488,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2020,239,90,0.37656903765690375,0.47340190734896914,0.0968328696920654,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2021,229,83,0.3624454148471616,0.48824313890857785,0.12579772406141626,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2022,225,150,0.6666666666666666,0.8503786899418548,0.1837120232751882,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2023,179,32,0.1787709497206704,0.35036420937150403,0.17159325965083363,True
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2024,204,51,0.25,0.3789628832188265,0.12896288321882649,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2005,312,186,0.5961538461538461,0.7515910365500136,0.15543719039616744,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2006,285,54,0.18947368421052632,0.4821572759183248,0.29268359170779845,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2007,328,94,0.2865853658536585,0.5213112888205139,0.2347259229668554,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2008,331,95,0.28700906344410876,0.515764000806008,0.22875493736189928,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2009,341,163,0.4780058651026393,0.5397540010775269,0.0617481359748876,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2010,328,162,0.49390243902439024,0.6518052030916062,0.15790276406721593,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2011,280,109,0.3892857142857143,0.5832432983437273,0.19395758405801306,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2012,290,63,0.21724137931034482,0.5612104880352095,0.34396910872486464,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2013,335,213,0.6358208955223881,0.7126854065095263,0.0768645109871382,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2014,293,116,0.39590443686006827,0.5485139120261598,0.15260947516609158,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2015,253,123,0.48616600790513836,0.7118166786658049,0.22565067076066653,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2016,232,80,0.3448275862068966,0.5564105856941727,0.2115829994872761,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2017,251,49,0.1952191235059761,0.3102723594849375,0.11505323597896139,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2018,277,208,0.7509025270758123,0.8907921794360902,0.13988965236027795,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2019,199,63,0.3165829145728643,0.5060139785877089,0.1894310640148446,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2020,239,90,0.37656903765690375,0.4918710472627479,0.11530200960584414,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2021,229,83,0.3624454148471616,0.5183837416842836,0.155938326837122,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2022,225,150,0.6666666666666666,0.8084426382319456,0.141775971565279,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2023,179,32,0.1787709497206704,0.3424888680537345,0.16371791833306412,True
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2024,204,51,0.25,0.37091591648203437,0.12091591648203437,True
full_oisst_domain,random_forest,current_only,expanding_window,2005,312,186,0.5961538461538461,0.7455400357548783,0.14938618960103212,True
full_oisst_domain,random_forest,current_only,expanding_window,2006,285,54,0.18947368421052632,0.46596516671656785,0.2764914825060415,True
full_oisst_domain,random_forest,current_only,expanding_window,2007,328,94,0.2865853658536585,0.5327638530981857,0.24617848724452723,True
full_oisst_domain,random_forest,current_only,expanding_window,2008,331,95,0.28700906344410876,0.49931172427530274,0.21230266083119398,True
full_oisst_domain,random_forest,current_only,expanding_window,2009,341,163,0.4780058651026393,0.5921235459693164,0.11411768086667706,True
full_oisst_domain,random_forest,current_only,expanding_window,2010,328,162,0.49390243902439024,0.6844310010359813,0.19052856201159107,True
full_oisst_domain,random_forest,current_only,expanding_window,2011,280,109,0.3892857142857143,0.5762774540516841,0.18699173976596978,True
full_oisst_domain,random_forest,current_only,expanding_window,2012,290,63,0.21724137931034482,0.5927334737771996,0.37549209446685483,True
full_oisst_domain,random_forest,current_only,expanding_window,2013,335,213,0.6358208955223881,0.7306099717261156,0.09478907620372756,True
full_oisst_domain,random_forest,current_only,expanding_window,2014,293,116,0.39590443686006827,0.5812419151868431,0.18533747832677483,True
full_oisst_domain,random_forest,current_only,expanding_window,2015,253,123,0.48616600790513836,0.6203892005050409,0.1342231925999025,True
full_oisst_domain,random_forest,current_only,expanding_window,2016,232,80,0.3448275862068966,0.5732055509018419,0.2283779646949453,True
full_oisst_domain,random_forest,current_only,expanding_window,2017,251,49,0.1952191235059761,0.26157776993000503,0.06635864642402894,True
full_oisst_domain,random_forest,current_only,expanding_window,2018,277,208,0.7509025270758123,0.8064053464879828,0.0555028194121705,True
full_oisst_domain,random_forest,current_only,expanding_window,2019,199,63,0.3165829145728643,0.4941201528787247,0.17753723830586038,True
full_oisst_domain,random_forest,current_only,expanding_window,2020,239,90,0.37656903765690375,0.4115470068859911,0.03497796922908736,True
full_oisst_domain,random_forest,current_only,expanding_window,2021,229,83,0.3624454148471616,0.41777207832889623,0.05532666348173465,True
full_oisst_domain,random_forest,current_only,expanding_window,2022,225,150,0.6666666666666666,0.8095711801768657,0.14290451351019906,True
full_oisst_domain,random_forest,current_only,expanding_window,2023,179,32,0.1787709497206704,0.2505384283988625,0.07176747867819208,True
full_oisst_domain,random_forest,current_only,expanding_window,2024,204,51,0.25,0.28732312344610544,0.037323123446105444,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2005,312,186,0.5961538461538461,0.7464046865407086,0.15025084038686243,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2006,285,54,0.18947368421052632,0.5611012845915573,0.37162760038103093,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2007,328,94,0.2865853658536585,0.5592624583891547,0.27267709253549616,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2008,331,95,0.28700906344410876,0.5197434831941875,0.23273441975007875,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2009,341,163,0.4780058651026393,0.6266743416699729,0.14866847656733362,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2010,328,162,0.49390243902439024,0.7241753897062094,0.2302729506818192,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2011,280,109,0.3892857142857143,0.574149120856259,0.18486340657054473,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2012,290,63,0.21724137931034482,0.6051886942818824,0.38794731497153756,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2013,335,213,0.6358208955223881,0.760218386408271,0.12439749088588292,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2014,293,116,0.39590443686006827,0.5663242101685655,0.17041977330849722,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2015,253,123,0.48616600790513836,0.6434534013913731,0.15728739348623472,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2016,232,80,0.3448275862068966,0.60880929258003,0.26398170637313345,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2017,251,49,0.1952191235059761,0.3534219423969413,0.1582028188909652,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2018,277,208,0.7509025270758123,0.8661645949931964,0.11526206791738414,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2019,199,63,0.3165829145728643,0.5095425671369467,0.19295965256408237,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2020,239,90,0.37656903765690375,0.49598784997632966,0.11941881231942592,True
full_oisst_domain,random_forest,current_plus_trajectory,expanding_window,2021,229,83,0.3624454148471616,0.4872495885311623,0.12480417368400071,True
