protocol,domain,year,train_start,train_end,n_train,events_train,n_test,events_test,test_cells
expanding_window,full_oisst_domain,2005,1989,2004,4046,1684,312,186,312
expanding_window,full_oisst_domain,2006,1989,2005,4358,1870,285,54,285
expanding_window,full_oisst_domain,2007,1989,2006,4643,1924,328,94,328
expanding_window,full_oisst_domain,2008,1989,2007,4971,2018,331,95,331
expanding_window,full_oisst_domain,2009,1989,2008,5302,2113,341,163,341
expanding_window,full_oisst_domain,2010,1989,2009,5643,2276,328,162,328
expanding_window,full_oisst_domain,2011,1989,2010,5971,2438,280,109,280
expanding_window,full_oisst_domain,2012,1989,2011,6251,2547,290,63,290
expanding_window,full_oisst_domain,2013,1989,2012,6541,2610,335,213,335
expanding_window,full_oisst_domain,2014,1989,2013,6876,2823,293,116,293
expanding_window,full_oisst_domain,2015,1989,2014,7169,2939,253,123,253
expanding_window,full_oisst_domain,2016,1989,2015,7422,3062,232,80,232
expanding_window,full_oisst_domain,2017,1989,2016,7654,3142,251,49,251
expanding_window,full_oisst_domain,2018,1989,2017,7905,3191,277,208,277
expanding_window,full_oisst_domain,2019,1989,2018,8182,3399,199,63,199
expanding_window,full_oisst_domain,2020,1989,2019,8381,3462,239,90,239
expanding_window,full_oisst_domain,2021,1989,2020,8620,3552,229,83,229
expanding_window,full_oisst_domain,2022,1989,2021,8849,3635,225,150,225
expanding_window,full_oisst_domain,2023,1989,2022,9074,3785,179,32,179
expanding_window,full_oisst_domain,2024,1989,2023,9253,3817,204,51,204
expanding_window,upwelling_supported_domain,2005,1989,2004,2793,1182,207,129,207
expanding_window,upwelling_supported_domain,2006,1989,2005,3000,1311,191,39,191
expanding_window,upwelling_supported_domain,2007,1989,2006,3191,1350,217,71,217
expanding_window,upwelling_supported_domain,2008,1989,2007,3408,1421,216,61,216
expanding_window,upwelling_supported_domain,2009,1989,2008,3624,1482,228,99,228
expanding_window,upwelling_supported_domain,2010,1989,2009,3852,1581,225,136,225
expanding_window,upwelling_supported_domain,2011,1989,2010,4077,1717,186,65,186
expanding_window,upwelling_supported_domain,2012,1989,2011,4263,1782,196,28,196
expanding_window,upwelling_supported_domain,2013,1989,2012,4459,1810,230,185,230
expanding_window,upwelling_supported_domain,2014,1989,2013,4689,1995,188,73,188
expanding_window,upwelling_supported_domain,2015,1989,2014,4877,2068,163,53,163
expanding_window,upwelling_supported_domain,2016,1989,2015,5040,2121,168,71,168
expanding_window,upwelling_supported_domain,2017,1989,2016,5208,2192,175,36,175
expanding_window,upwelling_supported_domain,2018,1989,2017,5383,2228,181,156,181
expanding_window,upwelling_supported_domain,2019,1989,2018,5564,2384,123,21,123
expanding_window,upwelling_supported_domain,2020,1989,2019,5687,2405,156,56,156
expanding_window,upwelling_supported_domain,2021,1989,2020,5843,2461,161,46,161
expanding_window,upwelling_supported_domain,2022,1989,2021,6004,2507,160,126,160
expanding_window,upwelling_supported_domain,2023,1989,2022,6164,2633,111,10,111
expanding_window,upwelling_supported_domain,2024,1989,2023,6275,2643,138,39,138
