domain,model_family,model_label,feature_set,feature_label,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss,macro_ci_low,macro_ci_high
full_oisst_domain,logistic,Logistic,current_only,Current,5411,2184,0.4036222509702458,0.5632850923599609,0.15966284138971515,0.15297377049503907,20,0.22429053668170032,0.6428213765694862,0.11784187194788609,0.19132690318570877
full_oisst_domain,logistic,Logistic,current_plus_trajectory,Current + trajectory,5411,2184,0.4036222509702458,0.5884668705645686,0.1848446195943228,0.19092350908951483,20,0.21861555231949775,0.6312089805621484,0.1556165767923412,0.2295552357359352
full_oisst_domain,logistic,Logistic,trajectory_plus_oisst,Current + trajectory + OISST,5411,2184,0.4036222509702458,0.5700809380853007,0.1664586871150549,0.1738955493418151,20,0.22360084582281428,0.6431134807717452,0.14614765968702537,0.20303370763128195
full_oisst_domain,random_forest,Random forest,current_only,Current,5411,2184,0.4036222509702458,0.5585834023160959,0.15496115134585015,0.1517957530803308,20,0.22506768925021553,0.6443701199487781,0.11404288160091071,0.1896943702119303
full_oisst_domain,random_forest,Random forest,current_plus_trajectory,Current + trajectory,5411,2184,0.4036222509702458,0.593166054254558,0.18954380328431225,0.19365930323804306,20,0.21746051200141076,0.6257291115584955,0.16201702291648679,0.22807671395772164
full_oisst_domain,random_forest,Random forest,trajectory_plus_oisst,Current + trajectory + OISST,5411,2184,0.4036222509702458,0.5703911682325757,0.16676891726232995,0.19590184396313282,20,0.22053853387693745,0.6325351917722587,0.16316926112228586,0.23256244815067986
full_oisst_domain,xgboost,XGBoost,current_only,Current,5411,2184,0.4036222509702458,0.5551133796491527,0.15149112867890696,0.14474658431853446,20,0.22547992432566644,0.643883021549114,0.10940143340532323,0.18224056357606155
full_oisst_domain,xgboost,XGBoost,current_plus_trajectory,Current + trajectory,5411,2184,0.4036222509702458,0.5815259755052704,0.17790372453502462,0.1778178350994594,20,0.21920528974746195,0.6297669627594893,0.15036838671026045,0.20639383130430555
full_oisst_domain,xgboost,XGBoost,trajectory_plus_oisst,Current + trajectory + OISST,5411,2184,0.4036222509702458,0.5636639242292361,0.16004167325899027,0.19318278066534386,20,0.2258614123128416,0.6471994226321354,0.15622388181863342,0.2346693420978185
upwelling_supported_domain,logistic,Logistic,current_only,Current,3620,1500,0.4143646408839779,0.5651142928005486,0.1507496519165707,0.14009855252356565,20,0.2270160184271688,0.6491157627517204,0.0965954470389104,0.1853243172358537
upwelling_supported_domain,logistic,Logistic,current_plus_trajectory,Current + trajectory,3620,1500,0.4143646408839779,0.5783255224927116,0.16396088160873373,0.16788026088545496,20,0.22425726042034125,0.6429840338176467,0.11902115762721602,0.22224621505800204
upwelling_supported_domain,logistic,Logistic,trajectory_plus_oisst,Current + trajectory + OISST,3620,1500,0.4143646408839779,0.5577311366066461,0.14336649572266819,0.16317193837392024,20,0.23147832859822515,0.6605579441723082,0.11935508486180947,0.2118787810452142
upwelling_supported_domain,logistic,Logistic,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,3620,1500,0.4143646408839779,0.5491782201848276,0.13481357930084975,0.1541807462486021,20,0.23499215383475108,0.6698744358110217,0.10915978023223488,0.20369628244050692
upwelling_supported_domain,random_forest,Random forest,current_only,Current,3620,1500,0.4143646408839779,0.558038759904333,0.14367411902035515,0.13553238282854901,20,0.2280845731331989,0.6515721375520301,0.09057917828809155,0.18360255128294495
upwelling_supported_domain,random_forest,Random forest,current_plus_trajectory,Current + trajectory,3620,1500,0.4143646408839779,0.5845164957865974,0.17015185490261947,0.16898776924427783,20,0.22209271246627385,0.6354684989532323,0.12079064669294623,0.21705634451972045
upwelling_supported_domain,random_forest,Random forest,trajectory_plus_oisst,Current + trajectory + OISST,3620,1500,0.4143646408839779,0.577595818733287,0.16323117784930913,0.1817636146170401,20,0.22283253630201902,0.6365305058453158,0.13184679248390963,0.23739205286744583
upwelling_supported_domain,random_forest,Random forest,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,3620,1500,0.4143646408839779,0.5598328514463151,0.14546821056233722,0.17958443242485217,20,0.22652074664679592,0.6443206124519899,0.12451931023731683,0.24089982396487009
upwelling_supported_domain,xgboost,XGBoost,current_only,Current,3620,1500,0.4143646408839779,0.5567830401691527,0.1424183992851748,0.13261514580501083,20,0.22818340455867722,0.6496900033251868,0.09132535150790091,0.1774381911298377
upwelling_supported_domain,xgboost,XGBoost,current_plus_trajectory,Current + trajectory,3620,1500,0.4143646408839779,0.571713724579301,0.15734908369532313,0.1487608298020246,20,0.22623555495231723,0.6459034171015058,0.1086381151936871,0.19325973196248497
upwelling_supported_domain,xgboost,XGBoost,trajectory_plus_oisst,Current + trajectory + OISST,3620,1500,0.4143646408839779,0.5714938784990921,0.15712923761511416,0.16870446283804397,20,0.22936941927910026,0.6558689811226427,0.11682243530622033,0.23430593630292784
upwelling_supported_domain,xgboost,XGBoost,trajectory_plus_oisst_cuti_beuti,Current + trajectory + OISST + CUTI/BEUTI,3620,1500,0.4143646408839779,0.5381115710293243,0.12374693014534638,0.15899856918990762,20,0.23677301150070587,0.672220347792581,0.09747818565621769,0.2321555368945639
