decline_threshold,canopy_cutoff,domain,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
0.2,0.02,full_oisst_domain,current_only,5913,2574,0.4353120243531202,0.6077239551684869,0.17241193081536665,0.16278813737028758,20,0.22611674049202746,0.6477740627617676
0.2,0.02,full_oisst_domain,current_plus_trajectory,5913,2574,0.4353120243531202,0.6270377621655163,0.1917257378123961,0.19052999556813588,20,0.2208041021285551,0.6358768334627223
0.2,0.02,full_oisst_domain,trajectory_plus_oisst,5913,2574,0.4353120243531202,0.6121588334138826,0.17684680906076233,0.17925092852274754,20,0.22577795486105812,0.6477684158915618
0.2,0.02,upwelling_supported_domain,current_only,3977,1755,0.4412874025647473,0.6091002220165505,0.16781281945180315,0.1477450578876434,20,0.2271730471457331,0.6502360831970408
0.2,0.02,upwelling_supported_domain,current_plus_trajectory,3977,1755,0.4412874025647473,0.6209984153678584,0.17971101280311108,0.16963611480824586,20,0.22412138414149066,0.642442763357989
0.2,0.02,upwelling_supported_domain,trajectory_plus_oisst,3977,1755,0.4412874025647473,0.6007050667110108,0.15941766414626346,0.16537861408307672,20,0.2315721746025469,0.6603942041581131
0.2,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3977,1755,0.4412874025647473,0.5945862245471554,0.15329882198240807,0.15561142709509598,20,0.23555964385135525,0.672571551466534
0.2,0.05,full_oisst_domain,current_only,5411,2429,0.4489003880983182,0.6172251688605292,0.16832478076221102,0.1597434012315393,20,0.2280463542788331,0.6517302783171387
0.2,0.05,full_oisst_domain,current_plus_trajectory,5411,2429,0.4489003880983182,0.637088500886034,0.18818811278771574,0.18920294398481594,20,0.22271685357283538,0.6403579364916245
0.2,0.05,full_oisst_domain,trajectory_plus_oisst,5411,2429,0.4489003880983182,0.6228661177068466,0.1739657296085284,0.17794962951940546,20,0.22749265673153887,0.6518835643443938
0.2,0.05,upwelling_supported_domain,current_only,3620,1649,0.45552486187845304,0.6190206178667197,0.16349575598826666,0.14802027659406836,20,0.22893324994244102,0.6538902837888247
0.2,0.05,upwelling_supported_domain,current_plus_trajectory,3620,1649,0.45552486187845304,0.6293807287805948,0.17385586690214178,0.16980890283896677,20,0.22662362281432336,0.6482380107089821
0.2,0.05,upwelling_supported_domain,trajectory_plus_oisst,3620,1649,0.45552486187845304,0.6104948050443972,0.1549699431659442,0.16639033635567943,20,0.23400170761545544,0.6660852575430579
0.2,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3620,1649,0.45552486187845304,0.601527709228524,0.14600284735007102,0.15779092795212812,20,0.23879825997455822,0.6797045288522318
0.2,0.1,full_oisst_domain,current_only,4788,2252,0.4703425229741019,0.6300012714467055,0.15965874847260358,0.1543033921263946,20,0.23112720306673995,0.65855976500289
0.2,0.1,full_oisst_domain,current_plus_trajectory,4788,2252,0.4703425229741019,0.6481052848568449,0.17776276188274304,0.18094172721877383,20,0.22623890713110242,0.6484265085431424
0.2,0.1,full_oisst_domain,trajectory_plus_oisst,4788,2252,0.4703425229741019,0.6333758487959431,0.1630333258218412,0.16954706966346839,20,0.23146474721041718,0.6612955515085682
0.2,0.1,upwelling_supported_domain,current_only,3159,1525,0.4827477049699272,0.6319089384488582,0.149161233478931,0.14608935690383706,20,0.23329586657207202,0.6631228180405253
0.2,0.1,upwelling_supported_domain,current_plus_trajectory,3159,1525,0.4827477049699272,0.6419493852566448,0.1592016802867176,0.16972263932884,20,0.23135671181774622,0.6585346201835608
0.2,0.1,upwelling_supported_domain,trajectory_plus_oisst,3159,1525,0.4827477049699272,0.6228831074033847,0.1401354024334575,0.16546999791622732,20,0.23955963766551105,0.6784593140352813
0.2,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3159,1525,0.4827477049699272,0.610371010590369,0.12762330562044183,0.1534528931029543,20,0.24618334858012056,0.6969989348657575
0.3,0.02,full_oisst_domain,current_only,5913,2314,0.3913411128023,0.5541893517852428,0.16284823898294276,0.15481157293158293,20,0.22152706817463394,0.6370526848840502
0.3,0.02,full_oisst_domain,current_plus_trajectory,5913,2314,0.3913411128023,0.5782533596179241,0.18691224681562413,0.19037392988768173,20,0.21605831478774845,0.6253376794813079
0.3,0.02,full_oisst_domain,trajectory_plus_oisst,5913,2314,0.3913411128023,0.5597906550116258,0.16844954220932584,0.17423773804966375,20,0.22108813421803356,0.6372448649577284
0.3,0.02,upwelling_supported_domain,current_only,3977,1594,0.40080462660296706,0.5560437691995117,0.15523914259654464,0.13970687383246083,20,0.22411067953323183,0.6430461565168094
0.3,0.02,upwelling_supported_domain,current_plus_trajectory,3977,1594,0.40080462660296706,0.5701536382187846,0.16934901161581756,0.16598872586269217,20,0.22084602360090202,0.6352366627554366
0.3,0.02,upwelling_supported_domain,trajectory_plus_oisst,3977,1594,0.40080462660296706,0.5483179543964602,0.1475133277934932,0.16126831450508086,20,0.2279699900997115,0.6526521104443198
0.3,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3977,1594,0.40080462660296706,0.5428466974949203,0.14204207089195325,0.14976928063902012,20,0.23071549193326138,0.6606616164861473
0.3,0.05,full_oisst_domain,current_only,5411,2184,0.4036222509702458,0.5632850923599609,0.15966284138971515,0.15297377049503907,20,0.22429053668170032,0.6428213765694862
0.3,0.05,full_oisst_domain,current_plus_trajectory,5411,2184,0.4036222509702458,0.5884668705645686,0.1848446195943228,0.19092350908951483,20,0.21861555231949775,0.6312089805621484
0.3,0.05,full_oisst_domain,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.5700809380853007,0.1664586871150549,0.1738955493418151,20,0.22360084582281428,0.6431134807717452
0.3,0.05,upwelling_supported_domain,current_only,3620,1500,0.4143646408839779,0.5651142928005486,0.1507496519165707,0.14009855252356565,20,0.2270160184271688,0.6491157627517204
0.3,0.05,upwelling_supported_domain,current_plus_trajectory,3620,1500,0.4143646408839779,0.5783255224927116,0.16396088160873373,0.16788026088545496,20,0.22425726042034125,0.6429840338176467
0.3,0.05,upwelling_supported_domain,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.5577311366066461,0.14336649572266819,0.16317193837392024,20,0.23147832859822515,0.6605579441723082
0.3,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3620,1500,0.4143646408839779,0.5491782201848276,0.13481357930084975,0.1541807462486021,20,0.23499215383475108,0.6698744358110217
0.3,0.1,full_oisst_domain,current_only,4788,2026,0.42314118629908104,0.5753250003176585,0.1521838140185775,0.1504365016709526,20,0.22869585311018523,0.6523841532309104
0.3,0.1,full_oisst_domain,current_plus_trajectory,4788,2026,0.42314118629908104,0.6004036379284762,0.17726245162939513,0.1884025998945576,20,0.22310211903544153,0.6414015992172404
0.3,0.1,full_oisst_domain,trajectory_plus_oisst,4788,2026,0.42314118629908104,0.5812057228059124,0.1580645365068314,0.1695674810407632,20,0.22853348786450478,0.6545493465516093
0.3,0.1,upwelling_supported_domain,current_only,3159,1389,0.439696106362773,0.5767574122135067,0.13706130585073373,0.14115987035120728,20,0.23305466949920273,0.6618744081016912
0.3,0.1,upwelling_supported_domain,current_plus_trajectory,3159,1389,0.439696106362773,0.5916147086645425,0.15191860230176946,0.17452682055342852,20,0.2303307412976363,0.6562835824344636
0.3,0.1,upwelling_supported_domain,trajectory_plus_oisst,3159,1389,0.439696106362773,0.5701909303566397,0.1304948239938667,0.1701387170650235,20,0.23831785376086354,0.6756757545736664
0.3,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3159,1389,0.439696106362773,0.5580771861669411,0.11838107980416812,0.15756273655330827,20,0.24357314388939538,0.6894538470320538
0.4,0.02,full_oisst_domain,current_only,5913,2045,0.34584813123625907,0.4935942358778279,0.14774610464156884,0.14076615273909918,20,0.213162146053977,0.6182209840008064
0.4,0.02,full_oisst_domain,current_plus_trajectory,5913,2045,0.34584813123625907,0.5241462126768424,0.1782980814405833,0.18168876093474975,20,0.20762682396295326,0.606162252242408
0.4,0.02,full_oisst_domain,trajectory_plus_oisst,5913,2045,0.34584813123625907,0.5022366243216467,0.15638849308538766,0.16078615296559934,20,0.21220494541835802,0.6172209909207536
0.4,0.02,upwelling_supported_domain,current_only,3977,1421,0.3573045008800603,0.4978721925161841,0.14056769163612376,0.1280787561282073,20,0.21711571890855505,0.6269422828184513
0.4,0.02,upwelling_supported_domain,current_plus_trajectory,3977,1421,0.3573045008800603,0.5180327435034691,0.16072824262340873,0.16013523620656595,20,0.2132896318512694,0.6179847224384614
0.4,0.02,upwelling_supported_domain,trajectory_plus_oisst,3977,1421,0.3573045008800603,0.48901371531487514,0.13170921443481481,0.1530340355038007,20,0.22106640028163727,0.6375010186077852
0.4,0.02,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3977,1421,0.3573045008800603,0.48392132793326226,0.12661682705320193,0.13705759485718955,20,0.2238231355624856,0.6453183854044798
0.4,0.05,full_oisst_domain,current_only,5411,1931,0.35686564405839954,0.5017662914724352,0.1449006474140357,0.1395142383293761,20,0.2166616280068379,0.6256407555460007
0.4,0.05,full_oisst_domain,current_plus_trajectory,5411,1931,0.35686564405839954,0.534384627495686,0.1775189834372865,0.1839383828545739,20,0.2108134013373148,0.6134427826356237
