domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
full_oisst_domain,logistic,current_only,expanding_window,2005,329,201,0.6109422492401215,0.7998777920876801,0.18893554284755854,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2006,312,74,0.23717948717948717,0.557951510809673,0.3207720236301858,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2007,337,101,0.2997032640949555,0.5447741899036785,0.24507092580872303,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2008,338,108,0.31952662721893493,0.5631399214151365,0.24361329419620154,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2009,348,183,0.5258620689655172,0.7079026571022344,0.1820405881367172,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2010,339,178,0.5250737463126843,0.7324106706365092,0.2073369243238249,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2011,306,128,0.41830065359477125,0.6355623704479072,0.21726171685313594,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2012,312,73,0.23397435897435898,0.5710344971723368,0.3370601381979778,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2013,350,230,0.6571428571428571,0.7647235437719502,0.10758068662909304,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2014,326,137,0.42024539877300615,0.5679271554539358,0.14768175668092964,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2015,278,140,0.5035971223021583,0.6698444516392571,0.16624732933709885,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2016,263,97,0.3688212927756654,0.5888007845515889,0.21997949177592352,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2017,285,70,0.24561403508771928,0.276209072249099,0.030595037161379735,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2018,296,230,0.777027027027027,0.8616308292683479,0.08460380224132091,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2019,245,83,0.33877551020408164,0.5746360979167666,0.23586058771268498,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2020,270,120,0.4444444444444444,0.46989228827950646,0.025447843835062045,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2021,265,124,0.4679245283018868,0.5348739924108512,0.06694946410896441,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2022,253,175,0.691699604743083,0.8053281257000867,0.11362852095700371,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2023,226,51,0.22566371681415928,0.2660461341384839,0.0403824173243246,True,0.2,0.02
full_oisst_domain,logistic,current_only,expanding_window,2024,235,71,0.3021276595744681,0.3768423152221101,0.07471465564764201,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2005,329,201,0.6109422492401215,0.8055570552311777,0.19461480599105618,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2006,312,74,0.23717948717948717,0.6330069893472251,0.39582750216773793,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2007,337,101,0.2997032640949555,0.5914150404284035,0.291711776333448,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2008,338,108,0.31952662721893493,0.5566622499353969,0.237135622716462,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2009,348,183,0.5258620689655172,0.6902710079160841,0.16440893895056685,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2010,339,178,0.5250737463126843,0.7524573214106537,0.22738357509796936,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2011,306,128,0.41830065359477125,0.6227372411710768,0.2044365875763055,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2012,312,73,0.23397435897435898,0.5650464053382359,0.33107204636387694,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2013,350,230,0.6571428571428571,0.7861288569123501,0.128985999769493,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2014,326,137,0.42024539877300615,0.5700432046998474,0.14979780592684122,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2015,278,140,0.5035971223021583,0.6614099476554453,0.157812825353287,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2016,263,97,0.3688212927756654,0.6180397902458704,0.24921849747020502,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2017,285,70,0.24561403508771928,0.31454557642473846,0.06893154133701918,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2018,296,230,0.777027027027027,0.8866843325176159,0.10965730549058894,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2019,245,83,0.33877551020408164,0.5937628108634271,0.25498730065934544,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2020,270,120,0.4444444444444444,0.5093299820837777,0.06488553763933325,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2021,265,124,0.4679245283018868,0.5804610150105729,0.1125364867086861,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2022,253,175,0.691699604743083,0.8520378264406089,0.16033822169752587,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2023,226,51,0.22566371681415928,0.3824025023095817,0.15673878549542244,True,0.2,0.02
full_oisst_domain,logistic,current_plus_trajectory,expanding_window,2024,235,71,0.3021276595744681,0.4522464081920151,0.15011874861754704,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2005,329,201,0.6109422492401215,0.7907445216057047,0.17980227236558322,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2006,312,74,0.23717948717948717,0.5162605011861392,0.27908101400665203,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2007,337,101,0.2997032640949555,0.5651970158191678,0.2654937517242123,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2008,338,108,0.31952662721893493,0.5459856177882655,0.22645899056933055,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2009,348,183,0.5258620689655172,0.6561689117943914,0.13030684282887417,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2010,339,178,0.5250737463126843,0.7017270895272905,0.17665334321460613,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2011,306,128,0.41830065359477125,0.6546296676433729,0.23632901404860168,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2012,312,73,0.23397435897435898,0.5737228885255727,0.33974852955121376,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2013,350,230,0.6571428571428571,0.7580086403236901,0.10086578318083295,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2014,326,137,0.42024539877300615,0.5732018927596318,0.1529564939866257,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2015,278,140,0.5035971223021583,0.724588330030375,0.2209912077282168,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2016,263,97,0.3688212927756654,0.5884159023658675,0.2195946095902021,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2017,285,70,0.24561403508771928,0.31368630622778915,0.06807227114006986,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2018,296,230,0.777027027027027,0.8967391129781134,0.1197120859510864,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2019,245,83,0.33877551020408164,0.5443853576070596,0.205609847402978,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2020,270,120,0.4444444444444444,0.5345559525788874,0.09011150813444302,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2021,265,124,0.4679245283018868,0.6132268797009265,0.1453023513990397,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2022,253,175,0.691699604743083,0.8291367245482907,0.13743711980520767,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2023,226,51,0.22566371681415928,0.37017302339661295,0.14450930658245367,True,0.2,0.02
full_oisst_domain,logistic,trajectory_plus_oisst,expanding_window,2024,235,71,0.3021276595744681,0.44810988681918945,0.14598222724472137,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2005,218,141,0.6467889908256881,0.8151647237453199,0.16837573291963182,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2006,211,47,0.22274881516587677,0.5817486197230877,0.3589998045572109,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2007,221,74,0.334841628959276,0.6039368084722472,0.2690951795129712,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2008,221,68,0.3076923076923077,0.5486883710648197,0.240996063372512,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2009,235,114,0.4851063829787234,0.7040820753095871,0.21897569233086372,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2010,233,149,0.6394849785407726,0.8036004727459374,0.1641154942051648,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2011,208,76,0.36538461538461536,0.6485052023345609,0.2831205869499455,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2012,211,32,0.15165876777251186,0.49280172846410425,0.3411429606915924,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2013,238,200,0.8403361344537815,0.8686082970035971,0.02827216254981557,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2014,213,89,0.41784037558685444,0.4703075764986667,0.052467200911812284,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2015,184,66,0.358695652173913,0.49880557383585195,0.14010992166193892,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2016,191,85,0.44502617801047123,0.6767958878871629,0.2317697098766917,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2017,196,51,0.2602040816326531,0.2625627623558611,0.002358680723208051,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2018,194,172,0.8865979381443299,0.9340086029420795,0.04741066479774969,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2019,156,30,0.19230769230769232,0.2818778723788856,0.0895701800711933,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2020,177,73,0.4124293785310734,0.46523696156662697,0.05280758303555355,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2021,189,72,0.38095238095238093,0.4098362060711812,0.028883825118800277,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2022,178,147,0.8258426966292135,0.8759833123369496,0.05014061570773609,True,0.2,0.02
upwelling_supported_domain,logistic,current_only,expanding_window,2023,144,19,0.13194444444444445,0.19589816914595953,0.06395372470151509,True,0.2,0.02
