year,cells,source_pixels,mean_daily_coverage,min_daily_coverage,passing_cells
1985,165,164,1.0,1.0,165
1986,165,164,1.0,1.0,165
1987,165,164,1.0,1.0,165
1988,165,164,1.0,1.0,165
1989,165,164,1.0,1.0,165
1990,165,164,1.0,1.0,165
1991,165,164,1.0,1.0,165
1992,165,164,1.0,1.0,165
1993,165,164,1.0,1.0,165
1994,165,164,1.0,1.0,165
1995,165,164,1.0,1.0,165
1996,165,164,1.0,1.0,165
1997,165,164,1.0,1.0,165
1998,165,164,1.0,1.0,165
1999,165,164,1.0,1.0,165
2000,165,164,1.0,1.0,165
2001,165,164,1.0,1.0,165
2002,165,164,1.0,1.0,165
2003,165,164,1.0,1.0,165
2004,165,164,1.0,1.0,165
2005,165,164,1.0,1.0,165
2006,165,164,1.0,1.0,165
2007,165,164,1.0,1.0,165
2008,165,164,1.0,1.0,165
2009,165,164,1.0,1.0,165
2010,165,164,1.0,1.0,165
2011,165,164,1.0,1.0,165
2012,165,164,1.0,1.0,165
2013,165,164,1.0,1.0,165
2014,165,164,1.0,1.0,165
2015,165,164,1.0,1.0,165
2016,165,164,1.0,1.0,165
2017,165,164,1.0,1.0,165
2018,165,164,1.0,1.0,165
2019,165,164,1.0,1.0,165
2020,165,164,1.0,1.0,165
2021,165,164,1.0,1.0,165
2022,165,164,1.0,1.0,165
2023,165,164,1.0,1.0,165
2024,165,164,0.989010989010989,0.989010989010989,165
