forecast_year,train_start,train_end,n_train,events_train,n_test,events_test,test_cells
2005,1990,2004,1396,579,145,45,145
2006,1990,2005,1541,624,136,88,136
2007,1990,2006,1677,712,108,20,108
2008,1990,2007,1785,732,153,48,153
2009,1990,2008,1938,780,152,43,152
2010,1990,2009,2090,823,151,76,151
2011,1990,2010,2241,899,150,80,150
2012,1990,2011,2391,979,121,43,121
2013,1990,2012,2512,1022,125,25,125
2014,1990,2013,2637,1047,146,92,146
2015,1990,2014,2783,1139,124,45,124
2016,1990,2015,2907,1184,109,55,109
2017,1990,2016,3016,1239,99,38,99
2018,1990,2017,3115,1277,118,16,118
2019,1990,2018,3233,1293,128,98,128
2020,1990,2019,3361,1391,93,29,93
2021,1990,2020,3454,1420,116,41,116
2022,1990,2021,3570,1461,112,38,112
2023,1990,2022,3682,1499,108,73,108
2024,1990,2023,3790,1572,84,16,84
