model_family,comparison,metric,mean_difference,ci_low,ci_high,positive_years,negative_years,forecast_years
logistic,daily_stress_minus_prior_trajectory,ap_lift,-0.0018285580238652857,-0.016271355508227045,0.009303689522613375,13,7,20
logistic,daily_stress_minus_prior_trajectory,recall_top_5pct,0.006765246762583621,-0.0019494526311405703,0.012057915395372484,7,2,20
logistic,daily_stress_minus_prior_trajectory,recall_top_10pct,-0.00471740975884471,-0.015023632907357106,0.006531012225252604,5,8,20
logistic,daily_stress_minus_prior_trajectory,recall_top_20pct,-0.009882238049100874,-0.022926712618864118,0.0050795185342517426,4,9,20
logistic,daily_stress_minus_prior_trajectory,recall_top_30pct,-0.0009089384783261351,-0.01436880839628997,0.0187328270880583,9,5,20
logistic,daily_stress_minus_monthly_crw,ap_lift,0.0037498101067675164,-0.00794590286476882,0.015095814277065455,12,8,20
logistic,daily_stress_minus_monthly_crw,recall_top_5pct,0.006152085755645972,-0.0009291615667074663,0.010742965231179335,6,2,20
logistic,daily_stress_minus_monthly_crw,recall_top_10pct,-0.010615147578628224,-0.025090758286492005,0.00481143848967374,6,6,20
logistic,daily_stress_minus_monthly_crw,recall_top_20pct,0.006515317484520227,-0.010282158890650366,0.023193651394127393,8,3,20
logistic,daily_stress_minus_monthly_crw,recall_top_30pct,0.004158585715896193,-0.012069654953952864,0.02364846654505504,10,5,20
logistic,monthly_and_daily_crw_minus_monthly_crw,ap_lift,-5.202439917387919e-05,-0.024788723411128186,0.018512452606086752,13,7,20
logistic,monthly_and_daily_crw_minus_monthly_crw,recall_top_5pct,0.004506054472485579,-0.003959639498432602,0.010754545227768614,5,3,20
logistic,monthly_and_daily_crw_minus_monthly_crw,recall_top_10pct,-0.009552022308721448,-0.026703368516326206,0.00913203423311646,8,9,20
logistic,monthly_and_daily_crw_minus_monthly_crw,recall_top_20pct,-0.011297377340569065,-0.02984374709341022,0.003662581787580495,5,6,20
logistic,monthly_and_daily_crw_minus_monthly_crw,recall_top_30pct,0.011171291545486026,-0.021886449270566717,0.036656931945232084,10,5,20
logistic,monthly_crw_minus_prior_trajectory,ap_lift,-0.005578368130632802,-0.022245743427361523,0.007903466333817851,11,9,20
logistic,monthly_crw_minus_prior_trajectory,recall_top_5pct,0.0006131610069376493,-0.006408589034736,0.007127995916941755,4,3,20
logistic,monthly_crw_minus_prior_trajectory,recall_top_10pct,0.005897737819783513,-0.00819313819680188,0.017443575086375084,8,6,20
logistic,monthly_crw_minus_prior_trajectory,recall_top_20pct,-0.016397555533621103,-0.03651647624200911,0.0027774797258143537,3,10,20
logistic,monthly_crw_minus_prior_trajectory,recall_top_30pct,-0.005067524194222328,-0.0287416390454084,0.01983867853145867,6,7,20
random_forest,daily_stress_minus_prior_trajectory,ap_lift,-0.012828451478626485,-0.045192629307725565,0.004151419298414219,9,11,20
random_forest,daily_stress_minus_prior_trajectory,recall_top_5pct,-0.0014757569195313013,-0.021671415465489688,0.012880626032947054,8,7,20
random_forest,daily_stress_minus_prior_trajectory,recall_top_10pct,-0.007874921955852217,-0.035059659501887816,0.0069423370975720995,7,7,20
random_forest,daily_stress_minus_prior_trajectory,recall_top_20pct,-0.0053471776979838685,-0.03855842599458682,0.024128941119649822,9,7,20
random_forest,daily_stress_minus_prior_trajectory,recall_top_30pct,-0.0053828694967066795,-0.03240015146642845,0.013857329894135151,8,7,20
random_forest,daily_stress_minus_monthly_crw,ap_lift,-0.0021429305750052807,-0.013961305234444556,0.007457984733173415,9,11,20
random_forest,daily_stress_minus_monthly_crw,recall_top_5pct,-0.0018787489392057064,-0.00881133503015934,0.004306100190696906,3,3,20
random_forest,daily_stress_minus_monthly_crw,recall_top_10pct,-0.002565473228020089,-0.017831288930024523,0.005821645951219059,6,5,20
random_forest,daily_stress_minus_monthly_crw,recall_top_20pct,-0.006765605400643121,-0.017370115177557138,0.007687685421306152,5,5,20
random_forest,daily_stress_minus_monthly_crw,recall_top_30pct,0.003918013050334737,-0.005238170860116294,0.014247999635363665,6,4,20
random_forest,monthly_and_daily_crw_minus_monthly_crw,ap_lift,-0.0009902971926890227,-0.009926556343961215,0.007166137571348828,9,11,20
random_forest,monthly_and_daily_crw_minus_monthly_crw,recall_top_5pct,-0.0022726581027882726,-0.009384637841553795,0.004754521963824291,1,4,20
random_forest,monthly_and_daily_crw_minus_monthly_crw,recall_top_10pct,0.0008699024635655063,-0.016482959793375773,0.011909001215336003,6,5,20
random_forest,monthly_and_daily_crw_minus_monthly_crw,recall_top_20pct,-0.007689652598221494,-0.018379770485755967,0.012037130367823428,4,7,20
random_forest,monthly_and_daily_crw_minus_monthly_crw,recall_top_30pct,0.006235442270612029,0.0013157894736842118,0.014509732321350917,7,1,20
random_forest,monthly_crw_minus_prior_trajectory,ap_lift,-0.010685520903621204,-0.04221650389029567,0.006703151684238263,12,8,20
random_forest,monthly_crw_minus_prior_trajectory,recall_top_5pct,0.0004029920196744051,-0.018179918748409914,0.012796095235962599,6,6,20
