model_family,feature_set,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,selected_top_5pct,recall_top_10pct,selected_top_10pct,recall_top_20pct,selected_top_20pct,recall_top_30pct,selected_top_30pct
logistic,daily_stress,2005,145,45,0.3103448275862069,0.40165194732774767,0.09130711974154077,0.06666666666666667,8,0.13333333333333333,15,0.28888888888888886,29,0.4222222222222222,44
logistic,daily_stress,2006,136,88,0.6470588235294118,0.6869185708767911,0.03985974734737929,0.07954545454545454,7,0.125,14,0.20454545454545456,28,0.2727272727272727,41
logistic,daily_stress,2007,108,20,0.18518518518518517,0.61388626743894,0.42870108225375486,0.2,6,0.35,11,0.65,22,0.75,33
logistic,daily_stress,2008,153,48,0.3137254901960784,0.6026490941356529,0.2889236039395745,0.125,8,0.2916666666666667,16,0.4583333333333333,31,0.5625,46
logistic,daily_stress,2009,152,43,0.28289473684210525,0.49568456217071255,0.2127898253286073,0.13953488372093023,8,0.2558139534883721,16,0.3953488372093023,31,0.46511627906976744,46
logistic,daily_stress,2010,151,76,0.5033112582781457,0.5855797575124442,0.08226849923429846,0.05263157894736842,8,0.15789473684210525,16,0.2631578947368421,31,0.3815789473684211,46
logistic,daily_stress,2011,150,80,0.5333333333333333,0.7084947168439772,0.17516138351064392,0.0875,8,0.1375,15,0.2625,30,0.425,45
logistic,daily_stress,2012,121,43,0.35537190082644626,0.5035231606443252,0.14815125981787897,0.06976744186046512,7,0.16279069767441862,13,0.3023255813953488,25,0.4418604651162791,37
logistic,daily_stress,2013,125,25,0.2,0.4698312619131796,0.2698312619131796,0.16,7,0.32,13,0.6,25,0.64,38
logistic,daily_stress,2014,146,92,0.6301369863013698,0.7097421320956813,0.07960514579431144,0.07608695652173914,8,0.11956521739130435,15,0.20652173913043478,30,0.33695652173913043,44
logistic,daily_stress,2015,124,45,0.3629032258064516,0.5213712362613787,0.1584680104549271,0.08888888888888889,7,0.17777777777777778,13,0.3111111111111111,25,0.4888888888888889,38
logistic,daily_stress,2016,109,55,0.5045871559633027,0.7202681507679636,0.21568099480466085,0.10909090909090909,6,0.18181818181818182,11,0.3090909090909091,22,0.4,33
logistic,daily_stress,2017,99,38,0.3838383838383838,0.6415996488779862,0.25776126503960234,0.10526315789473684,5,0.18421052631578946,10,0.3684210526315789,20,0.5789473684210527,30
logistic,daily_stress,2018,118,16,0.13559322033898305,0.2492618816573782,0.11366866131839515,0.125,6,0.125,12,0.375,24,0.4375,36
logistic,daily_stress,2019,128,98,0.765625,0.8951595790236427,0.12953457902364274,0.07142857142857142,7,0.1326530612244898,13,0.25510204081632654,26,0.37755102040816324,39
logistic,daily_stress,2020,93,29,0.3118279569892473,0.562167855766219,0.25033989877697166,0.10344827586206896,5,0.2413793103448276,10,0.41379310344827586,19,0.5862068965517241,28
logistic,daily_stress,2021,116,41,0.35344827586206895,0.4387247077977192,0.08527643193565027,0.0975609756097561,6,0.14634146341463414,12,0.24390243902439024,24,0.34146341463414637,35
logistic,daily_stress,2022,112,38,0.3392857142857143,0.5094683810820744,0.17018266679636007,0.10526315789473684,6,0.18421052631578946,12,0.34210526315789475,23,0.4473684210526316,34
logistic,daily_stress,2023,108,73,0.6759259259259259,0.8809045278108292,0.20497860188490324,0.0821917808219178,6,0.1506849315068493,11,0.273972602739726,22,0.410958904109589,33
logistic,daily_stress,2024,84,16,0.19047619047619047,0.3204943964085654,0.13001820593237495,0.125,5,0.125,9,0.25,17,0.3125,26
logistic,monthly_and_daily_crw,2005,145,45,0.3103448275862069,0.392945681499275,0.0826008539130681,0.044444444444444446,8,0.13333333333333333,15,0.28888888888888886,29,0.4,44
logistic,monthly_and_daily_crw,2006,136,88,0.6470588235294118,0.656436052510929,0.00937722898151716,0.056818181818181816,7,0.11363636363636363,14,0.1590909090909091,28,0.25,41
logistic,monthly_and_daily_crw,2007,108,20,0.18518518518518517,0.6141718225886781,0.4289866374034929,0.2,6,0.4,11,0.55,22,0.85,33
logistic,monthly_and_daily_crw,2008,153,48,0.3137254901960784,0.6117947178240305,0.29806922762795207,0.125,8,0.2916666666666667,16,0.4791666666666667,31,0.5833333333333334,46
logistic,monthly_and_daily_crw,2009,152,43,0.28289473684210525,0.508518110162092,0.22562337331998678,0.16279069767441862,8,0.27906976744186046,16,0.3953488372093023,31,0.46511627906976744,46
logistic,monthly_and_daily_crw,2010,151,76,0.5033112582781457,0.5855739400191592,0.08226268174101348,0.05263157894736842,8,0.15789473684210525,16,0.2631578947368421,31,0.39473684210526316,46
logistic,monthly_and_daily_crw,2011,150,80,0.5333333333333333,0.7147158360912058,0.1813825027578725,0.0875,8,0.15,15,0.25,30,0.3875,45
logistic,monthly_and_daily_crw,2012,121,43,0.35537190082644626,0.4973865704003885,0.1420146695739422,0.09302325581395349,7,0.16279069767441862,13,0.3023255813953488,25,0.4186046511627907,37
logistic,monthly_and_daily_crw,2013,125,25,0.2,0.4238457950484351,0.2238457950484351,0.16,7,0.32,13,0.48,25,0.6,38
logistic,monthly_and_daily_crw,2014,146,92,0.6301369863013698,0.7251105651896428,0.09497357888827296,0.07608695652173914,8,0.10869565217391304,15,0.22826086956521738,30,0.34782608695652173,44
logistic,monthly_and_daily_crw,2015,124,45,0.3629032258064516,0.5596534950685013,0.19675026926204964,0.08888888888888889,7,0.2,13,0.3333333333333333,25,0.4888888888888889,38
logistic,monthly_and_daily_crw,2016,109,55,0.5045871559633027,0.7147022087296648,0.2101150527663621,0.10909090909090909,6,0.2,11,0.32727272727272727,22,0.38181818181818183,33
logistic,monthly_and_daily_crw,2017,99,38,0.3838383838383838,0.6812222675762062,0.2973838837378224,0.10526315789473684,5,0.18421052631578946,10,0.3684210526315789,20,0.6052631578947368,30
logistic,monthly_and_daily_crw,2018,118,16,0.13559322033898305,0.23827024564872087,0.10267702530973782,0.125,6,0.125,12,0.3125,24,0.4375,36
logistic,monthly_and_daily_crw,2019,128,98,0.765625,0.8928629438063043,0.12723794380630427,0.07142857142857142,7,0.1326530612244898,13,0.2653061224489796,26,0.3877551020408163,39
logistic,monthly_and_daily_crw,2020,93,29,0.3118279569892473,0.4450057946853411,0.13317783769609381,0.06896551724137931,5,0.1724137931034483,10,0.3448275862068966,19,0.4482758620689655,28
logistic,monthly_and_daily_crw,2021,116,41,0.35344827586206895,0.44781688395756886,0.0943686080954999,0.0975609756097561,6,0.14634146341463414,12,0.24390243902439024,24,0.36585365853658536,35
logistic,monthly_and_daily_crw,2022,112,38,0.3392857142857143,0.5050665297956918,0.16578081550997747,0.10526315789473684,6,0.18421052631578946,12,0.3157894736842105,23,0.4473684210526316,34
logistic,monthly_and_daily_crw,2023,108,73,0.6759259259259259,0.8628026956467554,0.18687676972082945,0.0821917808219178,6,0.136986301369863,11,0.2602739726027397,22,0.3972602739726027,33
logistic,monthly_and_daily_crw,2024,84,16,0.19047619047619047,0.3634429900457899,0.17296679956959943,0.125,5,0.125,9,0.25,17,0.5625,26
logistic,monthly_crw,2005,145,45,0.3103448275862069,0.3872924223340707,0.07694759474786378,0.044444444444444446,8,0.13333333333333333,15,0.28888888888888886,29,0.4,44
logistic,monthly_crw,2006,136,88,0.6470588235294118,0.6480155997591627,0.0009567762297508775,0.06818181818181818,7,0.10227272727272728,14,0.17045454545454544,28,0.25,41
logistic,monthly_crw,2007,108,20,0.18518518518518517,0.5812493955419074,0.3960642103567222,0.2,6,0.35,11,0.55,22,0.7,33
logistic,monthly_crw,2008,153,48,0.3137254901960784,0.5714145134956382,0.2576890232995598,0.125,8,0.2708333333333333,16,0.4375,31,0.5208333333333334,46
logistic,monthly_crw,2009,152,43,0.28289473684210525,0.4755159162950927,0.19262117945298746,0.13953488372093023,8,0.2558139534883721,16,0.37209302325581395,31,0.46511627906976744,46
logistic,monthly_crw,2010,151,76,0.5033112582781457,0.5834678769712813,0.08015661869313562,0.06578947368421052,8,0.13157894736842105,16,0.2631578947368421,31,0.3815789473684211,46
logistic,monthly_crw,2011,150,80,0.5333333333333333,0.6546340638936308,0.12130073056029744,0.075,8,0.125,15,0.2375,30,0.3875,45
logistic,monthly_crw,2012,121,43,0.35537190082644626,0.5394389411077332,0.1840670402812869,0.09302325581395349,7,0.20930232558139536,13,0.3023255813953488,25,0.4186046511627907,37
logistic,monthly_crw,2013,125,25,0.2,0.4626827224590784,0.26268272245907837,0.12,7,0.32,13,0.56,25,0.72,38
logistic,monthly_crw,2014,146,92,0.6301369863013698,0.7224488381691092,0.09231185186773938,0.06521739130434782,8,0.11956521739130435,15,0.22826086956521738,30,0.33695652173913043,44
logistic,monthly_crw,2015,124,45,0.3629032258064516,0.5186210583341442,0.15571783252769256,0.08888888888888889,7,0.2222222222222222,13,0.37777777777777777,25,0.4444444444444444,38
logistic,monthly_crw,2016,109,55,0.5045871559633027,0.7122094634029692,0.20762230743966648,0.10909090909090909,6,0.18181818181818182,11,0.2909090909090909,22,0.41818181818181815,33
logistic,monthly_crw,2017,99,38,0.3838383838383838,0.6131698750519584,0.2293314912135746,0.10526315789473684,5,0.15789473684210525,10,0.3684210526315789,20,0.5263157894736842,30
logistic,monthly_crw,2018,118,16,0.13559322033898305,0.28576979892699017,0.15017657858800712,0.125,6,0.25,12,0.375,24,0.375,36
