source_point_id,official_sst_c,erddap_sst_c,absolute_difference_c
crw_000,8.950000000000001,8.950000000000001,0.0
crw_001,9.1,9.1,0.0
crw_002,8.86,8.86,0.0
crw_003,8.77,8.77,0.0
crw_004,9.2,9.2,0.0
crw_005,8.67,8.67,0.0
crw_006,8.540000000000001,8.540000000000001,0.0
crw_007,8.5,8.5,0.0
crw_008,9.3,9.3,0.0
crw_009,8.47,8.47,0.0
crw_010,8.39,8.39,0.0
crw_011,8.32,8.32,0.0
crw_012,8.26,8.26,0.0
crw_013,9.52,9.52,0.0
crw_014,10.41,10.41,0.0
crw_015,10.41,10.41,0.0
crw_016,10.39,10.39,0.0
crw_017,10.38,10.38,0.0
crw_018,10.6,10.6,0.0
crw_019,11.55,11.55,0.0
crw_020,11.68,11.68,0.0
crw_021,11.73,11.73,0.0
crw_022,11.73,11.73,0.0
crw_023,11.7,11.7,0.0
crw_024,11.76,11.76,0.0
crw_025,11.9,11.9,0.0
crw_026,12.2,12.2,0.0
crw_027,12.22,12.22,0.0
crw_028,12.1,12.1,0.0
crw_029,11.77,11.77,0.0
crw_030,11.71,11.71,0.0
crw_031,11.61,11.61,0.0
crw_032,11.47,11.47,0.0
crw_033,11.46,11.46,0.0
crw_034,11.32,11.32,0.0
crw_035,12.31,12.31,0.0
crw_036,12.12,12.12,0.0
crw_037,12.28,12.28,0.0
crw_038,12.19,12.19,0.0
crw_039,12.15,12.15,0.0
crw_040,12.32,12.32,0.0
crw_041,12.59,12.59,0.0
crw_042,12.6,12.6,0.0
crw_043,12.96,12.96,0.0
crw_044,13.12,13.12,0.0
crw_045,13.28,13.28,0.0
crw_046,13.35,13.35,0.0
crw_047,13.39,13.39,0.0
crw_048,13.4,13.4,0.0
crw_049,13.37,13.37,0.0
crw_050,13.29,13.29,0.0
crw_051,13.25,13.25,0.0
crw_052,13.17,13.17,0.0
crw_053,13.19,13.19,0.0
crw_054,13.1,13.1,0.0
crw_055,13.08,13.08,0.0
crw_056,13.11,13.11,0.0
crw_057,13.08,13.08,0.0
crw_058,12.85,12.85,0.0
crw_059,12.53,12.53,0.0
crw_060,12.57,12.57,0.0
crw_061,12.66,12.66,0.0
crw_062,12.64,12.64,0.0
crw_063,13.35,13.35,0.0
crw_064,13.89,13.89,0.0
crw_065,14.08,14.08,0.0
crw_066,14.09,14.09,0.0
crw_067,14.09,14.09,0.0
crw_068,14.07,14.07,0.0
crw_069,14.09,14.09,0.0
crw_070,14.12,14.12,0.0
crw_071,14.15,14.15,0.0
crw_072,14.15,14.15,0.0
crw_073,14.21,14.21,0.0
crw_074,13.75,13.75,0.0
crw_075,13.76,13.76,0.0
crw_076,13.77,13.77,0.0
crw_077,13.77,13.77,0.0
crw_078,13.89,13.89,0.0
crw_079,14.11,14.11,0.0
crw_080,14.28,14.28,0.0
crw_081,14.38,14.38,0.0
crw_082,14.37,14.37,0.0
crw_083,14.44,14.44,0.0
crw_084,14.5,14.5,0.0
crw_085,14.63,14.63,0.0
crw_086,14.69,14.69,0.0
crw_087,14.85,14.85,0.0
crw_088,13.99,13.99,0.0
crw_089,13.92,13.92,0.0
crw_090,14.1,14.1,0.0
crw_091,14.16,14.16,0.0
crw_092,14.24,14.24,0.0
crw_093,14.32,14.32,0.0
crw_094,14.94,14.94,0.0
crw_095,15.02,15.02,0.0
crw_096,14.83,14.83,0.0
crw_097,14.98,14.98,0.0
crw_098,14.93,14.93,0.0
crw_099,15.22,15.22,0.0
crw_100,14.74,14.74,0.0
crw_101,14.78,14.78,0.0
crw_102,14.16,14.16,0.0
crw_103,14.16,14.16,0.0
crw_104,14.52,14.52,0.0
crw_105,14.85,14.85,0.0
crw_106,14.63,14.63,0.0
crw_107,15.07,15.07,0.0
crw_108,14.58,14.58,0.0
crw_109,14.78,14.78,0.0
crw_110,15.01,15.01,0.0
crw_111,14.57,14.57,0.0
crw_112,14.86,14.86,0.0
crw_113,14.63,14.63,0.0
crw_114,14.8,14.8,0.0
crw_115,14.93,14.93,0.0
crw_116,14.64,14.64,0.0
crw_117,14.54,14.54,0.0
crw_118,14.56,14.56,0.0
crw_119,14.22,14.22,0.0
crw_120,14.44,14.44,0.0
crw_121,15.3,15.3,0.0
crw_122,14.97,14.97,0.0
crw_123,14.99,14.99,0.0
crw_124,15.09,15.09,0.0
crw_125,15.18,15.18,0.0
crw_126,15.31,15.31,0.0
crw_127,15.43,15.43,0.0
crw_128,15.09,15.09,0.0
crw_129,15.16,15.16,0.0
crw_130,14.99,14.99,0.0
crw_131,15.29,15.29,0.0
crw_132,15.49,15.49,0.0
crw_133,15.32,15.32,0.0
crw_134,15.41,15.41,0.0
crw_135,15.39,15.39,0.0
crw_136,15.07,15.07,0.0
crw_137,14.85,14.85,0.0
crw_138,14.83,14.83,0.0
crw_139,14.95,14.95,0.0
crw_140,14.96,14.96,0.0
crw_141,15.24,15.24,0.0
crw_142,14.93,14.93,0.0
crw_143,15.0,15.0,0.0
crw_144,14.97,14.97,0.0
crw_145,15.12,15.12,0.0
crw_146,15.33,15.33,0.0
crw_147,14.92,14.92,0.0
crw_148,15.32,15.32,0.0
crw_149,14.92,14.92,0.0
crw_150,15.52,15.52,0.0
crw_151,15.12,15.12,0.0
crw_152,15.84,15.84,0.0
crw_153,15.45,15.45,0.0
crw_154,15.37,15.37,0.0
crw_155,16.330000000000002,16.330000000000002,0.0
crw_156,16.68,16.68,0.0
crw_157,16.36,16.36,0.0
crw_158,16.42,16.42,0.0
crw_159,16.61,16.61,0.0
crw_160,16.54,16.54,0.0
crw_161,17.63,17.63,0.0
crw_162,17.82,17.82,0.0
crw_163,18.28,18.28,0.0
