outcome_definition,forecast_year,train_start,train_end,n_train,events_train,n_test,events_test,test_cells
q23_year_over_year_decline,2005,1990,2004,1396,579,145,45,145
q23_year_over_year_decline,2006,1990,2005,1541,624,136,88,136
q23_year_over_year_decline,2007,1990,2006,1677,712,108,20,108
q23_year_over_year_decline,2008,1990,2007,1785,732,153,48,153
q23_year_over_year_decline,2009,1990,2008,1938,780,152,43,152
q23_year_over_year_decline,2010,1990,2009,2090,823,151,76,151
q23_year_over_year_decline,2011,1990,2010,2241,899,150,80,150
q23_year_over_year_decline,2012,1990,2011,2391,979,121,43,121
q23_year_over_year_decline,2013,1990,2012,2512,1022,125,25,125
q23_year_over_year_decline,2014,1990,2013,2637,1047,146,92,146
q23_year_over_year_decline,2015,1990,2014,2783,1139,124,45,124
q23_year_over_year_decline,2016,1990,2015,2907,1184,109,55,109
q23_year_over_year_decline,2017,1990,2016,3016,1239,99,38,99
q23_year_over_year_decline,2018,1990,2017,3115,1277,118,16,118
q23_year_over_year_decline,2019,1990,2018,3233,1293,128,98,128
q23_year_over_year_decline,2020,1990,2019,3361,1391,93,29,93
q23_year_over_year_decline,2021,1990,2020,3454,1420,116,41,116
q23_year_over_year_decline,2022,1990,2021,3570,1461,112,38,112
q23_year_over_year_decline,2023,1990,2022,3682,1499,108,73,108
q23_year_over_year_decline,2024,1990,2023,3790,1572,84,16,84
annual_max_decline_sensitivity,2005,1990,2004,1576,641,150,44,150
annual_max_decline_sensitivity,2006,1990,2005,1726,685,143,89,143
annual_max_decline_sensitivity,2007,1990,2006,1869,774,133,19,133
annual_max_decline_sensitivity,2008,1990,2007,2002,793,158,47,158
annual_max_decline_sensitivity,2009,1990,2008,2160,840,160,40,160
annual_max_decline_sensitivity,2010,1990,2009,2320,880,159,79,159
annual_max_decline_sensitivity,2011,1990,2010,2479,959,157,77,157
annual_max_decline_sensitivity,2012,1990,2011,2636,1036,140,51,140
annual_max_decline_sensitivity,2013,1990,2012,2776,1087,144,26,144
annual_max_decline_sensitivity,2014,1990,2013,2920,1113,151,95,151
annual_max_decline_sensitivity,2015,1990,2014,3071,1208,132,52,132
annual_max_decline_sensitivity,2016,1990,2015,3203,1260,108,53,108
annual_max_decline_sensitivity,2017,1990,2016,3311,1313,108,37,108
annual_max_decline_sensitivity,2018,1990,2017,3419,1350,122,17,122
annual_max_decline_sensitivity,2019,1990,2018,3541,1367,134,104,134
annual_max_decline_sensitivity,2020,1990,2019,3675,1471,93,29,93
annual_max_decline_sensitivity,2021,1990,2020,3768,1500,117,41,117
annual_max_decline_sensitivity,2022,1990,2021,3885,1541,117,38,117
annual_max_decline_sensitivity,2023,1990,2022,4002,1579,110,74,110
annual_max_decline_sensitivity,2024,1990,2023,4112,1653,87,14,87
