outcome_definition,comparison,augmented_model,baseline_model,mean_ap_lift_difference,ci_low,ci_high,positive_years,forecast_years,mean_top20_recall_difference
annual_max_decline_sensitivity,primary_crw_increment,march_plus_current_crw5km,prior_trajectory,-0.007304761323473491,-0.02943118829224047,0.008010535229469259,11,20,-0.014700248521158633
annual_max_decline_sensitivity,march_oisst_increment,march_plus_current_winter_oisst,prior_trajectory,-0.001675674180110362,-0.01881317798124998,0.010018988325650185,10,20,-0.012421229268338357
annual_max_decline_sensitivity,december_oisst_increment,december_plus_prior_winter_oisst,prior_trajectory,0.0007217485227746679,-0.003980766761388924,0.0048740524980983935,10,20,0.0016051926511121222
annual_max_decline_sensitivity,crw_minus_oisst,march_plus_current_crw5km,march_plus_current_winter_oisst,-0.005629087143363129,-0.014230315429683065,0.003035813828795835,7,20,-0.002279019252820273
annual_max_decline_sensitivity,oisst_after_crw,march_plus_current_crw5km_oisst,march_plus_current_crw5km,0.000675302144029262,-0.008843380610545746,0.009674806770781473,11,20,0.006403274021022465
q23_year_over_year_decline,primary_crw_increment,march_plus_current_crw5km,prior_trajectory,-0.005578368130632802,-0.022245743427361523,0.007903466333817851,11,20,-0.016397555533621103
q23_year_over_year_decline,march_oisst_increment,march_plus_current_winter_oisst,prior_trajectory,-0.0012331784855610817,-0.01700903500382654,0.010696242538322454,12,20,-0.011023936874305747
q23_year_over_year_decline,december_oisst_increment,december_plus_prior_winter_oisst,prior_trajectory,0.001516148530543157,-0.003368439361084128,0.005922641528783931,11,20,-0.002251070586432341
q23_year_over_year_decline,crw_minus_oisst,march_plus_current_crw5km,march_plus_current_winter_oisst,-0.00434518964507172,-0.012959681459759094,0.0036320357427797275,8,20,-0.005373618659315353
q23_year_over_year_decline,oisst_after_crw,march_plus_current_crw5km_oisst,march_plus_current_crw5km,0.0022225663415277068,-0.009697754229499924,0.013598015148767354,11,20,0.00793353253280617
