model_family,feature_set,forecast_year,n,events,average_precision,prevalence,ap_lift
logistic,prior_trajectory,2005,145,45,0.36442207312747293,0.3103448275862069,0.05407724554126603
logistic,march_current_oisst,2005,145,45,0.40075824163780427,0.3103448275862069,0.09041341405159736
logistic,march_current_crw5km,2005,145,45,0.3872924223340707,0.3103448275862069,0.07694759474786378
logistic,prior_trajectory,2006,136,88,0.7703465461140595,0.6470588235294118,0.12328772258464771
logistic,march_current_oisst,2006,136,88,0.683354120113782,0.6470588235294118,0.03629529658437025
logistic,march_current_crw5km,2006,136,88,0.6480155997591627,0.6470588235294118,0.0009567762297508775
logistic,prior_trajectory,2007,108,20,0.595011803879841,0.18518518518518517,0.4098266186946558
logistic,march_current_oisst,2007,108,20,0.5634877083325851,0.18518518518518517,0.3783025231473999
logistic,march_current_crw5km,2007,108,20,0.5812493955419074,0.18518518518518517,0.3960642103567222
logistic,prior_trajectory,2008,153,48,0.5981211053689754,0.3137254901960784,0.284395615172897
logistic,march_current_oisst,2008,153,48,0.5985924667495214,0.3137254901960784,0.28486697655344295
logistic,march_current_crw5km,2008,153,48,0.5714145134956382,0.3137254901960784,0.2576890232995598
logistic,prior_trajectory,2009,152,43,0.48247969173708505,0.28289473684210525,0.1995849548949798
logistic,march_current_oisst,2009,152,43,0.4406976126045188,0.28289473684210525,0.15780287576241353
logistic,march_current_crw5km,2009,152,43,0.4755159162950927,0.28289473684210525,0.19262117945298746
logistic,prior_trajectory,2010,151,76,0.5817708931565726,0.5033112582781457,0.07845963487842689
logistic,march_current_oisst,2010,151,76,0.605524986778576,0.5033112582781457,0.10221372850043031
logistic,march_current_crw5km,2010,151,76,0.5834678769712813,0.5033112582781457,0.08015661869313562
logistic,prior_trajectory,2011,150,80,0.7032425528925874,0.5333333333333333,0.1699092195592541
logistic,march_current_oisst,2011,150,80,0.6727357785433729,0.5333333333333333,0.13940244521003953
logistic,march_current_crw5km,2011,150,80,0.6546340638936308,0.5333333333333333,0.12130073056029744
logistic,prior_trajectory,2012,121,43,0.48643688902209603,0.35537190082644626,0.13106498819564977
logistic,march_current_oisst,2012,121,43,0.5298432765062144,0.35537190082644626,0.17447137567976817
logistic,march_current_crw5km,2012,121,43,0.5394389411077332,0.35537190082644626,0.1840670402812869
logistic,prior_trajectory,2013,125,25,0.4399589253862441,0.2,0.23995892538624408
logistic,march_current_oisst,2013,125,25,0.45067495788239914,0.2,0.25067495788239913
logistic,march_current_crw5km,2013,125,25,0.4626827224590784,0.2,0.26268272245907837
logistic,prior_trajectory,2014,146,92,0.758472328333077,0.6301369863013698,0.12833534203170716
logistic,march_current_oisst,2014,146,92,0.7335288424405275,0.6301369863013698,0.10339185613915769
logistic,march_current_crw5km,2014,146,92,0.7224488381691092,0.6301369863013698,0.09231185186773938
logistic,prior_trajectory,2015,124,45,0.4679978229528784,0.3629032258064516,0.10509459714642677
logistic,march_current_oisst,2015,124,45,0.5101199761356329,0.3629032258064516,0.14721675032918125
logistic,march_current_crw5km,2015,124,45,0.5186210583341442,0.3629032258064516,0.15571783252769256
logistic,prior_trajectory,2016,109,55,0.7006933256921885,0.5045871559633027,0.19610616972888573
logistic,march_current_oisst,2016,109,55,0.719097579991406,0.5045871559633027,0.21451042402810327
logistic,march_current_crw5km,2016,109,55,0.7122094634029692,0.5045871559633027,0.20762230743966648
logistic,prior_trajectory,2017,99,38,0.6450981208521496,0.3838383838383838,0.26125973701376576
logistic,march_current_oisst,2017,99,38,0.6240592468401801,0.3838383838383838,0.2402208630017963
logistic,march_current_crw5km,2017,99,38,0.6131698750519584,0.3838383838383838,0.2293314912135746
logistic,prior_trajectory,2018,118,16,0.28348739388899935,0.13559322033898305,0.1478941735500163
logistic,march_current_oisst,2018,118,16,0.24990218497450617,0.13559322033898305,0.11430896463552312
logistic,march_current_crw5km,2018,118,16,0.28576979892699017,0.13559322033898305,0.15017657858800712
logistic,prior_trajectory,2019,128,98,0.8815886259574542,0.765625,0.11596362595745424
logistic,march_current_oisst,2019,128,98,0.8885361650319321,0.765625,0.12291116503193211
logistic,march_current_crw5km,2019,128,98,0.8935591703986845,0.765625,0.1279341703986845
logistic,prior_trajectory,2020,93,29,0.6389131197536595,0.3118279569892473,0.3270851627644122
logistic,march_current_oisst,2020,93,29,0.6100600100790867,0.3118279569892473,0.2982320530898394
logistic,march_current_crw5km,2020,93,29,0.6052685987137674,0.3118279569892473,0.29344064172452006
logistic,prior_trajectory,2021,116,41,0.45210916055058553,0.35344827586206895,0.09866088468851658
logistic,march_current_oisst,2021,116,41,0.4969798007522751,0.35344827586206895,0.14353152489020615
logistic,march_current_crw5km,2021,116,41,0.44634610839316247,0.35344827586206895,0.09289783253109352
logistic,prior_trajectory,2022,112,38,0.5292373333271351,0.3392857142857143,0.18995161904142077
logistic,march_current_oisst,2022,112,38,0.5489828133930156,0.3392857142857143,0.20969709910730128
logistic,march_current_crw5km,2022,112,38,0.5320875247368972,0.3392857142857143,0.19280181045118294
logistic,prior_trajectory,2023,108,73,0.8778566256584801,0.6759259259259259,0.20193069973255418
logistic,march_current_oisst,2023,108,73,0.8791156284259962,0.6759259259259259,0.2031897025000703
logistic,march_current_crw5km,2023,108,73,0.8869592749698649,0.6759259259259259,0.211033349043939
logistic,prior_trajectory,2024,84,16,0.29670865923897277,0.19047619047619047,0.1062324687627823
logistic,march_current_oisst,2024,84,16,0.32323802996595996,0.19047619047619047,0.1327618394897695
logistic,march_current_crw5km,2024,84,16,0.32223447132271504,0.19047619047619047,0.13175828084652458
random_forest,prior_trajectory,2005,145,45,0.3618988435370438,0.3103448275862069,0.05155401595083692
random_forest,march_current_oisst,2005,145,45,0.4037184204384337,0.3103448275862069,0.0933735928522268
random_forest,march_current_crw5km,2005,145,45,0.4008935782331245,0.3103448275862069,0.09054875064691759
random_forest,prior_trajectory,2006,136,88,0.7441106506631257,0.6470588235294118,0.09705182713371385
random_forest,march_current_oisst,2006,136,88,0.7160284336555007,0.6470588235294118,0.06896961012608893
random_forest,march_current_crw5km,2006,136,88,0.6768320306006333,0.6470588235294118,0.029773207071221552
random_forest,prior_trajectory,2007,108,20,0.5403710161754102,0.18518518518518517,0.355185830990225
random_forest,march_current_oisst,2007,108,20,0.562661669292767,0.18518518518518517,0.3774764841075818
random_forest,march_current_crw5km,2007,108,20,0.5717309439612723,0.18518518518518517,0.38654575877608716
random_forest,prior_trajectory,2008,153,48,0.6180759984733547,0.3137254901960784,0.3043505082772763
random_forest,march_current_oisst,2008,153,48,0.5642541688070954,0.3137254901960784,0.250528678611017
random_forest,march_current_crw5km,2008,153,48,0.5482866261437596,0.3137254901960784,0.23456113594768113
random_forest,prior_trajectory,2009,152,43,0.46007917936895054,0.28289473684210525,0.1771844425268453
random_forest,march_current_oisst,2009,152,43,0.47346616976858213,0.28289473684210525,0.19057143292647688
random_forest,march_current_crw5km,2009,152,43,0.4982827345456496,0.28289473684210525,0.21538799770354433
random_forest,prior_trajectory,2010,151,76,0.6548734204676282,0.5033112582781457,0.15156216218948249
random_forest,march_current_oisst,2010,151,76,0.6749054835015883,0.5033112582781457,0.1715942252234426
random_forest,march_current_crw5km,2010,151,76,0.6578845220353957,0.5033112582781457,0.15457326375725
random_forest,prior_trajectory,2011,150,80,0.6680144090897812,0.5333333333333333,0.13468107575644783
random_forest,march_current_oisst,2011,150,80,0.6698022044211696,0.5333333333333333,0.13646887108783623
random_forest,march_current_crw5km,2011,150,80,0.6793781770075509,0.5333333333333333,0.14604484367421755
random_forest,prior_trajectory,2012,121,43,0.49299087836829214,0.35537190082644626,0.13761897754184588
random_forest,march_current_oisst,2012,121,43,0.51117997670852,0.35537190082644626,0.15580807588207374
