outcome_definition,model,forecast_years,mean_ap,macro_within_year_ap_lift,mean_recall_top_5pct,mean_recall_top_10pct,mean_recall_top_20pct,mean_recall_top_30pct
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,20,0.5834148910501004,0.1968777490908526,0.1041837241780754,0.21017940306608823,0.3742911090342427,0.47853871980828255
annual_max_decline_sensitivity,march_plus_current_crw5km,20,0.5753883812038522,0.18885123924460445,0.10180151121566967,0.20237979131792372,0.3579856678619719,0.46900803631700716
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,20,0.5760636833478815,0.18952654138863373,0.1041534275919763,0.1944293675207318,0.36438894188299437,0.47681330477076395
annual_max_decline_sensitivity,march_plus_current_winter_oisst,20,0.5810174683472153,0.19448032638796758,0.10177404887419703,0.20429489130376707,0.3602646871147922,0.4832394678057321
annual_max_decline_sensitivity,prior_current,20,0.5651686676161473,0.17863152565689946,0.09636231087481988,0.20060515949275465,0.35842134209042165,0.46116087487164625
annual_max_decline_sensitivity,prior_trajectory,20,0.5826931425273257,0.19615600056807794,0.10468265050419537,0.20870705130059855,0.37268591638313053,0.47957611128206923
q23_year_over_year_decline,december_plus_prior_winter_oisst,20,0.5792137983750688,0.1799701187968413,0.09477986781169019,0.19585015682884588,0.3463371800256594,0.46076642420638186
q23_year_over_year_decline,march_plus_current_crw5km,20,0.5721192817138929,0.17287560213566536,0.09734134923206453,0.1957471667843552,0.33219069507847065,0.4498087453995683
q23_year_over_year_decline,march_plus_current_crw5km_oisst,20,0.5743418480554207,0.17509816847719306,0.09929787097119497,0.18439729760577345,0.3401242276112768,0.45579881972442776
q23_year_over_year_decline,march_plus_current_winter_oisst,20,0.5764644713589646,0.17722079178073707,0.09721874157656214,0.18986564385900345,0.337564313737786,0.4544832322526447
q23_year_over_year_decline,prior_current,20,0.5610403129675902,0.16179663338936265,0.08937549634050174,0.18987209154505047,0.3382511738362792,0.43896406525850395
q23_year_over_year_decline,prior_trajectory,20,0.5776976498445257,0.17845397026629817,0.09672818822512688,0.1898494289645717,0.34858825061209175,0.45487626959379057
