outcome_definition,model,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,recall_top_10pct,recall_top_20pct,recall_top_30pct
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2005,150,44,0.29333333333333333,0.37114040172824847,0.07780706839491514,0.045454545454545456,0.18181818181818182,0.36363636363636365,0.4318181818181818
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2006,143,89,0.6223776223776224,0.7832040605703356,0.16082643819271325,0.0898876404494382,0.15730337078651685,0.2696629213483146,0.39325842696629215
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2007,133,19,0.14285714285714285,0.5735164148172204,0.4306592719600775,0.2631578947368421,0.47368421052631576,0.6842105263157895,0.7368421052631579
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2008,158,47,0.2974683544303797,0.5778751569425871,0.28040680251220734,0.10638297872340426,0.2765957446808511,0.46808510638297873,0.5957446808510638
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2009,160,40,0.25,0.5216473335840702,0.2716473335840702,0.15,0.3,0.475,0.525
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2010,159,79,0.4968553459119497,0.5574837133407944,0.0606283674288447,0.05063291139240506,0.10126582278481013,0.22784810126582278,0.35443037974683544
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2011,157,77,0.49044585987261147,0.664948424385646,0.17450256451303459,0.09090909090909091,0.15584415584415584,0.2727272727272727,0.42857142857142855
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2012,140,51,0.36428571428571427,0.5304548229231487,0.16616910863743445,0.0784313725490196,0.1568627450980392,0.3137254901960784,0.45098039215686275
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2013,144,26,0.18055555555555555,0.4454240656704494,0.2648685101148939,0.15384615384615385,0.3076923076923077,0.5769230769230769,0.6153846153846154
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2014,151,95,0.6291390728476821,0.7096583807356154,0.08051930788793327,0.05263157894736842,0.12631578947368421,0.22105263157894736,0.3368421052631579
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2015,132,52,0.3939393939393939,0.5176542100927332,0.12371481615333924,0.057692307692307696,0.19230769230769232,0.36538461538461536,0.4230769230769231
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2016,108,53,0.49074074074074076,0.7130151564576674,0.2222744157169267,0.11320754716981132,0.20754716981132076,0.32075471698113206,0.41509433962264153
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2017,108,37,0.3425925925925926,0.6525870049413285,0.30999441234873587,0.10810810810810811,0.21621621621621623,0.43243243243243246,0.5945945945945946
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2018,122,17,0.13934426229508196,0.27124118594941404,0.1318969236543321,0.11764705882352941,0.23529411764705882,0.35294117647058826,0.47058823529411764
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2019,134,104,0.7761194029850746,0.9020208825569497,0.12590147957187503,0.0673076923076923,0.1346153846153846,0.25961538461538464,0.375
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2020,93,29,0.3118279569892473,0.6185062640441363,0.306678307054889,0.13793103448275862,0.27586206896551724,0.4827586206896552,0.6206896551724138
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2021,117,41,0.3504273504273504,0.4789030274320708,0.1284756770047204,0.0975609756097561,0.17073170731707318,0.2926829268292683,0.36585365853658536
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2022,117,38,0.3247863247863248,0.5299870545452382,0.2052007297589134,0.07894736842105263,0.18421052631578946,0.42105263157894735,0.47368421052631576
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2023,110,74,0.6727272727272727,0.8696887053332467,0.19696143260597399,0.08108108108108109,0.13513513513513514,0.25675675675675674,0.3918918918918919
annual_max_decline_sensitivity,december_plus_prior_winter_oisst,2024,87,14,0.16091954022988506,0.3793415549511071,0.21842201472122205,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.5714285714285714
annual_max_decline_sensitivity,march_plus_current_crw5km,2005,150,44,0.29333333333333333,0.3977527837732415,0.10441945043990819,0.045454545454545456,0.1590909090909091,0.3409090909090909,0.4090909090909091
annual_max_decline_sensitivity,march_plus_current_crw5km,2006,143,89,0.6223776223776224,0.6382224044385367,0.01584478206091433,0.07865168539325842,0.12359550561797752,0.16853932584269662,0.24719101123595505
annual_max_decline_sensitivity,march_plus_current_crw5km,2007,133,19,0.14285714285714285,0.49646077147248585,0.353603628615343,0.21052631578947367,0.3157894736842105,0.631578947368421,0.6842105263157895
annual_max_decline_sensitivity,march_plus_current_crw5km,2008,158,47,0.2974683544303797,0.5474352399104061,0.24996688548002638,0.10638297872340426,0.2553191489361702,0.44680851063829785,0.5319148936170213
annual_max_decline_sensitivity,march_plus_current_crw5km,2009,160,40,0.25,0.5146419064300645,0.26464190643006447,0.15,0.3,0.425,0.55
annual_max_decline_sensitivity,march_plus_current_crw5km,2010,159,79,0.4968553459119497,0.5660478541649204,0.06919250825297074,0.05063291139240506,0.11392405063291139,0.24050632911392406,0.34177215189873417
annual_max_decline_sensitivity,march_plus_current_crw5km,2011,157,77,0.49044585987261147,0.6481333511237162,0.1576874912511047,0.09090909090909091,0.14285714285714285,0.2727272727272727,0.4155844155844156
annual_max_decline_sensitivity,march_plus_current_crw5km,2012,140,51,0.36428571428571427,0.5907791463072767,0.2264934320215624,0.0784313725490196,0.19607843137254902,0.37254901960784315,0.49019607843137253
annual_max_decline_sensitivity,march_plus_current_crw5km,2013,144,26,0.18055555555555555,0.46094172781737924,0.2803861722618237,0.11538461538461539,0.34615384615384615,0.5384615384615384,0.6923076923076923
annual_max_decline_sensitivity,march_plus_current_crw5km,2014,151,95,0.6291390728476821,0.6876718992158435,0.05853282636816137,0.05263157894736842,0.11578947368421053,0.23157894736842105,0.3368421052631579
annual_max_decline_sensitivity,march_plus_current_crw5km,2015,132,52,0.3939393939393939,0.5750278889834103,0.18108849504401636,0.09615384615384616,0.21153846153846154,0.36538461538461536,0.4423076923076923
annual_max_decline_sensitivity,march_plus_current_crw5km,2016,108,53,0.49074074074074076,0.7250968387726284,0.23435609803188767,0.11320754716981132,0.20754716981132076,0.33962264150943394,0.4528301886792453
annual_max_decline_sensitivity,march_plus_current_crw5km,2017,108,37,0.3425925925925926,0.6341185822654056,0.291525989672813,0.10810810810810811,0.21621621621621623,0.40540540540540543,0.5945945945945946
annual_max_decline_sensitivity,march_plus_current_crw5km,2018,122,17,0.13934426229508196,0.2789687643343331,0.13962450203925114,0.11764705882352941,0.17647058823529413,0.35294117647058826,0.35294117647058826
annual_max_decline_sensitivity,march_plus_current_crw5km,2019,134,104,0.7761194029850746,0.9063902493105076,0.13027084632543295,0.0673076923076923,0.1346153846153846,0.25,0.375
annual_max_decline_sensitivity,march_plus_current_crw5km,2020,93,29,0.3118279569892473,0.6023049463488591,0.2904769893596118,0.10344827586206896,0.2413793103448276,0.5172413793103449,0.6206896551724138
annual_max_decline_sensitivity,march_plus_current_crw5km,2021,117,41,0.3504273504273504,0.45538849582396324,0.10496114539661283,0.12195121951219512,0.14634146341463414,0.21951219512195122,0.36585365853658536
annual_max_decline_sensitivity,march_plus_current_crw5km,2022,117,38,0.3247863247863248,0.5163917028956105,0.19160537810928574,0.10526315789473684,0.21052631578947367,0.34210526315789475,0.5
annual_max_decline_sensitivity,march_plus_current_crw5km,2023,110,74,0.6727272727272727,0.8833640054168562,0.2106367326895835,0.08108108108108109,0.14864864864864866,0.2702702702702703,0.40540540540540543
annual_max_decline_sensitivity,march_plus_current_crw5km,2024,87,14,0.16091954022988506,0.3826290652715997,0.22170952504171462,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2005,150,44,0.29333333333333333,0.4010690578139455,0.10773572448061214,0.045454545454545456,0.1590909090909091,0.3409090909090909,0.4318181818181818
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2006,143,89,0.6223776223776224,0.6351579157825369,0.012780293404914489,0.07865168539325842,0.12359550561797752,0.16853932584269662,0.24719101123595505
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2007,133,19,0.14285714285714285,0.4879538245677402,0.3450966817105974,0.21052631578947367,0.3157894736842105,0.631578947368421,0.7368421052631579
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2008,158,47,0.2974683544303797,0.555118356152239,0.2576500017218593,0.10638297872340426,0.2553191489361702,0.46808510638297873,0.5319148936170213
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2009,160,40,0.25,0.4917486326274584,0.24174863262745838,0.15,0.275,0.4,0.5
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2010,159,79,0.4968553459119497,0.5750362489065746,0.07818090299462488,0.05063291139240506,0.11392405063291139,0.24050632911392406,0.3670886075949367
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2011,157,77,0.49044585987261147,0.659920039971448,0.16947418009883652,0.09090909090909091,0.12987012987012986,0.2727272727272727,0.42857142857142855
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2012,140,51,0.36428571428571427,0.5755045771654068,0.21121886287969255,0.0784313725490196,0.17647058823529413,0.3137254901960784,0.5294117647058824
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2013,144,26,0.18055555555555555,0.4549150731754622,0.2743595176199066,0.11538461538461539,0.34615384615384615,0.5769230769230769,0.6153846153846154
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2014,151,95,0.6291390728476821,0.6956821034012535,0.06654303055357136,0.05263157894736842,0.11578947368421053,0.22105263157894736,0.3473684210526316
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2015,132,52,0.3939393939393939,0.5515672418286086,0.1576278478892147,0.09615384615384616,0.19230769230769232,0.36538461538461536,0.4423076923076923
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2016,108,53,0.49074074074074076,0.7268137870212499,0.23607304628050912,0.11320754716981132,0.20754716981132076,0.32075471698113206,0.4339622641509434
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2017,108,37,0.3425925925925926,0.6126281523993039,0.2700355598067113,0.10810810810810811,0.1891891891891892,0.40540540540540543,0.5675675675675675
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2018,122,17,0.13934426229508196,0.23976152184657512,0.10041725955149317,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.4117647058823529
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2019,134,104,0.7761194029850746,0.9077609802347063,0.13164157724963166,0.0673076923076923,0.1346153846153846,0.25,0.375
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2020,93,29,0.3118279569892473,0.6172688594185974,0.3054409024293501,0.10344827586206896,0.2413793103448276,0.4827586206896552,0.6206896551724138
