outcome,axis,primary_estimate_per_sd,primary_ci_low,primary_ci_high,primary_q_value,same_direction_model_count,strict_5km_estimate_per_sd,strict_same_direction,stable_condition_supported
trajectory_rank_quality_pp,grazing_log1p,1.1279941655371606,-2.4063785477696253,4.6623668788439465,0.7836970355556342,2,1.1402048321917195,True,False
trajectory_rank_quality_pp,rock_probability,-0.4939964009105936,-4.245320421487955,3.2573276196667678,0.7836970355556342,1,-0.4392730321867776,True,False
trajectory_rank_quality_pp,depth_m,-0.4466685232154095,-3.768097677896867,2.874760631466048,0.7836970355556342,2,-1.1126828989571846,True,False
trajectory_rank_quality_pp,kelp_species_contrast,-0.9117814979368363,-5.736630202621329,3.913067206747657,0.7836970355556342,3,-1.0895920210113612,True,False
trajectory_false_negative,grazing_log1p,0.01084991423649835,-0.07739962737391254,0.09909945584690924,0.7968452153036498,1,-0.014907115935529883,False,False
trajectory_false_negative,rock_probability,0.04557593983732666,-0.013014577886387518,0.10416645756104084,0.2639948583064529,3,0.0633942937996331,True,False
trajectory_false_negative,depth_m,0.054193468687084655,-0.01935312812787953,0.12774006550204883,0.2639948583064529,3,0.08784554562846256,True,False
trajectory_false_negative,kelp_species_contrast,0.08387114371370084,-0.04884922144810057,0.21659150887550227,0.2639948583064529,3,0.06326626944677441,True,False
trajectory_false_positive,grazing_log1p,-0.0032103982997208486,-0.045928009984420815,0.03950721338497912,0.8754110957989143,3,-0.0012703339675389962,True,False
trajectory_false_positive,rock_probability,0.016597506051524043,-0.03005177834891556,0.06324679045196364,0.7688440761550622,2,0.01532022881016639,True,False
trajectory_false_positive,depth_m,-0.013161328514255555,-0.06211503375404536,0.03579237672553425,0.7688440761550622,3,-0.01139482075792874,True,False
trajectory_false_positive,kelp_species_contrast,0.025195612361559018,-0.008419921206683091,0.05881114592980113,0.5265662663326408,2,0.022836784508030686,True,False
oisst_signed_rank_gain_pp,grazing_log1p,0.25950002627498153,-1.5060531883485657,2.025053240898529,0.7593810763869794,1,-0.16900005397180806,False,False
oisst_signed_rank_gain_pp,rock_probability,0.4515924010411372,-0.5739299041655459,1.4771147062478203,0.7288651887623762,2,0.5004413805934896,True,False
oisst_signed_rank_gain_pp,depth_m,-0.8360235570025621,-2.724689086437185,1.052641972432061,0.7288651887623762,3,-0.42955800776612973,True,False
oisst_signed_rank_gain_pp,kelp_species_contrast,0.4123516098458868,-1.8490299908224137,2.6737332105141873,0.7593810763869794,1,-0.3114395681303078,False,False
oisst_brier_gain,grazing_log1p,0.004962131383907871,-0.006815942021056698,0.01674020478887244,0.7700578082855315,1,0.004816294885299521,True,False
oisst_brier_gain,rock_probability,-0.001689087021015303,-0.013943047188448748,0.010564873146418142,0.8932298699046558,3,-0.0030734591205115636,True,False
oisst_brier_gain,depth_m,-0.004558067373125828,-0.01370231637871214,0.004586181632460485,0.7700578082855315,3,-0.002589778934220217,True,False
oisst_brier_gain,kelp_species_contrast,-0.0009055912881293501,-0.014983226290804355,0.013172043714545657,0.8932298699046558,3,-0.005769348544869386,True,False
