metric,value
raw_field_rows,9728.0
raw_field_columns,144.0
raw_unique_sites,191.0
raw_year_start,1999.0
raw_year_end,2021.0
raw_exact_duplicate_rows,3.0
raw_coordinate_missing_rate,0.026624177631578948
unique_site_years,1745.0
primary_matched_site_years,1624.0
strict_matched_site_years,1308.0
primary_analysis_cell_years,424.0
primary_analysis_cells,52.0
primary_analysis_events,151.0
median_sites_per_cell_year,2.0
median_transects_per_cell_year,12.0
primary_grazing_log1p_missing_rate,0.0
primary_rock_probability_missing_rate,0.0
primary_depth_m_missing_rate,0.0
primary_kelp_species_contrast_missing_rate,0.0
