scope,model_family,comparison,left_feature_set,right_feature_set,paired_years,estimate,ci_low,ci_high
full_165_domain,logistic,trajectory_minus_current,current_plus_trajectory,current_only,17,0.016632396552544434,-0.0032097335126947783,0.037338653599129364
full_165_domain,logistic,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,17,-0.019277972570727803,-0.05713116066556102,0.011125929616493526
full_165_domain,random_forest,trajectory_minus_current,current_plus_trajectory,current_only,17,0.023673114459909023,0.007571545934711407,0.04084302281441358
full_165_domain,random_forest,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,17,0.008473801530166181,-0.020034791754138526,0.035001392619387256
full_165_domain,xgboost,trajectory_minus_current,current_plus_trajectory,current_only,17,0.006354270392632196,-0.0087309191495623,0.02014459455116434
full_165_domain,xgboost,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,17,0.007320494319631941,-0.029562615090658714,0.04236684141975425
giraldo_matched,logistic,trajectory_minus_current,current_plus_trajectory,current_only,16,0.03364294695649111,-0.034066294482668735,0.10140070150411995
giraldo_matched,logistic,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,16,0.011525853310104937,-0.014027534854464195,0.04255613774991781
giraldo_matched,random_forest,trajectory_minus_current,current_plus_trajectory,current_only,16,0.069114961363332,-0.019972991740210482,0.15509642883997082
giraldo_matched,random_forest,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,16,-0.010377499742761517,-0.04787741110160353,0.023615048149539148
giraldo_matched,xgboost,trajectory_minus_current,current_plus_trajectory,current_only,16,0.0509994137211001,-0.023311876191636688,0.12565052366821092
giraldo_matched,xgboost,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,16,0.01716800503887976,-0.02551910335113648,0.05950599059770434
