scope,model_family,feature_set,year,n,events,prevalence,ap_lift
full_165_domain,logistic,current_only,2005,144,89,0.6180555555555556,0.15521569058319284
full_165_domain,logistic,current_only,2006,133,19,0.14285714285714285,0.31130683209432347
full_165_domain,logistic,current_only,2007,158,47,0.2974683544303797,0.24371387245212667
full_165_domain,logistic,current_only,2008,160,40,0.25,0.2585627134872788
full_165_domain,logistic,current_only,2009,160,79,0.49375,0.11150714935878014
full_165_domain,logistic,current_only,2010,158,77,0.4873417721518987,0.16957187522316292
full_165_domain,logistic,current_only,2011,141,51,0.3617021276595745,0.19401698059875033
full_165_domain,logistic,current_only,2012,144,26,0.18055555555555555,0.3024105234406128
full_165_domain,logistic,current_only,2013,159,97,0.610062893081761,0.11934270897818866
full_165_domain,logistic,current_only,2014,144,53,0.3680555555555556,0.1688887273039421
full_165_domain,logistic,current_only,2015,120,59,0.49166666666666664,0.2538266533738743
full_165_domain,logistic,current_only,2016,111,37,0.3333333333333333,0.2947536044711158
full_165_domain,logistic,current_only,2017,122,17,0.13934426229508196,0.07682163449763293
full_165_domain,logistic,current_only,2018,134,104,0.7761194029850746,0.09713672016045882
full_165_domain,logistic,current_only,2019,93,29,0.3118279569892473,0.26958437162363796
full_165_domain,logistic,current_only,2020,117,41,0.3504273504273504,0.06390490627045609
full_165_domain,logistic,current_only,2021,117,38,0.3247863247863248,0.15505378161426336
full_165_domain,logistic,current_plus_trajectory,2005,144,89,0.6180555555555556,0.16592975935629795
full_165_domain,logistic,current_plus_trajectory,2006,133,19,0.14285714285714285,0.4394046801965062
full_165_domain,logistic,current_plus_trajectory,2007,158,47,0.2974683544303797,0.2861823621617032
full_165_domain,logistic,current_plus_trajectory,2008,160,40,0.25,0.27970187339846286
full_165_domain,logistic,current_plus_trajectory,2009,160,79,0.49375,0.06557024067684714
full_165_domain,logistic,current_plus_trajectory,2010,158,77,0.4873417721518987,0.1824214784515738
full_165_domain,logistic,current_plus_trajectory,2011,141,51,0.3617021276595745,0.15585120657787915
full_165_domain,logistic,current_plus_trajectory,2012,144,26,0.18055555555555555,0.27626702896391075
full_165_domain,logistic,current_plus_trajectory,2013,159,97,0.610062893081761,0.10170746419300347
full_165_domain,logistic,current_plus_trajectory,2014,144,53,0.3680555555555556,0.1390102877446472
full_165_domain,logistic,current_plus_trajectory,2015,120,59,0.49166666666666664,0.22870909066397177
full_165_domain,logistic,current_plus_trajectory,2016,111,37,0.3333333333333333,0.31944616072725024
full_165_domain,logistic,current_plus_trajectory,2017,122,17,0.13934426229508196,0.13010584725689678
full_165_domain,logistic,current_plus_trajectory,2018,134,104,0.7761194029850746,0.12249854613799416
full_165_domain,logistic,current_plus_trajectory,2019,93,29,0.3118279569892473,0.32675217117946936
full_165_domain,logistic,current_plus_trajectory,2020,117,41,0.3504273504273504,0.11495650277143404
full_165_domain,logistic,current_plus_trajectory,2021,117,38,0.3247863247863248,0.1938547864672054
full_165_domain,logistic,trajectory_plus_oisst,2005,144,89,0.6180555555555556,0.1817090091180089
full_165_domain,logistic,trajectory_plus_oisst,2006,133,19,0.14285714285714285,0.19518145057768416
full_165_domain,logistic,trajectory_plus_oisst,2007,158,47,0.2974683544303797,0.23534251957683466
full_165_domain,logistic,trajectory_plus_oisst,2008,160,40,0.25,0.2242219334621573
full_165_domain,logistic,trajectory_plus_oisst,2009,160,79,0.49375,0.03101659468024709
full_165_domain,logistic,trajectory_plus_oisst,2010,158,77,0.4873417721518987,0.1186965172830689
full_165_domain,logistic,trajectory_plus_oisst,2011,141,51,0.3617021276595745,0.23083627409487412
full_165_domain,logistic,trajectory_plus_oisst,2012,144,26,0.18055555555555555,0.28212784775222266
full_165_domain,logistic,trajectory_plus_oisst,2013,159,97,0.610062893081761,0.04329173325779245
full_165_domain,logistic,trajectory_plus_oisst,2014,144,53,0.3680555555555556,0.12670834965668576
full_165_domain,logistic,trajectory_plus_oisst,2015,120,59,0.49166666666666664,0.2890490349444624
full_165_domain,logistic,trajectory_plus_oisst,2016,111,37,0.3333333333333333,0.2496493486838623
full_165_domain,logistic,trajectory_plus_oisst,2017,122,17,0.13934426229508196,0.13780884061472853
full_165_domain,logistic,trajectory_plus_oisst,2018,134,104,0.7761194029850746,0.15436525655885447
full_165_domain,logistic,trajectory_plus_oisst,2019,93,29,0.3118279569892473,0.2905332856337905
full_165_domain,logistic,trajectory_plus_oisst,2020,117,41,0.3504273504273504,0.1653110252976605
full_165_domain,logistic,trajectory_plus_oisst,2021,117,38,0.3247863247863248,0.24479493202974606
full_165_domain,random_forest,current_only,2005,144,89,0.6180555555555556,0.11697560645519167
full_165_domain,random_forest,current_only,2006,133,19,0.14285714285714285,0.2817692968690058
full_165_domain,random_forest,current_only,2007,158,47,0.2974683544303797,0.18577509504425016
full_165_domain,random_forest,current_only,2008,160,40,0.25,0.19590018469910864
full_165_domain,random_forest,current_only,2009,160,79,0.49375,0.10291567989561501
full_165_domain,random_forest,current_only,2010,158,77,0.4873417721518987,0.13913724758394513
full_165_domain,random_forest,current_only,2011,141,51,0.3617021276595745,0.20179788558097128
full_165_domain,random_forest,current_only,2012,144,26,0.18055555555555555,0.2715150988033821
full_165_domain,random_forest,current_only,2013,159,97,0.610062893081761,0.13929013610707963
full_165_domain,random_forest,current_only,2014,144,53,0.3680555555555556,0.1847328736312187
full_165_domain,random_forest,current_only,2015,120,59,0.49166666666666664,0.21020692017485537
full_165_domain,random_forest,current_only,2016,111,37,0.3333333333333333,0.2417433355840541
full_165_domain,random_forest,current_only,2017,122,17,0.13934426229508196,0.10581022591024841
full_165_domain,random_forest,current_only,2018,134,104,0.7761194029850746,0.10332466294941378
full_165_domain,random_forest,current_only,2019,93,29,0.3118279569892473,0.27809569994857025
full_165_domain,random_forest,current_only,2020,117,41,0.3504273504273504,0.05469040324487168
