cell_id,region_group,observed_years,event_opportunities,trajectory_false_negatives,trajectory_false_positives,mean_grazing_log1p,mean_rock_probability,mean_depth_m,mean_kelp_species_contrast,center_lat,center_lon,non_event_opportunities,trajectory_false_negative_rate,trajectory_false_positive_rate,repeated_false_negative,repeated_false_positive
westcoast_0075,Northern California,2,1,0,0,0.5756462732485114,0.999746315,0.569570163,4.34032204210926,39.3710645361858,-123.79998450493702,1,0.0,0.0,False,False
westcoast_0076,Northern California,8,4,3,0,1.9038428334717992,0.5110908084375001,9.513929600625001,2.319105740911162,39.270283354566416,-123.79998450493702,4,0.75,0.0,True,False
westcoast_0081,Northern California,5,1,1,0,3.3845184303334803,0.8997020685000001,8.61985297,2.2601870027738693,38.96879059651449,-123.69634282682487,4,1.0,0.0,False,False
westcoast_0082,Northern California,3,1,1,1,4.884597134182635,0.923128042,11.886624,1.7948176590060878,38.868573579952745,-123.69634282682487,2,1.0,0.5,False,False
westcoast_0086,Northern California,1,1,1,0,7.273951966061051,0.704433709,10.19736201,0.0,38.66855503895109,-123.48905947060064,0,1.0,,False,False
westcoast_0089,Northern California,8,5,3,0,0.6677472772274268,0.93291215725,2.51944376075,2.4288693440051716,38.56875175491103,-123.28177611437636,3,0.6,0.0,True,False
westcoast_0090,Northern California,8,5,3,0,1.8967895685130924,0.632373437,9.040727499,3.4764460623880504,38.46908463505776,-123.28177611437636,3,0.6,0.0,True,False
westcoast_0105,Central California,6,0,0,0,2.2776199667231896,0.750327097,7.14818534,0.057762265046662105,36.98984973987745,-122.14171765514295,6,,0.0,False,False
westcoast_0106,Central California,8,1,1,1,0.4291833302788676,0.6795830789999999,6.5880046207500005,-2.134594477087368,36.98984973987745,-122.03807597703084,7,1.0,0.14285714285714285,False,False
westcoast_0108,Central California,17,3,3,0,2.8930931353496616,0.7443959998529412,10.042886199617648,-1.3901051725643656,36.60017928303119,-121.9344342989187,14,1.0,0.0,True,False
westcoast_0110,Central California,17,5,5,1,3.0111780847862293,0.7770134819117648,12.704984578529412,-0.9363026489529517,36.50306421597405,-121.9344342989187,12,1.0,0.08333333333333333,True,False
