cell_id,center_lat,center_lon,grid_x_index,grid_y_index,original_cell_id
g10_area_scaled_o00_x-1105_y334,27.206714127494173,-114.47223347484548,-1105,334,westcoast_0326
g10_area_scaled_o00_x-1108_y338,27.558825202665563,-114.78315850918187,-1108,338,westcoast_0321
g10_area_scaled_o00_x-1109_y339,27.647025320360797,-114.88680018729401,-1109,339,westcoast_0320
g10_area_scaled_o00_x-1112_y347,28.35516653197784,-115.19772522163038,-1112,347,westcoast_0299
g10_area_scaled_o00_x-1113_y344,28.08907865276149,-115.30136689974252,-1113,344,westcoast_0307
g10_area_scaled_o00_x-1113_y345,28.177702521103328,-115.30136689974252,-1113,345,westcoast_0305
g10_area_scaled_o00_x-1113_y346,28.26639835150463,-115.30136689974252,-1113,346,westcoast_0302
g10_area_scaled_o00_x-1113_y347,28.35516653197784,-115.30136689974252,-1113,347,westcoast_0298
g10_area_scaled_o00_x-1114_y344,28.08907865276149,-115.40500857785466,-1114,344,westcoast_0306
g10_area_scaled_o00_x-1116_y361,29.605740734692507,-115.6122919340789,-1116,361,westcoast_0285
g10_area_scaled_o00_x-1117_y362,29.695642350845922,-115.71593361219104,-1117,362,westcoast_0282
g10_area_scaled_o00_x-1117_y363,29.785622854659294,-115.71593361219104,-1117,363,westcoast_0280
g10_area_scaled_o00_x-1117_y364,29.875682676537757,-115.71593361219104,-1117,364,westcoast_0278
g10_area_scaled_o00_x-1117_y365,29.96582224960353,-115.71593361219104,-1117,365,westcoast_0276
g10_area_scaled_o00_x-1118_y362,29.695642350845922,-115.81957529030316,-1118,362,westcoast_0281
g10_area_scaled_o00_x-1118_y363,29.785622854659294,-115.81957529030316,-1118,363,westcoast_0279
g10_area_scaled_o00_x-1118_y364,29.875682676537757,-115.81957529030316,-1118,364,westcoast_0277
g10_area_scaled_o00_x-1118_y365,29.96582224960353,-115.81957529030316,-1118,365,westcoast_0275
g10_area_scaled_o00_x-1118_y367,30.14634239553202,-115.81957529030316,-1118,367,westcoast_0274
g10_area_scaled_o00_x-1118_y368,30.236723848466802,-115.81957529030316,-1118,368,westcoast_0273
g10_area_scaled_o00_x-1121_y371,30.508359066934123,-116.13050032463954,-1121,371,westcoast_0268
g10_area_scaled_o00_x-1122_y375,30.871701579682714,-116.23414200275168,-1122,375,westcoast_0263
g10_area_scaled_o00_x-1122_y376,30.962747806389544,-116.23414200275168,-1122,376,westcoast_0262
g10_area_scaled_o00_x-1123_y379,31.236399397561023,-116.33778368086381,-1123,379,westcoast_0258
g10_area_scaled_o00_x-1124_y379,31.236399397561023,-116.44142535897592,-1124,379,westcoast_0257
g10_area_scaled_o00_x-1124_y380,31.327789145412837,-116.44142535897592,-1124,380,westcoast_0256
g10_area_scaled_o00_x-1125_y381,31.41926596678717,-116.54506703708806,-1125,381,westcoast_0255
g10_area_scaled_o00_x-1126_y381,31.41926596678717,-116.64870871520019,-1126,381,westcoast_0254
g10_area_scaled_o00_x-1126_y382,31.51083034536867,-116.64870871520019,-1126,382,westcoast_0252
g10_area_scaled_o00_x-1126_y383,31.60248276809456,-116.64870871520019,-1126,383,westcoast_0250
g10_area_scaled_o00_x-1126_y384,31.694223725187868,-116.64870871520019,-1126,384,westcoast_0248
g10_area_scaled_o00_x-1126_y386,31.87797322000173,-116.64870871520019,-1126,386,westcoast_0244
g10_area_scaled_o00_x-1127_y384,31.694223725187868,-116.75235039331233,-1127,384,westcoast_0247
g10_area_scaled_o00_x-1127_y385,31.78605371019134,-116.75235039331233,-1127,385,westcoast_0246
g10_area_scaled_o00_x-1127_y386,31.87797322000173,-116.75235039331233,-1127,386,westcoast_0243
g10_area_scaled_o00_x-1127_y387,31.96998275490456,-116.75235039331233,-1127,387,westcoast_0241
g10_area_scaled_o00_x-1128_y387,31.96998275490456,-116.85599207142442,-1128,387,westcoast_0240
g10_area_scaled_o00_x-1128_y388,32.06208281860923,-116.85599207142442,-1128,388,westcoast_0239
g10_area_scaled_o00_x-1128_y389,32.15427391828476,-116.85599207142442,-1128,389,westcoast_0238
g10_area_scaled_o00_x-1129_y389,32.15427391828476,-116.95963374953656,-1129,389,westcoast_0237
g10_area_scaled_o00_x-1129_y390,32.24655656459578,-116.95963374953656,-1129,390,westcoast_0236
g10_area_scaled_o00_x-1130_y390,32.24655656459578,-117.0632754276487,-1130,390,westcoast_0235
g10_area_scaled_o00_x-1131_y393,32.52395894319473,-117.1669171057608,-1131,393,westcoast_0230
g10_area_scaled_o00_x-1131_y394,32.616612953897764,-117.1669171057608,-1131,394,westcoast_0229
g10_area_scaled_o00_x-1132_y391,32.338931271739185,-117.27055878387297,-1132,391,westcoast_0233
g10_area_scaled_o00_x-1132_y394,32.616612953897764,-117.27055878387297,-1132,394,westcoast_0228
g10_area_scaled_o00_x-1132_y395,32.70936111829159,-117.27055878387297,-1132,395,westcoast_0227
g10_area_scaled_o00_x-1132_y396,32.80220396879992,-117.27055878387297,-1132,396,westcoast_0226
g10_area_scaled_o00_x-1132_y397,32.89514204160861,-117.27055878387297,-1132,397,westcoast_0222
g10_area_scaled_o00_x-1132_y398,32.98817587670548,-117.27055878387297,-1132,398,westcoast_0219
g10_area_scaled_o00_x-1132_y399,33.081306017921264,-117.27055878387297,-1132,399,westcoast_0216
g10_area_scaled_o00_x-1134_y401,33.26785741349364,-117.47784214009721,-1134,401,westcoast_0210
g10_area_scaled_o00_x-1135_y402,33.36127977509878,-117.58148381820935,-1135,402,westcoast_0203
g10_area_scaled_o00_x-1136_y403,33.45480065740509,-117.68512549632146,-1136,403,westcoast_0198
g10_area_scaled_o00_x-1137_y404,33.548420624085935,-117.78876717443359,-1137,404,westcoast_0192
g10_area_scaled_o00_x-1142_y406,33.735960085801395,-118.30697556499423,-1142,406,westcoast_0188
g10_area_scaled_o00_x-1143_y396,32.80220396879992,-118.41061724310637,-1143,396,westcoast_0224
g10_area_scaled_o00_x-1143_y406,33.735960085801395,-118.41061724310637,-1143,406,westcoast_0187
g10_area_scaled_o00_x-1143_y407,33.82988072885374,-118.41061724310637,-1143,407,westcoast_0186
g10_area_scaled_o00_x-1144_y396,32.80220396879992,-118.51425892121848,-1144,396,westcoast_0223
g10_area_scaled_o00_x-1144_y397,32.89514204160861,-118.51425892121848,-1144,397,westcoast_0220
g10_area_scaled_o00_x-1144_y398,32.98817587670548,-118.51425892121848,-1144,398,westcoast_0218
g10_area_scaled_o00_x-1144_y402,33.36127977509878,-118.51425892121848,-1144,402,westcoast_0200
g10_area_scaled_o00_x-1144_y403,33.45480065740509,-118.51425892121848,-1144,403,westcoast_0195
g10_area_scaled_o00_x-1145_y398,32.98817587670548,-118.61790059933061,-1145,398,westcoast_0217
g10_area_scaled_o00_x-1145_y399,33.081306017921264,-118.61790059933061,-1145,399,westcoast_0214
g10_area_scaled_o00_x-1145_y403,33.45480065740509,-118.61790059933061,-1145,403,westcoast_0194
g10_area_scaled_o00_x-1146_y409,34.01802674107998,-118.72154227744275,-1146,409,westcoast_0177
g10_area_scaled_o00_x-1147_y409,34.01802674107998,-118.82518395555488,-1147,409,westcoast_0176
g10_area_scaled_o00_x-1148_y409,34.01802674107998,-118.92882563366699,-1148,409,westcoast_0175
g10_area_scaled_o00_x-1149_y403,33.45480065740509,-119.03246731177913,-1149,403,westcoast_0193
g10_area_scaled_o00_x-1152_y409,34.01802674107998,-119.34339234611552,-1152,409,westcoast_0173
g10_area_scaled_o00_x-1153_y400,33.17453301297056,-119.44703402422763,-1153,400,westcoast_0212
g10_area_scaled_o00_x-1153_y401,33.26785741349364,-119.44703402422763,-1153,401,westcoast_0207
g10_area_scaled_o00_x-1153_y409,34.01802674107998,-119.44703402422763,-1153,409,westcoast_0172
g10_area_scaled_o00_x-1154_y401,33.26785741349364,-119.55067570233977,-1154,401,westcoast_0206
g10_area_scaled_o00_x-1154_y409,34.01802674107998,-119.55067570233977,-1154,409,westcoast_0171
g10_area_scaled_o00_x-1154_y413,34.39555419180061,-119.55067570233977,-1154,413,westcoast_0154
g10_area_scaled_o00_x-1155_y401,33.26785741349364,-119.6543173804519,-1155,401,westcoast_0205
g10_area_scaled_o00_x-1155_y409,34.01802674107998,-119.6543173804519,-1155,409,westcoast_0170
g10_area_scaled_o00_x-1156_y408,33.92390275240732,-119.75795905856404,-1156,408,westcoast_0184
g10_area_scaled_o00_x-1156_y413,34.39555419180061,-119.75795905856404,-1156,413,westcoast_0152
g10_area_scaled_o00_x-1157_y408,33.92390275240732,-119.86160073667615,-1157,408,westcoast_0183
g10_area_scaled_o00_x-1157_y409,34.01802674107998,-119.86160073667615,-1157,409,westcoast_0168
g10_area_scaled_o00_x-1157_y413,34.39555419180061,-119.86160073667615,-1157,413,westcoast_0151
g10_area_scaled_o00_x-1158_y408,33.92390275240732,-119.96524241478828,-1158,408,westcoast_0182
g10_area_scaled_o00_x-1158_y409,34.01802674107998,-119.96524241478828,-1158,409,westcoast_0167
g10_area_scaled_o00_x-1158_y413,34.39555419180061,-119.96524241478828,-1158,413,westcoast_0150
g10_area_scaled_o00_x-1159_y408,33.92390275240732,-120.06888409290042,-1159,408,westcoast_0181
g10_area_scaled_o00_x-1159_y409,34.01802674107998,-120.06888409290042,-1159,409,westcoast_0166
g10_area_scaled_o00_x-1159_y414,34.490196928497724,-120.06888409290042,-1159,414,westcoast_0146
g10_area_scaled_o00_x-1160_y408,33.92390275240732,-120.17252577101254,-1160,408,westcoast_0180
g10_area_scaled_o00_x-1160_y409,34.01802674107998,-120.17252577101254,-1160,409,westcoast_0165
g10_area_scaled_o00_x-1160_y414,34.490196928497724,-120.17252577101254,-1160,414,westcoast_0145
g10_area_scaled_o00_x-1161_y408,33.92390275240732,-120.27616744912466,-1161,408,westcoast_0179
g10_area_scaled_o00_x-1161_y409,34.01802674107998,-120.27616744912466,-1161,409,westcoast_0164
g10_area_scaled_o00_x-1161_y414,34.490196928497724,-120.27616744912466,-1161,414,westcoast_0144
g10_area_scaled_o00_x-1162_y409,34.01802674107998,-120.3798091272368,-1162,409,westcoast_0163
g10_area_scaled_o00_x-1162_y413,34.39555419180061,-120.3798091272368,-1162,413,westcoast_0149
g10_area_scaled_o00_x-1162_y414,34.490196928497724,-120.3798091272368,-1162,414,westcoast_0143
g10_area_scaled_o00_x-1163_y409,34.01802674107998,-120.48345080534892,-1163,409,westcoast_0162
g10_area_scaled_o00_x-1163_y414,34.490196928497724,-120.48345080534892,-1163,414,westcoast_0142
g10_area_scaled_o00_x-1164_y415,34.584945230602486,-120.58709248346103,-1164,415,westcoast_0140
g10_area_scaled_o00_x-1165_y421,35.15568673982614,-120.69073416157319,-1165,421,westcoast_0136
g10_area_scaled_o00_x-1166_y421,35.15568673982614,-120.7943758396853,-1166,421,westcoast_0135
g10_area_scaled_o00_x-1167_y422,35.251191511764766,-120.89801751779744,-1167,422,westcoast_0133
