spec_id,domain,year,train_start,train_end,n_train,events_train,n_test,events_test
g05_area_scaled_o00,full_kelp_domain,2005,1989,2004,4137,1725,319,189
g05_area_scaled_o00,full_kelp_domain,2006,1989,2005,4456,1914,290,57
g05_area_scaled_o00,full_kelp_domain,2007,1989,2006,4746,1971,334,95
g05_area_scaled_o00,full_kelp_domain,2008,1989,2007,5080,2066,337,98
g05_area_scaled_o00,full_kelp_domain,2009,1989,2008,5417,2164,347,166
g05_area_scaled_o00,full_kelp_domain,2010,1989,2009,5764,2330,334,164
g05_area_scaled_o00,full_kelp_domain,2011,1989,2010,6098,2494,286,115
g05_area_scaled_o00,full_kelp_domain,2012,1989,2011,6384,2609,292,63
g05_area_scaled_o00,full_kelp_domain,2013,1989,2012,6676,2672,341,216
g05_area_scaled_o00,full_kelp_domain,2014,1989,2013,7017,2888,299,118
g05_area_scaled_o00,full_kelp_domain,2015,1989,2014,7316,3006,257,123
g05_area_scaled_o00,full_kelp_domain,2016,1989,2015,7573,3129,237,81
g05_area_scaled_o00,full_kelp_domain,2017,1989,2016,7810,3210,256,49
g05_area_scaled_o00,full_kelp_domain,2018,1989,2017,8066,3259,283,212
g05_area_scaled_o00,full_kelp_domain,2019,1989,2018,8349,3471,205,64
g05_area_scaled_o00,full_kelp_domain,2020,1989,2019,8554,3535,245,93
g05_area_scaled_o00,full_kelp_domain,2021,1989,2020,8799,3628,235,86
g05_area_scaled_o00,full_kelp_domain,2022,1989,2021,9034,3714,230,151
g05_area_scaled_o00,full_kelp_domain,2023,1989,2022,9264,3865,185,37
g05_area_scaled_o00,full_kelp_domain,2024,1989,2023,9449,3902,210,54
g05_area_scaled_o00,oisst_matched_domain,2005,1989,2004,4046,1684,312,186
g05_area_scaled_o00,oisst_matched_domain,2006,1989,2005,4358,1870,285,54
g05_area_scaled_o00,oisst_matched_domain,2007,1989,2006,4643,1924,328,94
g05_area_scaled_o00,oisst_matched_domain,2008,1989,2007,4971,2018,331,95
g05_area_scaled_o00,oisst_matched_domain,2009,1989,2008,5302,2113,341,163
g05_area_scaled_o00,oisst_matched_domain,2010,1989,2009,5643,2276,328,162
g05_area_scaled_o00,oisst_matched_domain,2011,1989,2010,5971,2438,280,109
g05_area_scaled_o00,oisst_matched_domain,2012,1989,2011,6251,2547,290,63
g05_area_scaled_o00,oisst_matched_domain,2013,1989,2012,6541,2610,335,213
g05_area_scaled_o00,oisst_matched_domain,2014,1989,2013,6876,2823,293,116
g05_area_scaled_o00,oisst_matched_domain,2015,1989,2014,7169,2939,253,123
g05_area_scaled_o00,oisst_matched_domain,2016,1989,2015,7422,3062,232,80
g05_area_scaled_o00,oisst_matched_domain,2017,1989,2016,7654,3142,251,49
g05_area_scaled_o00,oisst_matched_domain,2018,1989,2017,7905,3191,277,208
g05_area_scaled_o00,oisst_matched_domain,2019,1989,2018,8182,3399,199,63
g05_area_scaled_o00,oisst_matched_domain,2020,1989,2019,8381,3462,239,90
