spec_id,grid_size_m,grid_size_km,threshold_policy,origin_name,origin_x_m,origin_y_m,minimum_footprint_pixels,candidate_cells,stable_cells,eligible_test_rows,test_events,test_prevalence,oisst_supported_cells,oisst_cell_coverage,oisst_max_distance_km,current_lift,current_ci_low,current_ci_high,trajectory_increment,trajectory_ci_low,trajectory_ci_high,oisst_increment,oisst_ci_low,oisst_ci_high,current_top20_recall,trajectory_top20_recall,trajectory_top20_recall_delta,global_label_jaccard,global_top20_spatial_jaccard,same_size_label_jaccard,same_size_top20_spatial_jaccard
g05_area_scaled_o00,5000,5,area_scaled,o00,0.0,0.0,125,408,368,5522,2231,0.40402028250633826,361,0.9809782608695652,219.09434874350498,0.15485638663238097,0.11939193922089537,0.1956338543467905,0.03911093479490083,0.01779718678264685,0.061479651878168264,-0.017027959747699727,-0.03966814040437279,0.0017880185617760046,0.2949350067234424,0.31376064545047067,0.01882563872702825,0.7982886803977745,0.6323901417943422,1.0,1.0
g05_area_scaled_ox50,5000,5,area_scaled,ox50,2500.0,0.0,125,397,361,5445,2219,0.40752984389348024,354,0.9806094182825484,219.5144208253984,0.15450411059470484,0.12497909384645493,0.18419601123541499,0.03281373354836309,0.014621394032346897,0.05637899588146538,-0.015805943336020003,-0.04051114246394955,0.0038970772027611543,0.30058584948174855,0.309598918431726,0.009013068949977443,0.7539575667987762,0.5536921125977364,0.8072797844556162,0.6239319037941843
g05_area_scaled_oy50,5000,5,area_scaled,oy50,0.0,2500.0,125,400,357,5378,2162,0.40200818148010414,353,0.988795518207283,222.08459599276048,0.15771409088943317,0.12115468707695018,0.198958546275489,0.0362751670038294,0.01414533038560473,0.05889104400490364,-0.015901018249419575,-0.032202496357836854,-0.001905990934784863,0.30527289546716,0.31822386679000925,0.012950971322849225,0.767343465822138,0.5578691963593078,0.8188398086482479,0.6403380675725333
g05_area_scaled_oxy50,5000,5,area_scaled,oxy50,2500.0,2500.0,125,407,367,5513,2240,0.40631235262107745,363,0.989100817438692,222.49882785191613,0.1636053333943962,0.12930737859338198,0.19928487524729416,0.033198440030506204,0.01221308724543138,0.05558649199938822,-0.015109104576276528,-0.030998746911738494,-0.001561011329863071,0.3066964285714286,0.3183035714285714,0.011607142857142816,0.7378316307657109,0.5257894213210351,0.7448051209263028,0.534629349840735
g05_fixed_500_o00,5000,5,fixed_500,o00,0.0,0.0,500,271,252,3833,1508,0.3934255152621967,252,1.0,27.17643036995677,0.17441252740196705,0.12912427276135593,0.22576024951911805,0.023296904279805467,0.006397657801925618,0.04031717057919954,-0.018909753383441166,-0.052650688399295716,0.009314105416753718,0.3103448275862069,0.31432360742705573,0.003978779840848823,0.8050045895891816,0.6567510584637155,1.0,1.0
g05_fixed_500_ox50,5000,5,fixed_500,ox50,2500.0,0.0,500,261,240,3681,1472,0.3998913338766639,240,1.0,26.68391674782093,0.17940980641150972,0.15046315695467471,0.21500615229121012,0.018327159626693647,0.0008562075662986899,0.04075553934798056,-0.01585860838642627,-0.04775948228540281,0.010736021660243508,0.30502717391304346,0.3077445652173913,0.002717391304347838,0.7578083231691087,0.5857811924580919,0.8131649606186827,0.6220464159337936
g05_fixed_500_oy50,5000,5,fixed_500,oy50,0.0,2500.0,500,260,239,3636,1455,0.40016501650165015,239,1.0,24.090905398797453,0.16813162698015016,0.1244973254774683,0.22073074255663921,0.020239235188068968,0.0012567305835244885,0.03811940296958527,-0.0174801205809904,-0.038602203739766645,0.0022163147001027506,0.3120274914089347,0.3127147766323024,0.0006872852233676952,0.7754118393532771,0.5693089604332343,0.8230641377474853,0.6464524871980293
g05_fixed_500_oxy50,5000,5,fixed_500,oxy50,2500.0,2500.0,500,258,238,3644,1466,0.40230515916575194,238,1.0,24.3789556805862,0.17125526814301933,0.13072272857055556,0.21781044931172985,0.02603764277843148,0.0037368069157593096,0.05111244628981295,-0.020578580501684946,-0.04678958116614715,-0.0005944940364740508,0.30900409276944063,0.31036834924965895,0.0013642564802183177,0.741912236487872,0.5432849469929573,0.7503504612662008,0.5482636403888127
g10_area_scaled_o00,10000,10,area_scaled,o00,0.0,0.0,500,180,167,2598,1008,0.38799076212471134,167,1.0,30.522771582564825,0.17643625413190192,0.14216127446881988,0.21985311379899972,0.02349893898045437,0.005000903711772802,0.04136575871543992,-0.018600888043454496,-0.048690553432591495,0.005881688797340429,0.3194444444444444,0.32341269841269843,0.00396825396825401,1.0,1.0,1.0,1.0
g10_area_scaled_ox50,10000,10,area_scaled,ox50,5000.0,0.0,500,177,166,2657,996,0.3748588633797516,165,0.9939759036144579,222.49882785191613,0.20530945349257196,0.16723218958856761,0.2588398156026585,0.017916472838586144,0.0012591444094281576,0.03541544265041202,-0.019445880016646412,-0.05485923822040805,0.006237865779020804,0.33032128514056225,0.3313253012048193,0.0010040160642570406,0.8067404116819141,0.6304624716209822,0.8067404116819141,0.6304624716209822
