spec_id,grid_size_m,grid_size_km,threshold_policy,origin_name,origin_x_m,origin_y_m,minimum_footprint_pixels
g05_area_scaled_o00,5000,5,area_scaled,o00,0.0,0.0,125
g05_area_scaled_ox50,5000,5,area_scaled,ox50,2500.0,0.0,125
g05_area_scaled_oy50,5000,5,area_scaled,oy50,0.0,2500.0,125
g05_area_scaled_oxy50,5000,5,area_scaled,oxy50,2500.0,2500.0,125
g05_fixed_500_o00,5000,5,fixed_500,o00,0.0,0.0,500
g05_fixed_500_ox50,5000,5,fixed_500,ox50,2500.0,0.0,500
g05_fixed_500_oy50,5000,5,fixed_500,oy50,0.0,2500.0,500
g05_fixed_500_oxy50,5000,5,fixed_500,oxy50,2500.0,2500.0,500
g10_area_scaled_o00,10000,10,area_scaled,o00,0.0,0.0,500
g10_area_scaled_ox50,10000,10,area_scaled,ox50,5000.0,0.0,500
g10_area_scaled_oy50,10000,10,area_scaled,oy50,0.0,5000.0,500
g10_area_scaled_oxy50,10000,10,area_scaled,oxy50,5000.0,5000.0,500
g20_area_scaled_o00,20000,20,area_scaled,o00,0.0,0.0,2000
g20_area_scaled_ox50,20000,20,area_scaled,ox50,10000.0,0.0,2000
g20_area_scaled_oy50,20000,20,area_scaled,oy50,0.0,10000.0,2000
g20_area_scaled_oxy50,20000,20,area_scaled,oxy50,10000.0,10000.0,2000
g20_fixed_500_o00,20000,20,fixed_500,o00,0.0,0.0,500
g20_fixed_500_ox50,20000,20,fixed_500,ox50,10000.0,0.0,500
g20_fixed_500_oy50,20000,20,fixed_500,oy50,0.0,10000.0,500
g20_fixed_500_oxy50,20000,20,fixed_500,oxy50,10000.0,10000.0,500
