support_m,feature_set,year,n,events,prevalence,ap,ap_lift
300,trajectory,2008,87,34,0.39080459770114945,0.7379178214063876,0.34711322370523817
300,trajectory,2009,56,17,0.30357142857142855,0.4313814466386612,0.12781001806723263
300,trajectory,2010,71,45,0.6338028169014085,0.8030959553336011,0.16929313843219262
300,trajectory,2011,68,29,0.4264705882352941,0.7834597059022854,0.3569891176669913
300,trajectory,2012,44,12,0.2727272727272727,0.4692103467501264,0.1964830740228537
300,trajectory,2013,39,31,0.7948717948717948,0.8156801898474528,0.020808394975658007
300,trajectory,2014,43,18,0.4186046511627907,0.5917062310684976,0.1731015799057069
300,trajectory,2015,37,13,0.35135135135135137,0.6630329073320425,0.3116815559806911
300,trajectory,2016,37,22,0.5945945945945946,0.6236665562593428,0.029071961664748125
300,trajectory,2017,35,10,0.2857142857142857,0.5890705128205128,0.3033562271062271
300,trajectory,2018,44,35,0.7954545454545454,0.8531412570863111,0.05768671163176564
300,trajectory,2019,30,9,0.3,0.32042577792577787,0.020425777925777877
300,trajectory,2020,36,14,0.3888888888888889,0.6639670810853076,0.27507819219641866
300,trajectory,2021,21,4,0.19047619047619047,0.8875,0.6970238095238095
300,trajectory_plus_field_state,2008,87,34,0.39080459770114945,0.6519100764883344,0.261105478787185
300,trajectory_plus_field_state,2009,56,17,0.30357142857142855,0.4215540042570919,0.11798257568566334
300,trajectory_plus_field_state,2010,71,45,0.6338028169014085,0.8300593131111792,0.1962564962097707
300,trajectory_plus_field_state,2011,68,29,0.4264705882352941,0.6708120725227648,0.24434148428747066
300,trajectory_plus_field_state,2012,44,12,0.2727272727272727,0.7098544973544973,0.43712722462722464
300,trajectory_plus_field_state,2013,39,31,0.7948717948717948,0.8024404973378648,0.007568702466069999
300,trajectory_plus_field_state,2014,43,18,0.4186046511627907,0.6281699106427654,0.20956525947997467
300,trajectory_plus_field_state,2015,37,13,0.35135135135135137,0.4415210290702941,0.09016967771894274
300,trajectory_plus_field_state,2016,37,22,0.5945945945945946,0.6539463097266505,0.05935171513205584
300,trajectory_plus_field_state,2017,35,10,0.2857142857142857,0.7511363636363636,0.4654220779220779
300,trajectory_plus_field_state,2018,44,35,0.7954545454545454,0.8745476122287812,0.07909306677423578
300,trajectory_plus_field_state,2019,30,9,0.3,0.5436026936026936,0.24360269360269365
300,trajectory_plus_field_state,2020,36,14,0.3888888888888889,0.6477842124992289,0.25889532361034
300,trajectory_plus_field_state,2021,21,4,0.19047619047619047,0.48971861471861466,0.2992424242424242
300,trajectory_plus_full_regime,2008,87,34,0.39080459770114945,0.6526215968478452,0.2618169991466957
