support_m,feature_set,budget_fraction,selected,true_positives,total_events,micro_recall,micro_precision
300,trajectory,0.05,39,32,293,0.10921501706484642,0.8205128205128205
300,trajectory,0.1,71,53,293,0.18088737201365188,0.7464788732394366
300,trajectory,0.2,136,89,293,0.3037542662116041,0.6544117647058824
300,trajectory,0.3,202,127,293,0.4334470989761092,0.6287128712871287
300,trajectory_plus_field_state,0.05,39,31,293,0.10580204778156997,0.7948717948717948
300,trajectory_plus_field_state,0.1,71,50,293,0.17064846416382254,0.704225352112676
300,trajectory_plus_field_state,0.2,136,92,293,0.31399317406143346,0.6764705882352942
300,trajectory_plus_field_state,0.3,202,129,293,0.4402730375426621,0.6386138613861386
300,trajectory_plus_full_regime,0.05,39,29,293,0.09897610921501707,0.7435897435897436
300,trajectory_plus_full_regime,0.1,71,46,293,0.15699658703071673,0.647887323943662
300,trajectory_plus_full_regime,0.2,136,84,293,0.28668941979522183,0.6176470588235294
300,trajectory_plus_full_regime,0.3,202,122,293,0.41638225255972694,0.6039603960396039
300,trajectory_plus_paper_environment,0.05,39,27,293,0.09215017064846416,0.6923076923076923
300,trajectory_plus_paper_environment,0.1,71,47,293,0.16040955631399317,0.6619718309859155
300,trajectory_plus_paper_environment,0.2,136,80,293,0.27303754266211605,0.5882352941176471
300,trajectory_plus_paper_environment,0.3,202,119,293,0.4061433447098976,0.5891089108910891
300,trajectory_plus_paper_full,0.05,39,29,293,0.09897610921501707,0.7435897435897436
300,trajectory_plus_paper_full,0.1,71,48,293,0.16382252559726962,0.676056338028169
300,trajectory_plus_paper_full,0.2,136,87,293,0.29692832764505117,0.6397058823529411
300,trajectory_plus_paper_full,0.3,202,125,293,0.42662116040955633,0.6188118811881188
1000,trajectory,0.05,50,29,358,0.08100558659217877,0.58
1000,trajectory,0.1,89,54,358,0.15083798882681565,0.6067415730337079
1000,trajectory,0.2,172,105,358,0.29329608938547486,0.6104651162790697
1000,trajectory,0.3,257,138,358,0.3854748603351955,0.5369649805447471
1000,trajectory_plus_field_state,0.05,50,33,358,0.09217877094972067,0.66
1000,trajectory_plus_field_state,0.1,89,53,358,0.14804469273743018,0.5955056179775281
1000,trajectory_plus_field_state,0.2,172,100,358,0.27932960893854747,0.5813953488372093
1000,trajectory_plus_field_state,0.3,257,143,358,0.3994413407821229,0.556420233463035
1000,trajectory_plus_full_regime,0.05,50,31,358,0.08659217877094973,0.62
1000,trajectory_plus_full_regime,0.1,89,49,358,0.13687150837988826,0.550561797752809
1000,trajectory_plus_full_regime,0.2,172,87,358,0.2430167597765363,0.5058139534883721
1000,trajectory_plus_full_regime,0.3,257,123,358,0.3435754189944134,0.4785992217898833
1000,trajectory_plus_paper_environment,0.05,50,31,358,0.08659217877094973,0.62
1000,trajectory_plus_paper_environment,0.1,89,53,358,0.14804469273743018,0.5955056179775281
1000,trajectory_plus_paper_environment,0.2,172,95,358,0.26536312849162014,0.5523255813953488
1000,trajectory_plus_paper_environment,0.3,257,126,358,0.35195530726256985,0.490272373540856
1000,trajectory_plus_paper_full,0.05,50,34,358,0.09497206703910614,0.68
1000,trajectory_plus_paper_full,0.1,89,50,358,0.13966480446927373,0.5617977528089888
1000,trajectory_plus_paper_full,0.2,172,91,358,0.2541899441340782,0.5290697674418605
1000,trajectory_plus_paper_full,0.3,257,130,358,0.36312849162011174,0.5058365758754864
