support_m,year,feature_set,train_start,train_end,n_train,events_train,n_test,events_test,chosen_C
300,2008,trajectory,2004,2007,217,79,87,34,1.0
300,2008,trajectory_plus_field_state,2004,2007,217,79,87,34,1.0
300,2008,trajectory_plus_paper_environment,2004,2007,217,79,87,34,0.2
300,2008,trajectory_plus_paper_full,2004,2007,217,79,87,34,0.2
300,2008,trajectory_plus_full_regime,2004,2007,217,79,87,34,0.2
300,2009,trajectory,2004,2008,304,113,56,17,0.2
300,2009,trajectory_plus_field_state,2004,2008,304,113,56,17,0.05
300,2009,trajectory_plus_paper_environment,2004,2008,304,113,56,17,0.2
300,2009,trajectory_plus_paper_full,2004,2008,304,113,56,17,1.0
300,2009,trajectory_plus_full_regime,2004,2008,304,113,56,17,1.0
300,2010,trajectory,2004,2009,360,130,71,45,0.05
300,2010,trajectory_plus_field_state,2004,2009,360,130,71,45,0.2
300,2010,trajectory_plus_paper_environment,2004,2009,360,130,71,45,0.2
300,2010,trajectory_plus_paper_full,2004,2009,360,130,71,45,0.2
300,2010,trajectory_plus_full_regime,2004,2009,360,130,71,45,0.2
300,2011,trajectory,2004,2010,431,175,68,29,0.05
300,2011,trajectory_plus_field_state,2004,2010,431,175,68,29,1.0
300,2011,trajectory_plus_paper_environment,2004,2010,431,175,68,29,0.05
300,2011,trajectory_plus_paper_full,2004,2010,431,175,68,29,0.05
300,2011,trajectory_plus_full_regime,2004,2010,431,175,68,29,0.05
300,2012,trajectory,2004,2011,499,204,44,12,0.2
300,2012,trajectory_plus_field_state,2004,2011,499,204,44,12,0.05
300,2012,trajectory_plus_paper_environment,2004,2011,499,204,44,12,0.05
300,2012,trajectory_plus_paper_full,2004,2011,499,204,44,12,0.05
300,2012,trajectory_plus_full_regime,2004,2011,499,204,44,12,0.05
300,2013,trajectory,2004,2012,543,216,39,31,0.2
300,2013,trajectory_plus_field_state,2004,2012,543,216,39,31,0.05
300,2013,trajectory_plus_paper_environment,2004,2012,543,216,39,31,0.05
300,2013,trajectory_plus_paper_full,2004,2012,543,216,39,31,0.05
300,2013,trajectory_plus_full_regime,2004,2012,543,216,39,31,0.05
300,2014,trajectory,2004,2013,582,247,43,18,0.05
300,2014,trajectory_plus_field_state,2004,2013,582,247,43,18,0.05
300,2014,trajectory_plus_paper_environment,2004,2013,582,247,43,18,1.0
300,2014,trajectory_plus_paper_full,2004,2013,582,247,43,18,1.0
300,2014,trajectory_plus_full_regime,2004,2013,582,247,43,18,1.0
300,2015,trajectory,2004,2014,625,265,37,13,1.0
300,2015,trajectory_plus_field_state,2004,2014,625,265,37,13,1.0
300,2015,trajectory_plus_paper_environment,2004,2014,625,265,37,13,0.2
300,2015,trajectory_plus_paper_full,2004,2014,625,265,37,13,1.0
300,2015,trajectory_plus_full_regime,2004,2014,625,265,37,13,1.0
300,2016,trajectory,2004,2015,662,278,37,22,1.0
300,2016,trajectory_plus_field_state,2004,2015,662,278,37,22,0.2
300,2016,trajectory_plus_paper_environment,2004,2015,662,278,37,22,0.2
300,2016,trajectory_plus_paper_full,2004,2015,662,278,37,22,1.0
300,2016,trajectory_plus_full_regime,2004,2015,662,278,37,22,1.0
300,2017,trajectory,2004,2016,699,300,35,10,1.0
300,2017,trajectory_plus_field_state,2004,2016,699,300,35,10,0.2
300,2017,trajectory_plus_paper_environment,2004,2016,699,300,35,10,1.0
300,2017,trajectory_plus_paper_full,2004,2016,699,300,35,10,1.0
300,2017,trajectory_plus_full_regime,2004,2016,699,300,35,10,1.0
300,2018,trajectory,2004,2017,734,310,44,35,1.0
300,2018,trajectory_plus_field_state,2004,2017,734,310,44,35,0.2
300,2018,trajectory_plus_paper_environment,2004,2017,734,310,44,35,1.0
300,2018,trajectory_plus_paper_full,2004,2017,734,310,44,35,0.2
300,2018,trajectory_plus_full_regime,2004,2017,734,310,44,35,0.05
300,2019,trajectory,2004,2018,778,345,30,9,1.0
300,2019,trajectory_plus_field_state,2004,2018,778,345,30,9,0.2
300,2019,trajectory_plus_paper_environment,2004,2018,778,345,30,9,0.05
300,2019,trajectory_plus_paper_full,2004,2018,778,345,30,9,1.0
300,2019,trajectory_plus_full_regime,2004,2018,778,345,30,9,0.05
300,2020,trajectory,2004,2019,808,354,36,14,1.0
300,2020,trajectory_plus_field_state,2004,2019,808,354,36,14,1.0
300,2020,trajectory_plus_paper_environment,2004,2019,808,354,36,14,0.05
300,2020,trajectory_plus_paper_full,2004,2019,808,354,36,14,0.05
300,2020,trajectory_plus_full_regime,2004,2019,808,354,36,14,0.2
300,2021,trajectory,2004,2020,844,368,21,4,0.2
300,2021,trajectory_plus_field_state,2004,2020,844,368,21,4,0.05
300,2021,trajectory_plus_paper_environment,2004,2020,844,368,21,4,1.0
300,2021,trajectory_plus_paper_full,2004,2020,844,368,21,4,0.2
300,2021,trajectory_plus_full_regime,2004,2020,844,368,21,4,0.05
1000,2008,trajectory,2004,2007,271,68,103,44,1.0
1000,2008,trajectory_plus_field_state,2004,2007,271,68,103,44,1.0
1000,2008,trajectory_plus_paper_environment,2004,2007,271,68,103,44,0.05
1000,2008,trajectory_plus_paper_full,2004,2007,271,68,103,44,0.05
1000,2008,trajectory_plus_full_regime,2004,2007,271,68,103,44,0.05
