C,inner_macro_ap_lift,inner_rows,support_m,year,feature_set
1.0,0.151490536976168,130,300,2008,trajectory
0.05,0.1403196807090411,130,300,2008,trajectory
0.2,0.13864620061726757,130,300,2008,trajectory
1.0,0.23255200959921404,130,300,2008,trajectory_plus_field_state
0.2,0.22355546304589782,130,300,2008,trajectory_plus_field_state
0.05,0.2192414616039404,130,300,2008,trajectory_plus_field_state
0.2,0.12060276499087601,130,300,2008,trajectory_plus_paper_environment
0.05,0.11351356251534299,130,300,2008,trajectory_plus_paper_environment
1.0,0.11348847106420872,130,300,2008,trajectory_plus_paper_environment
0.2,0.15700219320899295,130,300,2008,trajectory_plus_paper_full
0.05,0.14595924781370723,130,300,2008,trajectory_plus_paper_full
1.0,0.11086056923790803,130,300,2008,trajectory_plus_paper_full
0.2,0.15700219320899295,130,300,2008,trajectory_plus_full_regime
0.05,0.14595924781370723,130,300,2008,trajectory_plus_full_regime
1.0,0.11086056923790803,130,300,2008,trajectory_plus_full_regime
0.2,0.11820754608150422,173,300,2009,trajectory
0.05,0.11336666256677985,173,300,2009,trajectory
1.0,0.09015131065376275,173,300,2009,trajectory
0.05,0.07971147216260083,173,300,2009,trajectory_plus_field_state
0.2,0.0727391034284311,173,300,2009,trajectory_plus_field_state
1.0,0.06130038665731119,173,300,2009,trajectory_plus_field_state
0.2,0.18061179351187215,173,300,2009,trajectory_plus_paper_environment
1.0,0.1750216927679387,173,300,2009,trajectory_plus_paper_environment
0.05,0.17500684603470726,173,300,2009,trajectory_plus_paper_environment
1.0,0.13976761385179864,173,300,2009,trajectory_plus_paper_full
0.05,0.12995559880911436,173,300,2009,trajectory_plus_paper_full
0.2,0.12813155471715562,173,300,2009,trajectory_plus_paper_full
1.0,0.13976761385179864,173,300,2009,trajectory_plus_full_regime
0.05,0.12995559880911436,173,300,2009,trajectory_plus_full_regime
0.2,0.12813155471715562,173,300,2009,trajectory_plus_full_regime
0.05,0.19882869747906376,143,300,2010,trajectory
0.2,0.19344775407749595,143,300,2010,trajectory
1.0,0.18465369879675242,143,300,2010,trajectory
0.2,0.16559985881862205,143,300,2010,trajectory_plus_field_state
0.05,0.15602687224448442,143,300,2010,trajectory_plus_field_state
1.0,0.14613415260211793,143,300,2010,trajectory_plus_field_state
0.2,0.15656999098946808,143,300,2010,trajectory_plus_paper_environment
1.0,0.1472621423201349,143,300,2010,trajectory_plus_paper_environment
0.05,0.14653682862846756,143,300,2010,trajectory_plus_paper_environment
0.2,0.14145987284318773,143,300,2010,trajectory_plus_paper_full
0.05,0.14017420184275733,143,300,2010,trajectory_plus_paper_full
1.0,0.11850436740187315,143,300,2010,trajectory_plus_paper_full
0.2,0.14145987284318773,143,300,2010,trajectory_plus_full_regime
0.05,0.14017420184275733,143,300,2010,trajectory_plus_full_regime
1.0,0.11850436740187315,143,300,2010,trajectory_plus_full_regime
0.05,0.08780459354782139,127,300,2011,trajectory
0.2,0.07915997482835777,127,300,2011,trajectory
1.0,0.07529880684068507,127,300,2011,trajectory
1.0,0.09017662464452303,127,300,2011,trajectory_plus_field_state
0.05,0.08763131458398091,127,300,2011,trajectory_plus_field_state
0.2,0.07726257540187212,127,300,2011,trajectory_plus_field_state
0.05,0.10843522828469529,127,300,2011,trajectory_plus_paper_environment
1.0,0.09909786014858893,127,300,2011,trajectory_plus_paper_environment
0.2,0.09480506544555536,127,300,2011,trajectory_plus_paper_environment
0.05,0.12033021596683055,127,300,2011,trajectory_plus_paper_full
1.0,0.11368643698406874,127,300,2011,trajectory_plus_paper_full
0.2,0.10462711889975976,127,300,2011,trajectory_plus_paper_full
0.05,0.12033021596683055,127,300,2011,trajectory_plus_full_regime
1.0,0.11368643698406874,127,300,2011,trajectory_plus_full_regime
0.2,0.10462711889975976,127,300,2011,trajectory_plus_full_regime
0.2,0.23442662878673723,139,300,2012,trajectory
1.0,0.22067661164299943,139,300,2012,trajectory
0.05,0.21456182727756254,139,300,2012,trajectory
0.05,0.21679073111218003,139,300,2012,trajectory_plus_field_state
0.2,0.2149260293343256,139,300,2012,trajectory_plus_field_state
1.0,0.20598820694218398,139,300,2012,trajectory_plus_field_state
0.05,0.26694104063548196,139,300,2012,trajectory_plus_paper_environment
0.2,0.26368304314085034,139,300,2012,trajectory_plus_paper_environment
1.0,0.25615755051072375,139,300,2012,trajectory_plus_paper_environment
0.05,0.2690426397310539,139,300,2012,trajectory_plus_paper_full
0.2,0.2554261896745613,139,300,2012,trajectory_plus_paper_full
1.0,0.23784925146414557,139,300,2012,trajectory_plus_paper_full
0.05,0.2690426397310539,139,300,2012,trajectory_plus_full_regime
0.2,0.2554261896745613,139,300,2012,trajectory_plus_full_regime
1.0,0.23784925146414557,139,300,2012,trajectory_plus_full_regime
0.2,0.36907665246349175,112,300,2013,trajectory
0.05,0.3577480543217473,112,300,2013,trajectory
1.0,0.32553411040757063,112,300,2013,trajectory
0.05,0.3758917460856378,112,300,2013,trajectory_plus_field_state
0.2,0.3447373876302313,112,300,2013,trajectory_plus_field_state
1.0,0.325008360223777,112,300,2013,trajectory_plus_field_state
0.05,0.23696149440424064,112,300,2013,trajectory_plus_paper_environment
0.2,0.19998137606731461,112,300,2013,trajectory_plus_paper_environment
1.0,0.19256235429444118,112,300,2013,trajectory_plus_paper_environment
0.05,0.20947207787539893,112,300,2013,trajectory_plus_paper_full
0.2,0.17021388540875876,112,300,2013,trajectory_plus_paper_full
1.0,0.1660642364713917,112,300,2013,trajectory_plus_paper_full
0.05,0.20947207787539893,112,300,2013,trajectory_plus_full_regime
0.2,0.17021388540875876,112,300,2013,trajectory_plus_full_regime
1.0,0.1660642364713917,112,300,2013,trajectory_plus_full_regime
0.05,0.11966465726684788,83,300,2014,trajectory
1.0,0.11964471755824169,83,300,2014,trajectory
0.2,0.09389397475220013,83,300,2014,trajectory
0.05,0.20984295238343498,83,300,2014,trajectory_plus_field_state
0.2,0.16760909682145525,83,300,2014,trajectory_plus_field_state
1.0,0.11787184153470726,83,300,2014,trajectory_plus_field_state
1.0,0.041164326578494975,83,300,2014,trajectory_plus_paper_environment
0.05,0.027515685064755102,83,300,2014,trajectory_plus_paper_environment
0.2,0.019947310444786398,83,300,2014,trajectory_plus_paper_environment
1.0,0.06454783777717976,83,300,2014,trajectory_plus_paper_full
0.05,0.03949594651572266,83,300,2014,trajectory_plus_paper_full
0.2,0.038538398992804146,83,300,2014,trajectory_plus_paper_full
1.0,0.06454783777717976,83,300,2014,trajectory_plus_full_regime
0.05,0.03949594651572266,83,300,2014,trajectory_plus_full_regime
0.2,0.038538398992804146,83,300,2014,trajectory_plus_full_regime
1.0,0.13219386424688997,82,300,2015,trajectory
0.2,0.11502216839163534,82,300,2015,trajectory
0.05,0.08445824071712624,82,300,2015,trajectory
1.0,0.1496961262322599,82,300,2015,trajectory_plus_field_state
0.2,0.12131735854519063,82,300,2015,trajectory_plus_field_state
0.05,0.10211399551311404,82,300,2015,trajectory_plus_field_state
0.2,0.01799795234432852,82,300,2015,trajectory_plus_paper_environment
0.05,0.014602325460483206,82,300,2015,trajectory_plus_paper_environment
1.0,0.010978344217630248,82,300,2015,trajectory_plus_paper_environment
1.0,0.05463539728124836,82,300,2015,trajectory_plus_paper_full
0.2,0.03964380901160805,82,300,2015,trajectory_plus_paper_full
0.05,0.0365661917830252,82,300,2015,trajectory_plus_paper_full
1.0,0.05463539728124836,82,300,2015,trajectory_plus_full_regime
0.2,0.03964380901160805,82,300,2015,trajectory_plus_full_regime
0.05,0.0365661917830252,82,300,2015,trajectory_plus_full_regime
1.0,0.2710139595074121,80,300,2016,trajectory
0.2,0.2515880426871866,80,300,2016,trajectory
0.05,0.22273092974150682,80,300,2016,trajectory
0.2,0.1691839435345141,80,300,2016,trajectory_plus_field_state
1.0,0.15564819214662623,80,300,2016,trajectory_plus_field_state
0.05,0.13476353911066657,80,300,2016,trajectory_plus_field_state
0.2,0.0573569679987464,80,300,2016,trajectory_plus_paper_environment
0.05,0.0567885084588354,80,300,2016,trajectory_plus_paper_environment
1.0,0.04780872425257643,80,300,2016,trajectory_plus_paper_environment
1.0,0.09089506258049132,80,300,2016,trajectory_plus_paper_full
0.2,0.06807321945772798,80,300,2016,trajectory_plus_paper_full
0.05,0.0625827768532233,80,300,2016,trajectory_plus_paper_full
1.0,0.09089506258049132,80,300,2016,trajectory_plus_full_regime
0.2,0.06807321945772798,80,300,2016,trajectory_plus_full_regime
0.05,0.0625827768532233,80,300,2016,trajectory_plus_full_regime
1.0,0.1889438786028987,74,300,2017,trajectory
0.2,0.15398488247095585,74,300,2017,trajectory
0.05,0.13423658036863448,74,300,2017,trajectory
0.2,0.12361951794134046,74,300,2017,trajectory_plus_field_state
1.0,0.10440421780022316,74,300,2017,trajectory_plus_field_state
0.05,0.10025161209161845,74,300,2017,trajectory_plus_field_state
1.0,0.13959527745403197,74,300,2017,trajectory_plus_paper_environment
