domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
full_oisst_domain,elastic_net,current_only,2005,312,186,0.5961538461538461,0.7532282215301022,0.15707437537625601
full_oisst_domain,elastic_net,current_only,2006,285,54,0.18947368421052632,0.4899706652912428,0.30049698108071643
full_oisst_domain,elastic_net,current_only,2007,328,94,0.2865853658536585,0.5210188203620262,0.23443345450836767
full_oisst_domain,elastic_net,current_only,2008,331,95,0.28700906344410876,0.5384706969029627,0.2514616334588539
full_oisst_domain,elastic_net,current_only,2009,341,163,0.4780058651026393,0.609486557590091,0.13148069248745164
full_oisst_domain,elastic_net,current_only,2010,328,162,0.49390243902439024,0.6951442413194684,0.20124180229507815
full_oisst_domain,elastic_net,current_only,2011,280,109,0.3892857142857143,0.5619632069634343,0.17267749267771998
full_oisst_domain,elastic_net,current_only,2012,290,63,0.21724137931034482,0.5550610181638209,0.3378196388534761
full_oisst_domain,elastic_net,current_only,2013,335,213,0.6358208955223881,0.7271014697098426,0.0912805741874545
full_oisst_domain,elastic_net,current_only,2014,293,116,0.39590443686006827,0.55182217458473,0.15591773772466178
full_oisst_domain,elastic_net,current_only,2015,253,123,0.48616600790513836,0.6258000580105372,0.1396340501053988
full_oisst_domain,elastic_net,current_only,2016,232,80,0.3448275862068966,0.57552183260255,0.2306942463956534
full_oisst_domain,elastic_net,current_only,2017,251,49,0.1952191235059761,0.2540533729398082,0.058834249433832086
full_oisst_domain,elastic_net,current_only,2018,277,208,0.7509025270758123,0.8273404208779148,0.07643789380210253
full_oisst_domain,elastic_net,current_only,2019,199,63,0.3165829145728643,0.4924772699228245,0.17589435534996017
full_oisst_domain,elastic_net,current_only,2020,239,90,0.37656903765690375,0.4096610681207919,0.033092030463888145
full_oisst_domain,elastic_net,current_only,2021,229,83,0.3624454148471616,0.4278879050529726,0.065442490205811
full_oisst_domain,elastic_net,current_only,2022,225,150,0.6666666666666666,0.8079922110440438,0.1413255443773772
full_oisst_domain,elastic_net,current_only,2023,179,32,0.1787709497206704,0.22964579585128578,0.05087484613061538
full_oisst_domain,elastic_net,current_only,2024,204,51,0.25,0.30336132098610713,0.05336132098610713
full_oisst_domain,elastic_net,current_plus_trajectory,2005,312,186,0.5961538461538461,0.7591067232687999,0.16295287711495376
full_oisst_domain,elastic_net,current_plus_trajectory,2006,285,54,0.18947368421052632,0.6354264550044871,0.4459527707939608
full_oisst_domain,elastic_net,current_plus_trajectory,2007,328,94,0.2865853658536585,0.5663352684640286,0.2797499026103701
full_oisst_domain,elastic_net,current_plus_trajectory,2008,331,95,0.28700906344410876,0.5312092052632855,0.24420014181917676
full_oisst_domain,elastic_net,current_plus_trajectory,2009,341,163,0.4780058651026393,0.5851367384147136,0.10713087331207427
full_oisst_domain,elastic_net,current_plus_trajectory,2010,328,162,0.49390243902439024,0.7256319788424955,0.2317295398181053
full_oisst_domain,elastic_net,current_plus_trajectory,2011,280,109,0.3892857142857143,0.546492893124902,0.15720717883918772
full_oisst_domain,elastic_net,current_plus_trajectory,2012,290,63,0.21724137931034482,0.5699872354895064,0.35274585617916154
full_oisst_domain,elastic_net,current_plus_trajectory,2013,335,213,0.6358208955223881,0.7387883126238035,0.10296741710141544
full_oisst_domain,elastic_net,current_plus_trajectory,2014,293,116,0.39590443686006827,0.5633895224185649,0.16748508555849662
full_oisst_domain,elastic_net,current_plus_trajectory,2015,253,123,0.48616600790513836,0.6236718245348866,0.1375058166297482
full_oisst_domain,elastic_net,current_plus_trajectory,2016,232,80,0.3448275862068966,0.6095232865762977,0.26469570036940115
full_oisst_domain,elastic_net,current_plus_trajectory,2017,251,49,0.1952191235059761,0.3067322483820287,0.11151312487605264
full_oisst_domain,elastic_net,current_plus_trajectory,2018,277,208,0.7509025270758123,0.8717589539555061,0.12085642687969378
full_oisst_domain,elastic_net,current_plus_trajectory,2019,199,63,0.3165829145728643,0.5577240735373635,0.24114115896449922
full_oisst_domain,elastic_net,current_plus_trajectory,2020,239,90,0.37656903765690375,0.47367378976684416,0.0971047521099404
full_oisst_domain,elastic_net,current_plus_trajectory,2021,229,83,0.3624454148471616,0.4866903557946845,0.12424494094752292
full_oisst_domain,elastic_net,current_plus_trajectory,2022,225,150,0.6666666666666666,0.8516431598887811,0.1849764932221145
full_oisst_domain,elastic_net,current_plus_trajectory,2023,179,32,0.1787709497206704,0.3504716075972409,0.1717006578765705
full_oisst_domain,elastic_net,current_plus_trajectory,2024,204,51,0.25,0.3790262621057348,0.1290262621057348
full_oisst_domain,elastic_net,trajectory_plus_oisst,2005,312,186,0.5961538461538461,0.7516573423909709,0.15550349623712478
full_oisst_domain,elastic_net,trajectory_plus_oisst,2006,285,54,0.18947368421052632,0.48055370420773214,0.2910800199972058
full_oisst_domain,elastic_net,trajectory_plus_oisst,2007,328,94,0.2865853658536585,0.5274100000092343,0.2408246341555758
full_oisst_domain,elastic_net,trajectory_plus_oisst,2008,331,95,0.28700906344410876,0.5172346990774254,0.2302256356333166
