domain,model_family,feature_set,budget_fraction,selected,true_positives,total_events,micro_recall,micro_precision
full_oisst_domain,elastic_net,current_only,0.05,279,193,2184,0.08836996336996338,0.6917562724014337
full_oisst_domain,elastic_net,current_only,0.1,550,372,2184,0.17032967032967034,0.6763636363636364
full_oisst_domain,elastic_net,current_only,0.2,1089,648,2184,0.2967032967032967,0.5950413223140496
full_oisst_domain,elastic_net,current_only,0.3,1632,893,2184,0.4088827838827839,0.5471813725490197
full_oisst_domain,elastic_net,current_plus_trajectory,0.05,279,212,2184,0.09706959706959707,0.7598566308243727
full_oisst_domain,elastic_net,current_plus_trajectory,0.1,550,395,2184,0.18086080586080586,0.7181818181818181
full_oisst_domain,elastic_net,current_plus_trajectory,0.2,1089,689,2184,0.31547619047619047,0.6326905417814509
full_oisst_domain,elastic_net,current_plus_trajectory,0.3,1632,927,2184,0.42445054945054944,0.5680147058823529
full_oisst_domain,elastic_net,trajectory_plus_oisst,0.05,279,207,2184,0.09478021978021978,0.7419354838709677
full_oisst_domain,elastic_net,trajectory_plus_oisst,0.1,550,369,2184,0.16895604395604397,0.6709090909090909
full_oisst_domain,elastic_net,trajectory_plus_oisst,0.2,1089,658,2184,0.30128205128205127,0.6042240587695134
full_oisst_domain,elastic_net,trajectory_plus_oisst,0.3,1632,911,2184,0.41712454212454214,0.5582107843137255
full_oisst_domain,hierarchical_additive,current_only,0.05,279,204,2184,0.09340659340659341,0.7311827956989247
full_oisst_domain,hierarchical_additive,current_only,0.1,550,373,2184,0.1707875457875458,0.6781818181818182
full_oisst_domain,hierarchical_additive,current_only,0.2,1089,666,2184,0.30494505494505497,0.6115702479338843
full_oisst_domain,hierarchical_additive,current_only,0.3,1632,946,2184,0.43315018315018317,0.5796568627450981
full_oisst_domain,hierarchical_additive,current_plus_trajectory,0.05,279,208,2184,0.09523809523809523,0.7455197132616488
full_oisst_domain,hierarchical_additive,current_plus_trajectory,0.1,550,376,2184,0.17216117216117216,0.6836363636363636
full_oisst_domain,hierarchical_additive,current_plus_trajectory,0.2,1089,665,2184,0.30448717948717946,0.610651974288338
