domain,year,model_family,feature_set,train_start,train_end,n_train,events_train,n_test,events_test,chosen
full_oisst_domain,2005,elastic_net,current_only,1989,2004,4046,1684,312,186,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2005,elastic_net,current_plus_trajectory,1989,2004,4046,1684,312,186,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2005,elastic_net,trajectory_plus_oisst,1989,2004,4046,1684,312,186,"{""C"": 1.0, ""l1_ratio"": 0.0}"
full_oisst_domain,2005,hierarchical_additive,current_only,1989,2004,4046,1684,312,186,"{""C"": 0.2}"
full_oisst_domain,2005,hierarchical_additive,current_plus_trajectory,1989,2004,4046,1684,312,186,"{""C"": 1.0}"
full_oisst_domain,2005,hierarchical_additive,trajectory_plus_oisst,1989,2004,4046,1684,312,186,"{""C"": 0.2}"
full_oisst_domain,2005,lambdamart_ranker,current_only,1989,2004,4046,1684,312,186,"{""calibration_end"": 2004, ""calibration_rows"": 942, ""calibration_start"": 2002, ""platt_intercept"": -1.1273811068028547, ""platt_slope"": 1.2767534207236204}"
full_oisst_domain,2005,lambdamart_ranker,current_plus_trajectory,1989,2004,4046,1684,312,186,"{""calibration_end"": 2004, ""calibration_rows"": 942, ""calibration_start"": 2002, ""platt_intercept"": -1.198859932727449, ""platt_slope"": 1.4123326820258344}"
full_oisst_domain,2005,lambdamart_ranker,trajectory_plus_oisst,1989,2004,4046,1684,312,186,"{""calibration_end"": 2004, ""calibration_rows"": 942, ""calibration_start"": 2002, ""platt_intercept"": -1.1427964040424763, ""platt_slope"": 1.3060236860609835}"
full_oisst_domain,2006,elastic_net,current_only,1989,2005,4358,1870,285,54,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2006,elastic_net,current_plus_trajectory,1989,2005,4358,1870,285,54,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2006,elastic_net,trajectory_plus_oisst,1989,2005,4358,1870,285,54,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2006,hierarchical_additive,current_only,1989,2005,4358,1870,285,54,"{""C"": 0.2}"
full_oisst_domain,2006,hierarchical_additive,current_plus_trajectory,1989,2005,4358,1870,285,54,"{""C"": 0.2}"
full_oisst_domain,2006,hierarchical_additive,trajectory_plus_oisst,1989,2005,4358,1870,285,54,"{""C"": 0.2}"
full_oisst_domain,2006,lambdamart_ranker,current_only,1989,2005,4358,1870,285,54,"{""calibration_end"": 2005, ""calibration_rows"": 936, ""calibration_start"": 2003, ""platt_intercept"": -1.0142615027677575, ""platt_slope"": 1.283284431284661}"
full_oisst_domain,2006,lambdamart_ranker,current_plus_trajectory,1989,2005,4358,1870,285,54,"{""calibration_end"": 2005, ""calibration_rows"": 936, ""calibration_start"": 2003, ""platt_intercept"": -1.0704614796634295, ""platt_slope"": 1.391124567199076}"
full_oisst_domain,2006,lambdamart_ranker,trajectory_plus_oisst,1989,2005,4358,1870,285,54,"{""calibration_end"": 2005, ""calibration_rows"": 936, ""calibration_start"": 2003, ""platt_intercept"": -0.9697659419978153, ""platt_slope"": 1.1976453247322132}"
full_oisst_domain,2007,elastic_net,current_only,1989,2006,4643,1924,328,94,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2007,elastic_net,current_plus_trajectory,1989,2006,4643,1924,328,94,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2007,elastic_net,trajectory_plus_oisst,1989,2006,4643,1924,328,94,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2007,hierarchical_additive,current_only,1989,2006,4643,1924,328,94,"{""C"": 1.0}"
full_oisst_domain,2007,hierarchical_additive,current_plus_trajectory,1989,2006,4643,1924,328,94,"{""C"": 0.2}"
full_oisst_domain,2007,hierarchical_additive,trajectory_plus_oisst,1989,2006,4643,1924,328,94,"{""C"": 1.0}"
full_oisst_domain,2007,lambdamart_ranker,current_only,1989,2006,4643,1924,328,94,"{""calibration_end"": 2006, ""calibration_rows"": 919, ""calibration_start"": 2004, ""platt_intercept"": -1.0743145270980983, ""platt_slope"": 1.165097395048846}"
full_oisst_domain,2007,lambdamart_ranker,current_plus_trajectory,1989,2006,4643,1924,328,94,"{""calibration_end"": 2006, ""calibration_rows"": 919, ""calibration_start"": 2004, ""platt_intercept"": -1.227153806641064, ""platt_slope"": 1.4552116320561252}"
full_oisst_domain,2007,lambdamart_ranker,trajectory_plus_oisst,1989,2006,4643,1924,328,94,"{""calibration_end"": 2006, ""calibration_rows"": 919, ""calibration_start"": 2004, ""platt_intercept"": -0.8547964137276474, ""platt_slope"": 0.7434647198890398}"
full_oisst_domain,2008,elastic_net,current_only,1989,2007,4971,2018,331,95,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2008,elastic_net,current_plus_trajectory,1989,2007,4971,2018,331,95,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2008,elastic_net,trajectory_plus_oisst,1989,2007,4971,2018,331,95,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2008,hierarchical_additive,current_only,1989,2007,4971,2018,331,95,"{""C"": 1.0}"
full_oisst_domain,2008,hierarchical_additive,current_plus_trajectory,1989,2007,4971,2018,331,95,"{""C"": 0.2}"
full_oisst_domain,2008,hierarchical_additive,trajectory_plus_oisst,1989,2007,4971,2018,331,95,"{""C"": 0.05}"
full_oisst_domain,2008,lambdamart_ranker,current_only,1989,2007,4971,2018,331,95,"{""calibration_end"": 2007, ""calibration_rows"": 925, ""calibration_start"": 2005, ""platt_intercept"": -1.5530419502561563, ""platt_slope"": 1.8781376159460235}"
full_oisst_domain,2008,lambdamart_ranker,current_plus_trajectory,1989,2007,4971,2018,331,95,"{""calibration_end"": 2007, ""calibration_rows"": 925, ""calibration_start"": 2005, ""platt_intercept"": -1.5911761589321174, ""platt_slope"": 1.9480812881595133}"
full_oisst_domain,2008,lambdamart_ranker,trajectory_plus_oisst,1989,2007,4971,2018,331,95,"{""calibration_end"": 2007, ""calibration_rows"": 925, ""calibration_start"": 2005, ""platt_intercept"": -1.421359888300851, ""platt_slope"": 1.63495481537717}"
full_oisst_domain,2009,elastic_net,current_only,1989,2008,5302,2113,341,163,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2009,elastic_net,current_plus_trajectory,1989,2008,5302,2113,341,163,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2009,elastic_net,trajectory_plus_oisst,1989,2008,5302,2113,341,163,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2009,hierarchical_additive,current_only,1989,2008,5302,2113,341,163,"{""C"": 1.0}"
full_oisst_domain,2009,hierarchical_additive,current_plus_trajectory,1989,2008,5302,2113,341,163,"{""C"": 0.05}"
full_oisst_domain,2009,hierarchical_additive,trajectory_plus_oisst,1989,2008,5302,2113,341,163,"{""C"": 0.05}"
full_oisst_domain,2009,lambdamart_ranker,current_only,1989,2008,5302,2113,341,163,"{""calibration_end"": 2008, ""calibration_rows"": 944, ""calibration_start"": 2006, ""platt_intercept"": -2.366085438102161, ""platt_slope"": 2.3826518650113124}"
full_oisst_domain,2009,lambdamart_ranker,current_plus_trajectory,1989,2008,5302,2113,341,163,"{""calibration_end"": 2008, ""calibration_rows"": 944, ""calibration_start"": 2006, ""platt_intercept"": -2.2903558589100466, ""platt_slope"": 2.2543019518316396}"
full_oisst_domain,2009,lambdamart_ranker,trajectory_plus_oisst,1989,2008,5302,2113,341,163,"{""calibration_end"": 2008, ""calibration_rows"": 944, ""calibration_start"": 2006, ""platt_intercept"": -2.1195432179519877, ""platt_slope"": 1.9614084375331546}"
full_oisst_domain,2010,elastic_net,current_only,1989,2009,5643,2276,328,162,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2010,elastic_net,current_plus_trajectory,1989,2009,5643,2276,328,162,"{""C"": 0.2, ""l1_ratio"": 1.0}"
full_oisst_domain,2010,elastic_net,trajectory_plus_oisst,1989,2009,5643,2276,328,162,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2010,hierarchical_additive,current_only,1989,2009,5643,2276,328,162,"{""C"": 0.2}"
full_oisst_domain,2010,hierarchical_additive,current_plus_trajectory,1989,2009,5643,2276,328,162,"{""C"": 0.05}"
full_oisst_domain,2010,hierarchical_additive,trajectory_plus_oisst,1989,2009,5643,2276,328,162,"{""C"": 1.0}"
full_oisst_domain,2010,lambdamart_ranker,current_only,1989,2009,5643,2276,328,162,"{""calibration_end"": 2009, ""calibration_rows"": 1000, ""calibration_start"": 2007, ""platt_intercept"": -1.7604692466539071, ""platt_slope"": 2.179027020746933}"
full_oisst_domain,2010,lambdamart_ranker,current_plus_trajectory,1989,2009,5643,2276,328,162,"{""calibration_end"": 2009, ""calibration_rows"": 1000, ""calibration_start"": 2007, ""platt_intercept"": -1.6762058538981885, ""platt_slope"": 2.0261564693379346}"
full_oisst_domain,2010,lambdamart_ranker,trajectory_plus_oisst,1989,2009,5643,2276,328,162,"{""calibration_end"": 2009, ""calibration_rows"": 1000, ""calibration_start"": 2007, ""platt_intercept"": -1.7239538986320229, ""platt_slope"": 2.112842947546849}"
full_oisst_domain,2011,elastic_net,current_only,1989,2010,5971,2438,280,109,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2011,elastic_net,current_plus_trajectory,1989,2010,5971,2438,280,109,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2011,elastic_net,trajectory_plus_oisst,1989,2010,5971,2438,280,109,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2011,hierarchical_additive,current_only,1989,2010,5971,2438,280,109,"{""C"": 0.2}"
full_oisst_domain,2011,hierarchical_additive,current_plus_trajectory,1989,2010,5971,2438,280,109,"{""C"": 0.05}"
full_oisst_domain,2011,hierarchical_additive,trajectory_plus_oisst,1989,2010,5971,2438,280,109,"{""C"": 1.0}"
full_oisst_domain,2011,lambdamart_ranker,current_only,1989,2010,5971,2438,280,109,"{""calibration_end"": 2010, ""calibration_rows"": 1000, ""calibration_start"": 2008, ""platt_intercept"": -1.3863487151419334, ""platt_slope"": 2.0652614097131736}"
full_oisst_domain,2011,lambdamart_ranker,current_plus_trajectory,1989,2010,5971,2438,280,109,"{""calibration_end"": 2010, ""calibration_rows"": 1000, ""calibration_start"": 2008, ""platt_intercept"": -1.407619155266897, ""platt_slope"": 2.105479164072078}"
full_oisst_domain,2011,lambdamart_ranker,trajectory_plus_oisst,1989,2010,5971,2438,280,109,"{""calibration_end"": 2010, ""calibration_rows"": 1000, ""calibration_start"": 2008, ""platt_intercept"": -1.2089667088489602, ""platt_slope"": 1.727925769838718}"
full_oisst_domain,2012,elastic_net,current_only,1989,2011,6251,2547,290,63,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2012,elastic_net,current_plus_trajectory,1989,2011,6251,2547,290,63,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2012,elastic_net,trajectory_plus_oisst,1989,2011,6251,2547,290,63,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2012,hierarchical_additive,current_only,1989,2011,6251,2547,290,63,"{""C"": 0.2}"
full_oisst_domain,2012,hierarchical_additive,current_plus_trajectory,1989,2011,6251,2547,290,63,"{""C"": 0.2}"
full_oisst_domain,2012,hierarchical_additive,trajectory_plus_oisst,1989,2011,6251,2547,290,63,"{""C"": 0.2}"
full_oisst_domain,2012,lambdamart_ranker,current_only,1989,2011,6251,2547,290,63,"{""calibration_end"": 2011, ""calibration_rows"": 949, ""calibration_start"": 2009, ""platt_intercept"": -1.2260856352682836, ""platt_slope"": 2.0735186891972424}"
full_oisst_domain,2012,lambdamart_ranker,current_plus_trajectory,1989,2011,6251,2547,290,63,"{""calibration_end"": 2011, ""calibration_rows"": 949, ""calibration_start"": 2009, ""platt_intercept"": -1.2414536211145055, ""platt_slope"": 2.1032129850011674}"
full_oisst_domain,2012,lambdamart_ranker,trajectory_plus_oisst,1989,2011,6251,2547,290,63,"{""calibration_end"": 2011, ""calibration_rows"": 949, ""calibration_start"": 2009, ""platt_intercept"": -1.0638504765381438, ""platt_slope"": 1.7582180509693783}"
full_oisst_domain,2013,elastic_net,current_only,1989,2012,6541,2610,335,213,"{""C"": 0.05, ""l1_ratio"": 0.0}"
full_oisst_domain,2013,elastic_net,current_plus_trajectory,1989,2012,6541,2610,335,213,"{""C"": 0.05, ""l1_ratio"": 1.0}"
full_oisst_domain,2013,elastic_net,trajectory_plus_oisst,1989,2012,6541,2610,335,213,"{""C"": 0.05, ""l1_ratio"": 0.5}"
full_oisst_domain,2013,hierarchical_additive,current_only,1989,2012,6541,2610,335,213,"{""C"": 0.2}"
full_oisst_domain,2013,hierarchical_additive,current_plus_trajectory,1989,2012,6541,2610,335,213,"{""C"": 0.2}"
full_oisst_domain,2013,hierarchical_additive,trajectory_plus_oisst,1989,2012,6541,2610,335,213,"{""C"": 0.05}"
full_oisst_domain,2013,lambdamart_ranker,current_only,1989,2012,6541,2610,335,213,"{""calibration_end"": 2012, ""calibration_rows"": 898, ""calibration_start"": 2010, ""platt_intercept"": -1.6769261432711837, ""platt_slope"": 2.1981480501737196}"
full_oisst_domain,2013,lambdamart_ranker,current_plus_trajectory,1989,2012,6541,2610,335,213,"{""calibration_end"": 2012, ""calibration_rows"": 898, ""calibration_start"": 2010, ""platt_intercept"": -1.6635141378597293, ""platt_slope"": 2.173384115266003}"
full_oisst_domain,2013,lambdamart_ranker,trajectory_plus_oisst,1989,2012,6541,2610,335,213,"{""calibration_end"": 2012, ""calibration_rows"": 898, ""calibration_start"": 2010, ""platt_intercept"": -1.6218332222927057, ""platt_slope"": 2.096935293278068}"
full_oisst_domain,2014,elastic_net,current_only,1989,2013,6876,2823,293,116,"{""C"": 0.05, ""l1_ratio"": 0.0}"
